name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.13;0.1300258;0.0092201; 0.0071514000; 0.0001764000; False; 0.0201233000; 0.2166422000;0.03; 0.025433; 0.010568; 6.6e-05; 6.1e-05; 1.7e-05; false; 0.038553;0.03; 0.025246; 0.01069; 0.001094; 8.5e-05; 3.6e-05; 1.5e-05; false; 0.039777;0.02; 0.01364; 0.008382; 5.2e-05; 4.2e-05; 1.3e-05; false; 0.02439;0.03; 0.026368; 0.011291;0.00133; 0.000332; 0.000188; 0.000164; false; 0.041827;0.03; 0.025715; 0.011025;0.000283; 0.001015; 0.001116; 0.000453; false; 0.042502;ERR;1.11; 0.0477; 0.0000; 0.0006; 0.0001; 0.0001; False; 0.0008; 0.0489;1.11; 0.0432; 0.0028; 0.0070; 0.0017; False; 0.0087; 0.0551;TO;TO;1.09;0.082997245; 0.002527525; 3.1192E-5; false; 0.021530487; 0.232891214
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.16;0.08462339999999999;0.0116524; 0.0078437000; 0.0001936000; False; 0.0225703000; 0.1594130000;0.05; 0.04688; 0.016628; 0.000124; 8.7e-05; 3.1e-05; false; 0.06626;0.05; 0.047602; 0.015691; 0.003249; 0.000144; 5.6e-05; 3.4e-05; false; 0.068966;0.06; 0.051561; 0.016962; 0.000136; 0.000106; 3.4e-05; false; 0.071579;0.06; 0.052802; 0.017188;0.003032; 0.000776; 0.000791; 0.000701; false; 0.077611;0.06; 0.049119; 0.016361;0.0005480000000000001; 0.000932; 0.001275; 0.000881; false; 0.072161;ERR;1.31; 0.0920; 0.0000; 0.0011; 0.0004; 0.0010; False; 0.0025; 0.0952;1.21; 0.0696; 0.0068; 0.0474; 0.0062; False; 0.0536; 0.1307;TO;TO;1.23;0.041468795; 0.002799862; 2.6381E-5; false; 0.010046518; 0.176942026
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.2;0.1528211;0.008265400000000001; 0.0078854000; 0.0002508000; False; 0.0197586000; 0.2094567000;0.37; 0.301326; 0.097358; 0.000578; 0.000928; 0.000152; false; 0.415244;0.93; 0.365304; 0.118922; 0.468541; 0.00142; 0.000859; 0.000174; false; 0.974575;0.61; 0.656496; 0.12925; 0.001182; 0.001106; 0.00015; false; 0.810929;0.76; 0.681972; 0.137113;0.041657; 0.010797; 0.017829; 0.021201; false; 0.93079;0.65; 0.613729; 0.124706;0.006073; 0.005942; 0.011966; 0.01057; false; 0.792012;ERR;1.79; 0.5981; 0.0000; 0.0033; 0.0023; 0.0028; False; 0.0085; 0.6081;3.12; 0.4169; 0.3008; 1.3951; 0.3100; False; 1.7052; 2.4245;TO;TO;2.68;0.219812528; 0.038268413; 3.7597E-5; false; 0.054277; 0.480988838
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.17;0.09043759999999999;0.0094095; 0.0078481000; 0.0002252000; False; 0.0214239000; 0.1705566000;0.09; 0.076379; 0.021663; 0.000184; 0.000149; 4.6e-05; false; 0.101737;0.1; 0.079699; 0.024521; 0.008442; 0.000241; 0.000117; 4.4e-05; false; 0.117073;0.09; 0.079759; 0.023779; 0.00018; 0.000122; 4.4e-05; false; 0.107671;0.07; 0.068588; 0.01453;0.00234; 0.000561; 0.000496; 0.000542; false; 0.088861;0.1; 0.081739; 0.026302;0.000676; 0.001668; 0.002042; 0.001173; false; 0.118314;ERR;1.3; 0.1004; 0.0000; 0.0011; 0.0004; 0.0003; False; 0.0019; 0.1028;1.03; 0.0766; 0.0085; 0.0294; 0.0068; False; 0.0363; 0.1216;TO;TO;1.34;0.06791409; 0.003627788; 4.1264E-5; false; 0.011001938; 0.310041872
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.18;0.0999101;0.0101422; 0.0102489000; 0.0003653000; False; 0.0248040000; 0.1827223000;0.12; 0.103168; 0.029242; 0.000268; 0.000166; 5.7e-05; false; 0.136946;0.13; 0.103397; 0.028445; 0.014526; 0.000316; 0.000122; 5e-05; false; 0.150884;0.12; 0.101326; 0.02926; 0.000268; 0.000178; 5.5e-05; false; 0.135383;0.11; 0.089994; 0.028827;0.005690000000000001; 0.001674; 0.001764; 0.0018; false; 0.133253;0.13; 0.10679; 0.028631;0.001141; 0.001821; 0.002705; 0.001879; false; 0.148062;ERR;1.41; 0.2181; 0.0000; 0.0015; 0.0004; 0.0005; False; 0.0025; 0.2211;1.5; 0.1569; 0.0223; 0.0803; 0.0542; False; 0.1347; 0.3147;TO;TO;1.41;0.130092024; 0.014800184; 2.7536E-5; false; 0.028357518; 0.479798063
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.19;0.16995559999999998;0.0093336; 0.0103898000; 0.0002703000; False; 0.0272431000; 0.3117226000;0.14; 0.178526; 0.035155; 0.000282; 0.000184; 6.5e-05; false; 0.218677;0.17; 0.141856; 0.036517; 0.023606; 0.000325; 0.000152; 6.2e-05; false; 0.207296;0.14; 0.132881; 0.039078; 0.000284; 0.000179; 6.5e-05; false; 0.17734;0.14; 0.142189; 0.035548;0.006591; 0.002082; 0.001745; 0.001645; false; 0.193618;0.15; 0.152181; 0.038057;0.001401; 0.001876; 0.002916; 0.002118; false; 0.203769;ERR;1.36; 0.2495; 0.0000; 0.0012; 0.0004; 0.0006; False; 0.0023; 0.2524;1.39; 0.2289; 0.0393; 0.1507; 0.0371; False; 0.1878; 0.4567;TO;TO;1.51;0.060946673; 0.004944128; 2.8326E-5; false; 0.012531523; 0.217697313
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.19;0.1290865;0.0100897; 0.0119354000; 0.0003653000; False; 0.0261431000; 0.2147542000;0.19; 0.165447; 0.046768; 0.000398; 0.000395; 9.7e-05; false; 0.220176;0.22; 0.158941; 0.044499; 0.034833; 0.000467; 0.000175; 7.5e-05; false; 0.244934;0.2; 0.162629; 0.051746; 0.000373; 0.000264; 8.7e-05; false; 0.221671;0.21; 0.160674; 0.043745;0.008874; 0.002263; 0.001989; 0.002025; false; 0.224259;0.2; 0.151947; 0.047255;0.001631; 0.002129; 0.004013; 0.003141; false; 0.217789;ERR;1.57; 0.2677; 0.0000; 0.0035; 0.0006; 0.0008; False; 0.0051; 0.2734;1.35; 0.1513; 0.0522; 0.1112; 0.0261; False; 0.1373; 0.3413;TO;TO;1.67;0.126966419; 0.009173708; 3.0578E-5; false; 0.019026057; 0.369207858
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.2;0.13547399999999998;0.0099889; 0.0086995000; 0.0002423000; False; 0.0224855000; 0.2125185000;0.21; 0.180218; 0.043879; 0.000428; 0.000277; 0.000101; false; 0.231338;0.25; 0.180177; 0.044298; 0.048125; 0.000556; 0.000213; 9.6e-05; false; 0.279866;0.21; 0.183901; 0.044175; 0.00044; 0.000514; 0.000117; false; 0.23575;0.22; 0.180481; 0.043267;0.011414; 0.003253; 0.003386; 0.003539; false; 0.250985;0.22; 0.184028; 0.044171;0.001972; 0.002344; 0.003878; 0.003118; false; 0.246001;ERR;1.35; 0.1683; 0.0000; 0.0016; 0.0004; 0.0005; False; 0.0026; 0.1714;1.92; 0.3028; 0.0698; 0.2934; 0.0659; False; 0.3594; 0.7330;TO;TO;1.66;0.128718316; 0.005804893; 5.4411E-5; false; 0.036013373; 0.382754464
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.22;0.1517743;0.013105200000000001; 0.0093226000; 0.0003190000; False; 0.0268899000; 0.2378334000;0.23; 0.198096; 0.050324; 0.00049; 0.000397; 0.000119; false; 0.256622;0.3; 0.207422; 0.050374; 0.062842; 0.000582; 0.000246; 0.0001; false; 0.32858;0.25; 0.207673; 0.057034; 0.00049; 0.000448; 0.000128; false; 0.273975;0.27; 0.209343; 0.052509;0.012684; 0.003326; 0.003825; 0.003981; false; 0.291449;0.23; 0.187764; 0.052361;0.0018050000000000002; 0.002163; 0.003705; 0.003104; false; 0.259014;ERR;1.63; 0.3045; 0.0000; 0.0025; 0.0010; 0.0011; False; 0.0047; 0.3105;2.03; 0.3128; 0.0957; 0.3962; 0.0760; False; 0.4723; 0.8819;TO;TO;1.67;0.097023097; 0.004461458; 2.8867E-5; false; 0.024915061; 0.316318376
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.21;0.1564721;0.0108146; 0.0097503000; 0.0003325000; False; 0.0249759000; 0.2440709000;0.27; 0.233774; 0.05455; 0.000581; 0.000419; 0.00013; false; 0.297656;0.39; 0.308869; 0.064394; 0.093738; 0.000693; 0.000288; 0.000124; false; 0.47755;0.21; 0.209075; 0.040144; 0.000549; 0.000447; 0.00014; false; 0.259442;0.31; 0.286336; 0.061951;0.016579; 0.004209; 0.006464; 0.007739; false; 0.392083;0.3; 0.291733; 0.069028;0.002516; 0.003543; 0.005427; 0.004147; false; 0.386935;ERR;1.62; 0.3790; 0.0000; 0.0184; 0.0010; 0.0012; False; 0.0206; 0.4008;1.71; 0.2036; 0.0614; 0.2478; 0.0575; False; 0.3053; 0.5710;TO;TO;1.81;0.078420869; 0.006793077; 4.04E-5; false; 0.015250281; 0.341776877
