name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.36;0.07428679999999999;0.026729600000000003;0.2429196; 0.0003055000; True; 0.2867674000; 0.4201607000;0.08; 0.035258; 0.014161;0.032306;0.009911999999999999; 1.2e-05; true; 0.09548;1.42; 0.034192; 0.014154;1.381956;0.016726;0.005272; 2e-06; true; 1.45639;0.07; 0.031956; 0.013389;0.026487999999999998;0.007348; 2e-06; true; 0.082475;0.23; 0.024706; 0.013672;0.0037119999999999996;0.09162200000000001;0.118454; 3e-06; true; 0.25529;0.19; 0.030204; 0.013239;0.000517;0.0411;0.097745; 0.000997; true; 0.188081;11.68; 0.055192; 0.017435;11.880215999999999; 0.331676; false; 12.3942;1.41; 0.0692; 0.0000; 0.1002; 0.0147; 0.0000; True; 0.1149; 0.1848;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.48; 0.0601; 0.0045; 0.8763; 0.5290; 0.5434; True; 1.4197; 1.5036;2.11;0.20038936100000002; 0.26945428; 0.006235029; true; 0.283056879; 0.622554538;2.64;0.036274277; 0.527204971; 4.4488E-5; true; 0.54509688; 0.712837907
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.49;0.05471979999999999;0.0266924;0.3737653; 0.0002190000; True; 0.4044304000; 0.4907298000;0.13; 0.039071; 0.014606;0.073485;0.02301; 3e-06; true; 0.154524;10.09; 0.043918; 0.014629;10.112715000000001;0.03375;0.011141000000000002; 3e-06; true; 10.2205;0.15; 0.039418; 0.016397;0.082299;0.025516; 3e-06; true; 0.168251;0.69; 0.038409; 0.014794;0.004353999999999999;0.29539899999999997;0.361858; 4e-06; true; 0.718512;0.48; 0.04181; 0.016061;0.0008049999999999999;0.129328;0.28130999999999995; 0.001876; true; 0.476429;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.47; 0.0663; 0.0000; 0.2304; 0.0247; 0.0000; True; 0.2552; 0.3220;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.71; 0.0870; 0.0116; 1.6828; 0.6582; 0.6722; True; 2.3550; 2.4820;2.18;0.18272225000000003; 0.347317734; 0.007170547; true; 0.362496693; 0.674512959;3.48;0.044115153000000004; 0.897985831; 3.544E-5; true; 0.918886462; 1.088631557
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;1.22;0.10071560000000002;0.0497975;1.0064334; 0.0002856000; True; 1.0598791000; 1.2285198000;0.26; 0.049743; 0.01758;0.171768;0.046979; 3e-06; true; 0.291103;TO; 0.051614; 0.021072;19.170541999999998;0.036469;0.009776;MISSING;MISSING;MISSING;0.16; 0.028137; 0.01185;0.108319;0.030263; 2e-06; true; 0.181858;1.26; 0.0283; 0.011681;0.0028669999999999993;0.5698570000000001;0.6955169999999999; 4e-06; true; 1.31141;0.97; 0.054817; 0.018799;0.00096;0.283188;0.580424; 0.004403; true; 0.948464;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.5; 0.0554; 0.0000; 0.4583; 0.0622; 0.0000; True; 0.5206; 0.5765;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.17; 0.0963; 0.0113; 5.1999; 2.6291; 2.6992; True; 7.8992; 8.1179;3.13;0.25097812700000005; 0.737736153; 0.013114482; true; 0.758715826; 1.179706991;5.68;0.05250894; 1.892006147; 4.0018E-5; true; 1.90076984; 2.156854058
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;2.56;0.08753149999999998;0.11831019999999999;2.4350684; 0.0002718000; True; 2.5601281000; 2.6926215000;0.57; 0.067801; 0.027411;0.430116;0.11763599999999999; 6e-06; true; 0.650888;TO; 0.061841; 0.020823;23.951767999999998;0.049023;0.012756;MISSING;MISSING;MISSING;0.52; 0.060048; 0.019821;0.400153;0.10185; 4e-06; true; 0.58742;3.7; 0.065847; 0.022298;0.006096;1.730162;1.9756529999999999; 5e-06; true; 3.80579;2.14; 0.059752; 0.019722;0.001015;0.649344;1.329391; 0.009431; true; 2.07473;ERR;ERR;ERR;ERR;ERR;ERR;ERR;3.14; 0.1185; 0.0000; 1.5944; 0.2144; 0.0000; True; 1.8089; 1.9284;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;21.4; 0.1272; 0.0177; 12.8455; 7.2557; 7.4345; True; 20.2801; 20.7558;3.42;0.216415547; 1.022914471; 0.01382148; true; 1.043882343; 1.382801417;10.38;0.056511236000000006; 4.568936997; 4.5286E-5; true; 4.576828617; 4.773193014
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;5.27;0.0853452;0.22686080000000003;4.689200400000001; 0.0001359000; True; 4.9192226000; 5.0462702000;1.03; 0.0688; 0.027737;0.823914;0.222271; 6e-06; true; 1.15061;TO; 0.065637; 0.024222;25.375043;0.044909;0.011724;MISSING;MISSING;MISSING;0.65; 0.051884; 0.016326;0.527768;0.138554; 3e-06; true; 0.739061;7.93; 0.071991; 0.023675;0.007068;3.792472;4.241204; 5e-06; true; 8.14206;3.34; 0.037882; 0.015057;0.0011119999999999997;1.0417770000000002;2.09714; 0.011146; true; 3.20871;ERR;ERR;ERR;ERR;ERR;ERR;ERR;4.8; 0.1263; 0.0000; 3.3285; 0.4048; 0.0000; True; 3.7334; 3.8614;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;38.75; 0.1285; 0.0159; 26.8154; 10.8031; 11.1276; True; 37.9431; 38.7600;4.74;0.21482648899999998; 2.396575706; 0.025608062; true; 2.429039113; 2.807270443;21.56;0.06495642499999998; 10.695380095; 4.9157E-5; true; 10.71565433; 10.930779171
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;10.91;0.097778;0.43113799999999997;10.8119611; 0.0001703000; True; 11.2613821000; 11.4141898000;1.37; 0.060556; 0.023979;1.1260379999999999;0.327009; 3e-06; true; 1.544;TO; 0.072173; 0.025924;42.819033;0.043150999999999995;0.013558;MISSING;MISSING;MISSING;2.28; 0.075876; 0.027743;1.879072;0.5319119999999999; 5e-06; true; 2.52246;18.23; 0.080386; 0.027238;0.007051;8.732868999999999;9.772673; 5e-06; true; 18.6283;10.44; 0.044343; 0.016559;0.000781;3.374945;6.576661; 0.01298; true; 10.0312;ERR;ERR;ERR;ERR;ERR;ERR;ERR;8.41; 0.1384; 0.0000; 6.8996; 0.7453; 0.0000; True; 7.6449; 7.7859;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.07;0.307489374; 5.275770382; 0.022965781; true; 5.318828459; 5.798121825;54.5;0.057481279; 31.732603205; 5.9075E-5; true; 31.739523704; 31.943589227
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;22.37;0.09841359999999996;0.8406067;21.7054102; 0.0002954000; True; 22.5525492000; 22.6972778000;5.7; 0.07161; 0.026439;4.133203;2.0168340000000002; 5e-06; true; 6.25936;TO; 0.098835; 0.036404;18.509701999999997;0.028880000000000003;0.007204;MISSING;MISSING;MISSING;6.1; 0.096443; 0.031834;4.58707;1.9561350000000002; 3e-06; true; 6.68403;33.72; 0.102563; 0.037349;0.009054999999999999;17.717244;16.58634; 4e-06; true; 34.4611;22.29; 0.077874; 0.030703;0.001311;7.9893350000000005;13.337893; 0.011793; true; 21.4566;ERR;ERR;ERR;ERR;ERR;ERR;ERR;15.08; 0.0857; 0.0000; 13.3122; 2.2471; 0.0000; True; 15.5594; 15.6506;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;14.69;0.24406971200000002; 10.648892812; 0.091432124; true; 10.747509492; 11.153223048;TO;0.061460456;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;47.78;0.09193930000000003;1.5193264000000002;45.9641042; 0.0002737000; True; 47.5036707000; 47.6375913000;14.07; 0.096025; 0.03725;10.169925;4.975662; 3e-06; true; 15.3003;TO; 0.106643; 0.037133;29.303147;0.038479;0.009941;MISSING;MISSING;MISSING;16.65; 0.11554; 0.039163;12.118041;5.724183; 5e-06; true; 18.0152;TO; 0.109244; 0.034899;0.010232000000000002;19.950086;22.376877;MISSING;MISSING;MISSING;42.77; 0.058162; 0.021312;0.001001;15.175574000000001;25.732534; 7.4e-05; true; 40.9951;ERR;ERR;ERR;ERR;ERR;ERR;ERR;32.34; 0.1066; 0.0000; 29.4860; 4.4684; 0.0000; True; 33.9545; 34.0730;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;31.17;0.292483321; 22.996062465; 0.038008242; true; 23.041852609; 23.504479946;TO;0.059703688000000005;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;TO;0.11141249999999998;4.4186226;55.3719258;MISSING;MISSING;MISSING;MISSING;36.31; 0.119992; 0.033845;27.913627;11.339006; 4e-06; true; 39.4428;TO; 0.12741; 0.041024;24.945582;0.034973;0.008815;MISSING;MISSING;MISSING;37.28; 0.117624; 0.037751;27.463849;12.872573000000001; 2e-06; true; 40.5174;TO; 0.131754; 0.046557;0.011593;23.767173;24.673629;MISSING;MISSING;MISSING;TO; 0.120602; 0.038455;0.0023300000000000005;16.967098999999997;33.688112000000004;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;67.3;0.46813170600000004; 49.60152041; 0.075307513; true; 49.69554198; 50.418425587;TO;0.081840211;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO;0.123373;2.4375555;35.9878663;MISSING;MISSING;MISSING;MISSING;TO; 0.125474; 0.051315;29.316613999999998;9.970531999999999;MISSING;MISSING;MISSING;TO; 0.160893; 0.042667;23.140611;0.037744;0.008911;MISSING;MISSING;MISSING;TO; 0.128254; 0.046358;29.918439;9.554473999999999;MISSING;MISSING;MISSING;TO; 0.146617; 0.052876;0.013261999999999998;23.482581;27.222554000000002;MISSING;MISSING;MISSING;TO; 0.139917; 0.043257;0.001996;22.594765000000002;20.695555000000002;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.31677355300000004;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.07858201000000001;MISSING;MISSING;MISSING;MISSING;MISSING
