name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-uni;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.14;0.059140999999999985;0.0211189;0.0161133; 0.0002764000; False; 0.0479138000; 0.1853972000;0.02; 0.017056; 0.008166;0.000193;0.00044; 4.9e-05; false; 0.027863;0.04; 0.017683; 0.008697;0.021478;0.000314;0.00023999999999999995; 4.8e-05; false; 0.050975;0.03; 0.02677; 0.011031;0.00028599999999999996;0.000529; 7.4e-05; false; 0.042422;0.03; 0.017267; 0.009091;0.0021089999999999998;0.00307;0.0029029999999999998; 0.000528; false; 0.036832;0.03; 0.017574; 0.008964;0.000635;0.005574;0.007715; 0.000738; false; 0.045131;2.37; 0.056249; 0.017631;1.833637; 0.040606; false; 2.05296;1.11; 0.0598; 0.0000; 0.0034; 0.0002; 0.0003; False; 0.0040; 0.0643;1.33; 0.0484; 0.0035; 0.1589; 0.0183; False; 0.1773; 0.2296;9.54; 0.0552; 0.0088; 0.0299; 8.6424; 8.8765; False; 8.9066; 8.9712;2.29;0.21565752600000002; 0.23827758; 0.003177473; false; 0.248112512; 0.593811247;1.25;0.056483939; 0.011152452; 3.905E-5; false; 0.017827966; 0.261509172
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.15;0.0736181;0.008195200000000001;0.0148567; 0.0002293000; False; 0.0263512000; 0.1652715000;0.05; 0.046633; 0.016603;0.00037199999999999993;0.0007180000000000001; 8.8e-05; false; 0.068618;0.08; 0.041089; 0.012593;0.039066;0.0005;0.000498; 4.6e-05; false; 0.096716;0.05; 0.043356; 0.01699;0.00029199999999999994;0.000566; 7.6e-05; false; 0.065992;0.04; 0.022663; 0.011686;0.003122;0.004831;0.004697; 0.000663; false; 0.050376;0.07; 0.044191; 0.016818;0.0007740000000000001;0.005385;0.008604; 0.001449; false; 0.081714;4.08; 0.064746; 0.016509;3.4240259999999996; 0.08459; false; 3.70638;1.3; 0.0818; 0.0000; 0.0053; 0.0003; 0.0004; False; 0.0061; 0.0884;1.67; 0.0760; 0.0060; 0.3343; 0.0294; False; 0.3638; 0.4463;39.82; 0.0469; 0.0053; 0.0218; 39.4842; 40.2966; False; 40.3185; 40.3715;2.62;0.197429163; 0.45014965; 0.0026295; false; 0.459562017; 0.796714873;1.16;0.059238354; 0.026983866; 4.3877E-5; false; 0.045407638; 0.283509274
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.14;0.0758917;0.009335899999999996;0.009257599999999998; 0.0002538000; False; 0.0215313000; 0.1369818000;0.06; 0.050215; 0.018126;0.00044300000000000003;0.000937; 0.000103; false; 0.074734;0.16; 0.050185; 0.017916;0.095919;0.000885;0.0007170000000000001; 0.000107; false; 0.170696;0.06; 0.054797; 0.019869;0.000379;0.000885; 0.000102; false; 0.081611;0.09; 0.04819; 0.01811;0.005423000000000001;0.012521000000000001;0.013243999999999999; 0.00204; false; 0.104276;0.06; 0.037426; 0.011719;0.000517;0.004139;0.006646000000000001; 0.001031; false; 0.065047;11.14; 0.082039; 0.02129;11.287804999999999; 0.225524; false; 11.7781;1.39; 0.1068; 0.0000; 0.0077; 0.0004; 0.0006; False; 0.0087; 0.1163;1.74; 0.0959; 0.0075; 0.4686; 0.0423; False; 0.5110; 0.6150;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.14;0.276183521; 0.731004477; 0.002980895; false; 0.746209912; 1.164611925;1.26;0.05996415599999999; 0.044196557; 4.2793E-5; false; 0.052106683; 0.266609557
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.13;0.11704199999999998;0.008345700000000003;0.007302300000000001; 0.0002904000; False; 0.0195681000; 0.2142115000;0.06; 0.046676; 0.014246;0.000257;0.0006729999999999999; 8e-05; false; 0.065486;0.22; 0.058877; 0.020365;0.142483;0.0010509999999999999;0.0008979999999999999; 0.000117; false; 0.229254;0.08; 0.059732; 0.029055;0.000456;0.0011330000000000001; 0.000207; false; 0.095661;0.13; 0.064721; 0.023664;0.005126;0.015864;0.019903999999999998; 0.004892; false; 0.139095;0.1; 0.057912; 0.021998;0.001062;0.008434;0.01353; 0.002069; false; 0.110139;28.27; 0.10126; 0.032353;30.143365000000003; 0.509434; false; 30.99;1.3; 0.1025; 0.0000; 0.0073; 0.0004; 0.0005; False; 0.0083; 0.1115;2.07; 0.1092; 0.0083; 0.7311; 0.0694; False; 0.8006; 0.9188;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.5;0.24175023100000004; 1.206433018; 0.002221884; false; 1.214648123; 1.593383379;1.3;0.03921319000000001; 0.018082681; 3.5942E-5; false; 0.0246601; 0.213142918
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.18;0.09450139999999999;0.0131161;0.016246; 0.0002492000; False; 0.0330124000; 0.1712999000;0.08; 0.066336; 0.02279;0.000543;0.001406; 0.00013; false; 0.096765;0.31; 0.068358; 0.024674;0.226638;0.001317;0.00122; 0.000101; false; 0.328965;0.08; 0.06581; 0.022552;0.000559;0.0013609999999999998; 0.00013; false; 0.095869;0.12; 0.066918; 0.022604;0.007228;0.015959;0.014789; 0.001753; false; 0.134108;0.12; 0.070524; 0.024319;0.001307;0.010094;0.016866; 0.002447; false; 0.131798;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.33; 0.1238; 0.0000; 0.0106; 0.0005; 0.0007; False; 0.0119; 0.1361;1.85; 0.0959; 0.0060; 0.5533; 0.0533; False; 0.6067; 0.7090;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.71;0.28597442200000006; 1.644541853; 0.002569242; false; 1.659600884; 2.066208435;1.37;0.057199538; 0.020786068; 5.6338E-5; false; 0.027646483; 0.220557889
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.18;0.09605620000000001;0.015243100000000002;0.0145722; 0.0002565000; False; 0.0334932000; 0.1736337000;0.1; 0.079739; 0.027637;0.0007720000000000001;0.002332; 0.000346; false; 0.117867;0.42; 0.076808; 0.027215;0.320801;0.0013989999999999999;0.0013640000000000002; 0.000151; false; 0.435107;0.1; 0.079385; 0.026243;0.0006469999999999999;0.001644; 0.000155; false; 0.114546;0.15; 0.079132; 0.026236;0.008289000000000001;0.021712000000000002;0.020256; 0.002812; false; 0.164367;0.14; 0.081209; 0.026451;0.0014749999999999997;0.012371000000000002;0.020009; 0.002755; false; 0.150904;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.21; 0.1228; 0.0000; 0.0112; 0.0003; 0.0007; False; 0.0123; 0.1359;1.79; 0.0792; 0.0070; 0.7742; 0.0736; False; 0.8479; 0.9347;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.91;0.331485044; 4.988666866; 0.002651137; false; 5.002880136; 5.532700355;1.6;0.062952021; 0.032333975; 6.0435E-5; false; 0.044956507; 0.271914849
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.11;0.06637370000000001;0.007772900000000001;0.008780300000000001; 0.0002213000; False; 0.0190838000; 0.1144003000;0.06; 0.05021; 0.017955;0.00035800000000000003;0.0011719999999999999; 0.00012; false; 0.074364;0.31; 0.046723; 0.017988;0.25825000000000004;0.0009419999999999999;0.000896; 9.2e-05; false; 0.329799;0.06; 0.043978; 0.016561;0.00035;0.001135; 0.000117; false; 0.065962;0.15; 0.075875; 0.027751;0.007181999999999999;0.021694;0.023968; 0.003249; false; 0.165866;0.15; 0.088078; 0.029144;0.00155;0.014707999999999999;0.023741; 0.002941; false; 0.167349;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.18; 0.1206; 0.0000; 0.0155; 0.0004; 0.0008; False; 0.0167; 0.1382;2.94; 0.1249; 0.0131; 1.6808; 0.1007; False; 1.7815; 1.9202;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;12.58;0.291552943; 8.310728451; 0.002665988; false; 8.334366665; 8.759338384;1.28;0.05648845000000001; 0.052300038; 2.7009E-5; false; 0.069894844; 0.287631754
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.19;0.11215719999999997;0.013335499999999997;0.018441899999999997; 0.0002253000; False; 0.0353101000; 0.1930627000;0.1; 0.087784; 0.021321;0.000494;0.001626; 0.000139; false; 0.117276;0.67; 0.098776; 0.034446;0.541832;0.0016460000000000001;0.002087; 0.00011; false; 0.687846;0.07; 0.051205; 0.021717;0.00042300000000000004;0.001441; 0.000106; false; 0.080145;0.11; 0.05451; 0.021077;0.005872999999999999;0.01685;0.017695000000000002; 0.001954; false; 0.122642;0.1; 0.054859; 0.021344;0.0010210000000000002;0.009555;0.016952; 0.002013; false; 0.11122;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.38; 0.1820; 0.0000; 0.0180; 0.0005; 0.0010; False; 0.0196; 0.2027;4.22; 0.2025; 0.0200; 2.4692; 0.2645; False; 2.7338; 2.9576;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;31.99;0.305096527; 24.507881958; 0.002236946; false; 24.516328823; 24.977494005;1.61;0.088488124; 0.083268997; 3.4153E-5; false; 0.089726961; 0.409782303
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.11;0.06306499999999998;0.008859499999999996;0.0118986; 0.0001470000; False; 0.0231187000; 0.1125704000;0.15; 0.11853; 0.033949;0.000884;0.0028309999999999997; 0.00018; false; 0.165302;1.02; 0.11759; 0.034244;0.88849;0.001903;0.002231; 0.000168; false; 1.05485;0.14; 0.10589; 0.035661;0.000882;0.0027600000000000003; 0.000166; false; 0.15518;0.21; 0.122705; 0.035507;0.011944999999999999;0.022198;0.021936; 0.002483; false; 0.224035;0.19; 0.108352; 0.035132;0.0020959999999999993;0.019957000000000003;0.033457; 0.003733; false; 0.211722;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.34; 0.1928; 0.0000; 0.0178; 0.0004; 0.0010; False; 0.0193; 0.2130;4.69; 0.2125; 0.0204; 3.1096; 0.3445; False; 3.4542; 3.6883;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;68.62;0.433285728; 49.53239566; 0.001749358; false; 49.553025079; 50.171149115;1.58;0.096526558; 0.053770304; 4.8789E-5; false; 0.060359911; 0.327292951
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.18;0.1586023;0.024333600000000007;0.0222953; 0.0001660000; False; 0.0531341000; 0.2760873000;0.11; 0.091217; 0.024734;0.000583;0.0020580000000000004; 0.000145; false; 0.125201;0.94; 0.070255; 0.025722;0.85837;0.0015749999999999998;0.001795; 0.00013; false; 0.96488;0.1; 0.071734; 0.035279;0.00059;0.002023; 0.00014; false; 0.116281;0.31; 0.142408; 0.042646;0.013711999999999998;0.055683;0.06161; 0.006905; false; 0.332814;0.25; 0.144023; 0.041813;0.002463;0.024607;0.04155; 0.004638; false; 0.269592;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.18; 0.1369; 0.0000; 0.0155; 0.0004; 0.0007; False; 0.0167; 0.1543;6.6; 0.2309; 0.0250; 4.9090; 0.4405; False; 5.3497; 5.6075;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.35480373899999995;MISSING;MISSING;MISSING;MISSING;MISSING;1.85;0.137035945; 0.043060066; 4.7001E-5; false; 0.049555428; 0.510578104
