name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.21;0.08582290000000001;0.010556899999999998;0.026602400000000002; 0.0423414000; True; 0.0835986000; 0.2218024000;0.15; 0.111806; 0.050481;0.0014810000000000001;0.000624; 1.2e-05; true; 0.171642;0.15; 0.100287; 0.047223;0.014637;0.000534;0.000112; 2.4e-05; true; 0.170634;0.09; 0.066508; 0.030274;0.00077;0.000331; 2.7e-05; true; 0.102725;0.18; 0.113132; 0.047283;0.012693;0.005131;0.006009; 0.003812; true; 0.19467;0.1; 0.06413; 0.029632;0.0013030000000000001;0.00451;0.005167; 0.003596; true; 0.113012;ERR;ERR;ERR;1.21; 0.1962; 0.0000; 0.0096; 0.0003; 0.0000; True; 0.0100; 0.2070;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.33; 0.2041; 0.0219; 0.1438;0.0065; 0.0066; True; 0.1505; 0.3772;2.97;0.537883746;0.125629708; 0.034393718; true; 0.167078468; 0.9602327;1.83;0.12178783600000001;0.06715089799999999; 0.005055223; true; 0.078915181; 0.411722758
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.18;0.0643824;0.008288900000000002;0.012905800000000002; 0.0470150000; True; 0.0706370000; 0.1739703000;0.03; 0.025088; 0.01287;0.000102;4.5e-05; 8e-06; true; 0.040402;0.03; 0.023052; 0.011363;0.002503;7.099999999999999e-05;3.2e-05; 8e-06; true; 0.039267;0.02; 0.022317; 0.010757;7.6e-05;2.9e-05; 7e-06; true; 0.034855;0.05; 0.037453; 0.016529;0.003978000000000001;0.000505;0.000604; 0.000654; true; 0.062441;0.04; 0.028643; 0.016084;0.000706;0.001044;0.000788; 0.001657; true; 0.052126;ERR;ERR;ERR;1.27; 0.0763; 0.0000; 0.0006; 0.0000; 0.0000; True; 0.0007; 0.0773;1.2; 0.0463; 0.0027; 0.0505; 0.1667; True; 0.2173; 0.2667;1.16; 0.0466; 0.0082; 0.0052;0.0023; 0.0024; True; 0.0076; 0.0627;1.52;0.13293702599999999;0.0349094; 0.00957241; true; 0.050891245; 0.299590589;1.08;0.034552285;0.007620994999999999; 0.004939804; true; 0.02513054; 0.168569152
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.26;0.0981136;0.0086659;0.056338900000000004; 0.0424605000; True; 0.1101393000; 0.2483699000;0.11; 0.084253; 0.037388;0.004071;0.00122; 0.00018; true; 0.135462;0.14; 0.102208; 0.042227;0.011903;0.0005589999999999999;0.00011300000000000001; 7.3e-05; true; 0.164074;0.12; 0.082697; 0.034962;0.004312;0.0015680000000000002; 0.000196; true; 0.132819;0.35; 0.103606; 0.039252;0.0182;0.051229000000000004;0.14029; 0.005353; true; 0.377803;0.17; 0.084154; 0.034209;0.0021839999999999997;0.021586;0.025863999999999998; 0.001444; true; 0.175539;ERR;ERR;ERR;1.14; 0.1924; 0.0000; 0.0188; 0.0005; 0.0003; True; 0.0198; 0.2127;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.73; 0.1953; 0.0210; 0.3603;0.0073999999999999995; 0.0078; True; 0.3682; 0.5857;2.48;0.324563135;0.107105328; 0.042220549; true; 0.159445577; 0.679763598;1.66;0.07256779800000002;0.098028561; 0.002213619; true; 0.106786022; 0.328367502
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.16;0.1025505;0.0055975;0.011967799999999999; 0.0259236000; True; 0.0452917000; 0.1892869000;0.11; 0.086468; 0.036124;0.000431;0.000152; 1e-05; true; 0.13006;0.13; 0.082214; 0.036299;0.024942;0.00033099999999999997;0.000105; 9e-06; true; 0.150752;0.12; 0.087793; 0.036987;0.00045799999999999997;0.00015299999999999998; 1.1e-05; true; 0.132317;0.13; 0.074054; 0.033554;0.018144;0.001305;0.00142; 0.007252; true; 0.142075;0.13; 0.075997; 0.033436;0.0026839999999999998;0.0019169999999999999;0.0016249999999999997; 0.021025; true; 0.143733;ERR;ERR;ERR;1.28; 0.1759; 0.0000; 0.0039; 0.0000; 0.0000; True; 0.0040; 0.1804;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.3; 0.1650; 0.0262; 0.0544;0.0451; 0.0453; True; 0.0998; 0.2917;TO;0.123487284;MISSING;MISSING;MISSING;MISSING;MISSING;1.92;0.089188887;0.009205050000000001; 0.083846296; true; 0.106281482; 0.499840362
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.16;0.0574627;0.008366;0.012735; 0.0352454000; True; 0.0595979000; 0.1675986000;0.01; 0.016204; 0.009074;9e-06;5.999999999999999e-06; 2.3e-05; true; 0.026911;0.02; 0.015927; 0.00878;0.0008280000000000001;9e-06;4.9999999999999996e-06; 7e-06; true; 0.026966;0.02; 0.015835; 0.008896;9e-06;5.999999999999999e-06; 2.1e-05; true; 0.026291;0.02; 0.016413; 0.009104;0.0012490000000000001;1.4000000000000001e-05;5.999999999999999e-06; 4.9e-05; true; 0.028402;0.02; 0.016664; 0.008958;0.000214;0.000741;0.0005949999999999999; 0.000801; true; 0.030479;ERR;ERR;ERR;1.24; 0.0441; 0.0000; 0.0004; 0.0002; 0.0000; True; 0.0006; 0.0451;1.14; 0.0225; 0.0008; 0.0466; 0.1119; True; 0.1585; 0.1821;0.85; 0.0221; 0.0014; 0.0001;0.0002; 0.0003; True; 0.0004; 0.0240;1.32;0.125748157;0.035669937; 0.008663457; true; 0.050407932; 0.334306328;1.09;0.030910698;0.00255918; 0.001305437; true; 0.011258235; 0.149259233
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.17;0.059970600000000006;0.008353099999999999;0.014311899999999999; 0.0367204000; True; 0.0632704000; 0.1748725000;0.02; 0.015278; 0.009572;0.000255;8.9e-05; 2.4e-05; true; 0.026911;0.02; 0.014725; 0.009033;0.0012490000000000001;9.9e-05;3.7e-05; 8e-06; true; 0.026633;0.02; 0.015052; 0.009459;0.000259;7.9e-05; 2.4e-05; true; 0.026531;0.02; 0.016001; 0.00954;0.001538;0.0009230000000000001;0.001073; 4.4e-05; true; 0.030936;0.03; 0.016182; 0.009166;0.00024000000000000003;0.001451;0.0012259999999999999; 0.000867; true; 0.031827;ERR;ERR;ERR;1.26; 0.0345; 0.0000; 0.0010; 0.0000; 0.0000; True; 0.0011; 0.0361;1.54; 0.0379; 0.0016; 0.1778; 0.1725; True; 0.3504; 0.3904;0.87; 0.0224; 0.0016; 0.0041;0.0002; 0.0003; True; 0.0044; 0.0286;1.36;0.186877879;0.076747114; 0.005946696; true; 0.091081686; 0.388748418;1.16;0.034647428;0.005345542; 9.17736E-4; true; 0.012522373; 0.16769625
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.13;0.05770030000000001;0.0057414000000000015;0.0102275; 0.0245415000; True; 0.0438295000; 0.1416801000;0.09; 0.07212; 0.024315;0.0009910000000000001;0.000283; 2.8e-05; true; 0.10139;0.09; 0.065424; 0.022629;0.007352;0.000191;8e-05; 1.1e-05; true; 0.099037;0.07; 0.057438; 0.024185;0.0009189999999999999;0.00025899999999999995; 3.9e-05; true; 0.086279;0.08; 0.060702; 0.016079;0.003723;0.003313;0.0068980000000000005; 0.003408; true; 0.096987;0.1; 0.07404; 0.02383;0.001075;0.0038920000000000005;0.003914999999999999; 0.00271; true; 0.11372;ERR;ERR;ERR;1.14; 0.1960; 0.0000; 0.0091; 0.0003; 0.0000; True; 0.0095; 0.2060;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.49; 0.1339; 0.0115; 0.1012;0.006500000000000001; 0.0067; True; 0.1080; 0.2540;1.93;0.203857718;0.047070949; 0.034320495; true; 0.088283251; 0.438689344;1.4;0.09156426100000001;0.036896169; 0.011970036; true; 0.061590466; 0.510019352
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.17;0.0698343;0.008982700000000001;0.0138866; 0.0400169000; True; 0.0662208000; 0.1818915000;0.02; 0.020163; 0.016764;1.6e-05;7e-06; 9e-06; true; 0.039235;0.02; 0.018566; 0.01659;0.001918;1.2000000000000002e-05;8e-06; 7e-06; true; 0.039552;0.02; 0.019242; 0.01825;1.8e-05;1e-05; 9e-06; true; 0.040168;0.02; 0.019286; 0.016538;0.002553;3e-05;1.4e-05; 0.000405; true; 0.040975;0.03; 0.020803; 0.05462;0.000464;0.0006779999999999999;0.000469; 0.001298; true; 0.082526;ERR;ERR;ERR;1.18; 0.0298; 0.0000; 0.0002; 0.0002; 0.0002; True; 0.0006; 0.0307;1.64; 0.0650; 0.0045; 0.0525; 0.4179; True; 0.4705; 0.5404;1.2; 0.0777; 0.0075; 0.0005;0.0016; 0.0017; True; 0.0022; 0.0878;1.44;0.193313392;0.041879338; 0.013799109; true; 0.062492129; 0.522758198;1.31;0.031294372;0.002466504; 0.002886299; true; 0.013210148; 0.189160844
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.21;0.0944661;0.0088218;0.0140369; 0.0410791000; True; 0.0677671000; 0.2186286000;0.13; 0.086252; 0.054114;2.1000000000000002e-05;1.1000000000000001e-05; 5.7e-05; true; 0.150571;0.14; 0.07816; 0.048373;0.024085000000000002;1.9e-05;9e-06; 9e-06; true; 0.159783;0.13; 0.086317; 0.056823;2.5e-05;1e-05; 0.000624; true; 0.153732;0.16; 0.082594; 0.049542;0.030187;6.9e-05;2.9000000000000004e-05; 0.010924; true; 0.18221;0.18; 0.091852; 0.055951;0.005006;0.001136;0.0010769999999999998; 0.037613; true; 0.204215;ERR;ERR;ERR;1.41; 0.2147; 0.0000; 0.0007; 0.0000; 0.0000; True; 0.0008; 0.2162;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.49; 0.2900; 0.0639; 0.0007;0.06470000000000001; 0.0650; True; 0.0658; 0.4211;3.52;0.487401584;0.09939733199999999; 0.127736585; true; 0.251795624; 0.961531057;2.4;0.173674006;0.0028644259999999998; 0.109231625; true; 0.11926972; 0.569902236
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.24;0.1113352;0.010193799999999998;0.0154715; 0.0524640000; True; 0.0864380000; 0.2613402000;0.16; 0.121741; 0.05388;0.00012199999999999998;3e-05; 3.1e-05; true; 0.184604;0.19; 0.120873; 0.052948;0.025496000000000005;5.2000000000000004e-05;1.8e-05; 1e-05; true; 0.208508;0.15; 0.11702; 0.049008;0.000136;3e-05; 2.8e-05; true; 0.174615;0.19; 0.1202; 0.049268;0.023667999999999998;0.0005520000000000001;0.000478; 0.00107; true; 0.202726;0.17; 0.120966; 0.04737;0.0034590000000000003;0.001232;0.0008370000000000001; 0.002555; true; 0.183576;ERR;ERR;ERR;1.38; 0.2748; 0.0000; 0.0025; 0.0010; 0.0000; True; 0.0036; 0.2792;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.38; 0.2428; 0.0203; 0.0133;0.004200000000000001; 0.0044; True; 0.0178; 0.2820;3.17;0.622519894;0.103848194; 0.065862673; true; 0.176867456; 1.012882628;1.69;0.134296607;0.006952287; 0.005133654; true; 0.02604515; 0.571168594
