name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.12; 0.0680140000;0.0056784; 0.0041591000; 0.0001164000; False; 0.0126265000; 0.1741785000;0.0; 0.000202; 5.4e-05; 8e-06; 1e-06; false; 0.000448;0.0; 0.000374; 4.6e-05; 2.4e-05; 1e-05; 2e-06; false; 0.00061;0.0; 0.000198; 1.8e-05; 4e-06; 1e-06; false; 0.000368;0.0; 0.000166; 0.000239; 6.3e-05; 5e-06; 4e-06; false; 0.000801;0.0; 0.000188; 9e-06; 0.000848; 0.000645; 4.9e-05; false; 0.003061;ERR;1.09; 0.0060; 0.0000; 0.0003; 0.0000; 0.0000; False; 0.0004; 0.0066;0.98; 0.0062; 0.0002; 0.0001; 0.0001; 0.0000; False; 0.0001; 0.0067;1.12; 0.0044; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0049;1.04; 0.072379009; 0.035948042; 0.002638316; false; 0.051484167; 0.204344521;0.73; 0.007276184; 0.002646525; 3.387E-5; false; 0.010458912; 0.092877509
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.12; 0.0376377000;0.0105244; 0.0064838000; 0.0001872000; False; 0.0200908000; 0.1175817000;0.0; 0.000107; 2.1e-05; 5e-06; 2e-06; false; 0.000244;0.0; 9.5e-05; 4.3e-05; 1.7e-05; 1e-05; 2e-06; false; 0.000307;0.0; 9.2e-05; 2.4e-05; 6e-06; 1e-06; false; 0.000236;0.0; 5.6e-05; 4e-05; 2.5e-05; 4e-06; 2e-06; false; 0.000211;0.0; 0.000113; 1.8e-05; 0.000684; 0.000483; 3.6e-05; false; 0.002353;ERR;1.03; 0.0044; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0046;0.95; 0.0043; 0.0000; 0.0001; 0.0001; 0.0000; False; 0.0001; 0.0046;1.17; 0.0074; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0083;0.99; 0.060510626; 0.014968103; 0.002235834; false; 0.023700331; 0.151145609;0.95; 0.005954447; 0.002159687; 2.8251E-5; false; 0.009277092; 0.111929352
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.11; 0.0335725000;0.0082025; 0.0059758000; 0.0001498000; False; 0.0166399000; 0.1038529000;0.0; 8.2e-05; 2.1e-05; 6e-06; 2e-06; false; 0.000251;0.0; 7.9e-05; 3.8e-05; 1.5e-05; 1e-05; 2e-06; false; 0.00031;0.0; 8.3e-05; 2.5e-05; 6e-06; 2e-06; false; 0.000246;0.0; 9.3e-05; 5.8e-05; 4.2e-05; 8e-06; 5e-06; false; 0.000374;0.0; 9.9e-05; 1.2e-05; 0.00056; 0.000435; 3.6e-05; false; 0.00206;ERR;1.21; 0.0058; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0061;1.16; 0.0060; 0.0001; 0.0001; 0.0002; 0.0000; False; 0.0002; 0.0065;1.05; 0.0058; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0004; 0.0066;0.96; 0.061989951; 0.01554894; 0.001848908; false; 0.023305355; 0.151725043;0.97; 0.006480089; 0.00223721; 4.5082E-5; false; 0.009175161; 0.104214065
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.12; 0.0350899000;0.0091024; 0.0072779000; 0.0001761000; False; 0.0189478000; 0.1086186000;0.0; 9.8e-05; 2.3e-05; 5e-06; 1e-06; false; 0.000253;0.0; 0.000106; 4e-05; 1.6e-05; 9e-06; 1e-06; false; 0.00032;0.0; 0.000103; 2.8e-05; 5e-06; 1e-06; false; 0.000265;0.0; 9.1e-05; 6e-05; 3.8e-05; 6e-06; 4e-06; false; 0.000351;0.0; 9.3e-05; 1.2e-05; 0.000582; 0.000438; 3.5e-05; false; 0.002071;ERR;1.16; 0.0084; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0087;1.03; 0.0063; 0.0001; 0.0001; 0.0002; 0.0000; False; 0.0002; 0.0067;1.18; 0.0074; 0.0002; 0.0004; 0.0005; 0.0001; False; 0.0006; 0.0083;0.8; 0.04508931; 0.012504488; 0.002011262; false; 0.020069667; 0.116589797;0.97; 0.009919828; 0.001875922; 5.4133E-5; false; 0.009378633; 0.120567587
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.09; 0.0225344000;0.0057936; 0.0040342000; 0.0001145000; False; 0.0116702000; 0.0705009000;0.0; 5.8e-05; 1.4e-05; 4e-06; 1e-06; false; 0.000157;0.0; 6.7e-05; 2.7e-05; 1e-05; 5e-06; 1e-06; false; 0.000193;0.0; 9.1e-05; 2.4e-05; 5e-06; 2e-06; false; 0.000253;0.0; 5.5e-05; 4.1e-05; 2.4e-05; 3e-06; 3e-06; false; 0.000215;0.0; 9.8e-05; 1.1e-05; 0.000667; 0.000441; 3.8e-05; false; 0.002233;ERR;1.27; 0.0065; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0068;1.17; 0.0060; 0.0001; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0064;1.17; 0.0061; 0.0002; 0.0003; 0.0005; 0.0001; False; 0.0006; 0.0070;0.81; 0.043355611; 0.011750064; 0.001385699; false; 0.01808759; 0.115030618;0.75; 0.005001498; 0.002241746; 2.9018E-5; false; 0.009463701; 0.074668836
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.12; 0.0364149000;0.0092187; 0.0068173000; 0.0001818000; False; 0.0186356000; 0.1106699000;0.0; 9.6e-05; 2.3e-05; 6e-06; 1e-06; false; 0.00026;0.0; 9.2e-05; 3.9e-05; 1.7e-05; 2e-05; 2e-06; false; 0.000313;0.0; 8.9e-05; 2.7e-05; 7e-06; 1e-06; false; 0.000241;0.0; 0.000105; 5.9e-05; 3.8e-05; 6e-06; 4e-06; false; 0.00036;0.0; 0.000101; 1e-05; 0.000655; 0.000483; 3.9e-05; false; 0.002289;ERR;1.15; 0.0064; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0068;1.03; 0.0044; 0.0001; 0.0001; 0.0001; 0.0000; False; 0.0001; 0.0047;0.95; 0.0046; 0.0001; 0.0002; 0.0002; 0.0001; False; 0.0003; 0.0052;0.91; 0.065968568; 0.015863989; 0.001652783; false; 0.022602499; 0.173871436;0.94; 0.003988651; 0.002350749; 3.0431E-5; false; 0.01010995; 0.07264827
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.12; 0.0371499000;0.009928999999999999; 0.0071049000; 0.0001767000; False; 0.0197959000; 0.1116708000;0.0; 8.6e-05; 2.3e-05; 6e-06; 2e-06; false; 0.000254;0.0; 8.5e-05; 3.9e-05; 1.6e-05; 9e-06; 2e-06; false; 0.000283;0.0; 9.1e-05; 2.6e-05; 6e-06; 1e-06; false; 0.000258;0.0; 8.8e-05; 5.9e-05; 3.5e-05; 6e-06; 4e-06; false; 0.000331;0.0; 0.000104; 1e-05; 0.000623; 0.000471; 3.7e-05; false; 0.002182;ERR;1.2; 0.0060; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0063;1.18; 0.0062; 0.0001; 0.0001; 0.0002; 0.0000; False; 0.0002; 0.0067;1.08; 0.0043; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;0.88; 0.078937835; 0.013591438; 0.002111734; false; 0.022351652; 0.171644464;0.7; 0.00467251; 0.00152448; 1.9922E-5; false; 0.006889559; 0.060360169
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.1; 0.0388256000;0.0055276; 0.0040728000; 0.0001081000; False; 0.0113094000; 0.1270720000;0.0; 9.1e-05; 2.3e-05; 6e-06; 2e-06; false; 0.000266;0.0; 8.7e-05; 4e-05; 1.5e-05; 9e-06; 2e-06; false; 0.000286;0.0; 8.8e-05; 2.7e-05; 6e-06; 2e-06; false; 0.000243;0.0; 8.7e-05; 5.9e-05; 4e-05; 5e-06; 4e-06; false; 0.000335;0.0; 9.5e-05; 1.2e-05; 0.000596; 0.000437; 3.6e-05; false; 0.002092;ERR;1.07; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;1.22; 0.0067; 0.0001; 0.0001; 0.0002; 0.0000; False; 0.0002; 0.0072;1.11; 0.0061; 0.0002; 0.0002; 0.0004; 0.0001; False; 0.0005; 0.0069;1.08; 0.074600553; 0.026195576; 0.001843457; false; 0.034146915; 0.235117761;0.82; 0.004749517; 0.002332971; 3.1245E-5; false; 0.009972592; 0.078877787
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.1; 0.0354066000;0.0055553; 0.0039703000; 0.0001373000; False; 0.0112389000; 0.1214813000;0.0; 9.2e-05; 2.2e-05; 6e-06; 2e-06; false; 0.000259;0.0; 9.9e-05; 4.2e-05; 1.6e-05; 9e-06; 1e-06; false; 0.000303;0.0; 8.9e-05; 2.8e-05; 7e-06; 1e-06; false; 0.000246;0.0; 9e-05; 5.8e-05; 3.9e-05; 7e-06; 3e-06; false; 0.000335;0.0; 0.000108; 1e-05; 0.00063; 0.000487; 3.8e-05; false; 0.002206;ERR;1.25; 0.0065; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0068;1.21; 0.0049; 0.0001; 0.0001; 0.0001; 0.0000; False; 0.0001; 0.0052;1.2; 0.0064; 0.0002; 0.0002; 0.0004; 0.0001; False; 0.0004; 0.0072;1.1; 0.071194333; 0.033444971; 0.001986939; false; 0.051511791; 0.199718501;0.77; 0.00836123; 0.002314712; 2.7109E-5; false; 0.009888834; 0.090727701
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.07; 0.0221149000;0.0054217; 0.0040426000; 0.0001073000; False; 0.0111441000; 0.0656765000;0.0; 8.3e-05; 2.2e-05; 5e-06; 2e-06; false; 0.000247;0.0; 8e-05; 3.8e-05; 1.4e-05; 9e-06; 2e-06; false; 0.000259;0.0; 5.5e-05; 1.7e-05; 4e-06; 1e-06; false; 0.000156;0.0; 5.6e-05; 3.8e-05; 2.5e-05; 4e-06; 2e-06; false; 0.000209;0.0; 7.7e-05; 9e-06; 0.00041; 0.00029; 2.4e-05; false; 0.001428;ERR;1.26; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0064;1.17; 0.0062; 0.0001; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0066;1.15; 0.0066; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0075;0.89; 0.060567932; 0.023089074; 0.00273715; false; 0.033659562; 0.172252668;0.77; 0.007808066; 0.001990261; 5.1359E-5; false; 0.009766477; 0.083116271
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.12; 0.0370321000;0.0088337; 0.0063518000; 0.0001718000; False; 0.0180240000; 0.1294451000;0.0; 8.7e-05; 2.2e-05; 7e-06; 3e-06; false; 0.000268;0.0; 9e-05; 4.3e-05; 1.9e-05; 1.1e-05; 3e-06; false; 0.000353;0.0; 0.000103; 2.7e-05; 6e-06; 1e-06; false; 0.000284;0.0; 8.9e-05; 5.9e-05; 5.5e-05; 7e-06; 6e-06; false; 0.000389;0.0; 9.9e-05; 1.1e-05; 0.000634; 0.000496; 4e-05; false; 0.002253;ERR;1.2; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0064;1.04; 0.0044; 0.0000; 0.0001; 0.0001; 0.0000; False; 0.0001; 0.0048;1.01; 0.0044; 0.0002; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0050;0.94; 0.072714164; 0.016691925; 0.001886385; false; 0.02505004; 0.174379647;0.94; 0.00478178; 0.001559292; 2.3914E-5; false; 0.007492937; 0.099132771
