name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.2; 0.0661527000;0.0089739; 0.0888269000; 0.0003166000; False; 0.1004978000; 0.2250963000;0.1; 0.041525; 0.06498; 0.000233; 0.000106; false; 0.114681;0.09; 0.033131; 0.027796; 0.037734; 0.000137; 5.5e-05; false; 0.103379;0.12; 0.058171; 0.059879; 0.000161; 7.6e-05; false; 0.12545;0.23; 0.05958; 0.026192; 0.132155; 0.005804; 0.006222; false; 0.23531;0.13; 0.032588; 0.002137; 0.097382; 0.001827; 0.001506; false; 0.139237;ERR;1.05; 0.0630; 0.0000; 0.0699; 0.0003; 0.0000; False; 0.0704; 0.1344;2.08; 0.0511; 0.0468; 1.2232; 1.2281; 0.0129; False; 1.2411; 1.3398;1.71; 0.1005; 0.0336; 0.5565; 0.5681; 0.0001; False; 0.5682; 0.7032;3.39; 0.781124296; 0.052448741; 0.003475208; false; 0.076703106; 1.14198722;1.86; 0.097954731; 0.063560456; 3.2309E-5; false; 0.071176061; 0.350388469
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.18; 0.0428949000;0.0092694; 0.0602023000; 0.0002951000; False; 0.0722571000; 0.1698431000;0.0; 0.004293; 0.002649; 0.000252; 0.000162; false; 0.009405;0.01; 0.004356; 0.003892; 0.002679; 0.000275; 0.000199; false; 0.013144;0.0; 0.00422; 0.002547; 0.000266; 0.000152; false; 0.009195;0.04; 0.004462; 0.002727; 0.017683; 0.009053; 0.007795; false; 0.042524;0.03; 0.004378; 0.000402; 0.011286; 0.004905; 0.004226; false; 0.027063;ERR;1.15; 0.0130; 0.0000; 0.0031; 0.0003; 0.0000; False; 0.0035; 0.0171;1.38; 0.0155; 0.0070; 0.0454; 0.0518; 0.0052; False; 0.0571; 0.0799;1.16; 0.0113; 0.0031; 0.0054; 0.0136; 0.0001; False; 0.0137; 0.0283;1.94; 0.204766869; 0.146691094; 0.002507509; false; 0.155588636; 0.473032235;1.19; 0.035942749; 0.042628252; 3.0084E-5; false; 0.049613536; 0.275280747
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.13; 0.0454679000;0.009396; 0.0069901000; 0.0001901000; False; 0.0195201000; 0.1247171000;0.0; 0.005064; 0.000601; 5.2e-05; 3.2e-05; false; 0.006725;0.01; 0.004622; 0.009093; 0.000649; 8.4e-05; 4.6e-05; false; 0.015504;0.0; 0.004528; 0.000652; 5.4e-05; 3.2e-05; false; 0.006246;0.01; 0.004573; 0.002246; 0.003009; 0.001082; 0.00105; false; 0.012619;0.01; 0.004678; 0.000324; 0.002249; 0.001068; 0.000787; false; 0.010274;ERR;1.24; 0.0199; 0.0000; 0.0026; 0.0002; 0.0000; False; 0.0028; 0.0233;1.17; 0.0135; 0.0049; 0.0098; 0.0121; 0.0021; False; 0.0143; 0.0330;1.17; 0.0205; 0.0092; 0.0061; 0.0121; 0.0001; False; 0.0123; 0.0424;1.59; 0.193021284; 0.044214094; 0.010595732; false; 0.061294754; 0.440459684;1.04; 0.039380907; 0.009304942; 3.481E-5; false; 0.016200944; 0.195612172
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.08; 0.0303625000;0.0059844; 0.0044231000; 0.0001379000; False; 0.0124619000; 0.0823517000;0.01; 0.008376; 0.000984; 0.000122; 2.9e-05; false; 0.011169;0.05; 0.014959; 0.042925; 0.002008; 0.000146; 4.1e-05; false; 0.062976;0.01; 0.015658; 0.002145; 0.00018; 5.1e-05; false; 0.021175;0.04; 0.015848; 0.007938; 0.010514; 0.004217; 0.00408; false; 0.044607;0.03; 0.01593; 0.001162; 0.005928; 0.00274; 0.002164; false; 0.030827;ERR;1.31; 0.0308; 0.0000; 0.0041; 0.0005; 0.0000; False; 0.0047; 0.0365;1.06; 0.0189; 0.0140; 0.0195; 0.0217; 0.0032; False; 0.0250; 0.0582;1.3; 0.0309; 0.0150; 0.0104; 0.0224; 0.0001; False; 0.0226; 0.0690;1.91; 0.297079952; 0.107547376; 0.022817399; false; 0.136211861; 0.600094731;1.4; 0.039470334; 0.033164647; 3.5078E-5; false; 0.066732812; 0.309988602
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.08; 0.0296855000;0.0056488; 0.0042861000; 0.0001226000; False; 0.0116625000; 0.0777589000;0.0; 0.007446; 0.000604; 4.8e-05; 2.9e-05; false; 0.009473;0.03; 0.00766; 0.023697; 0.00062; 5.2e-05; 3.1e-05; false; 0.033484;0.01; 0.008014; 0.000678; 5.4e-05; 2.3e-05; false; 0.010202;0.01; 0.007815; 0.003706; 0.002378; 0.000842; 0.000821; false; 0.01656;0.01; 0.00749; 0.000493; 0.002145; 0.000898; 0.000658; false; 0.01312;ERR;1.28; 0.0291; 0.0000; 0.0033; 0.0002; 0.0000; False; 0.0036; 0.0333;1.19; 0.0315; 0.0194; 0.0279; 0.0297; 0.0037; False; 0.0335; 0.0849;1.14; 0.0269; 0.0130; 0.0092; 0.0144; 0.0001; False; 0.0146; 0.0549;1.57; 0.207543143; 0.080690817; 0.002018006; false; 0.090892737; 0.444380565;1.32; 0.054191685; 0.009948835; 3.0168E-5; false; 0.019414886; 0.272092205
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.14; 0.1385; 0.0000; 0.0130; 0.0009; 0.0000; False; 0.0139; 0.1541;1.67; 0.1144; 0.1443; 0.2530; 0.2677; 0.0320; False; 0.2997; 0.5597;1.34; 0.1321; 0.1559; 0.0218; 0.0339; 0.0001; False; 0.0341; 0.3233;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.18; 0.0841429000;0.0095921; 0.0480398000; 0.0002380000; False; 0.0604968000; 0.2036175000;0.01; 0.014175; 0.000966; 8.9e-05; 3.4e-05; false; 0.017828;0.04; 0.01498; 0.035208; 0.001204; 0.000101; 4.3e-05; false; 0.054329;0.01; 0.015004; 0.001133; 8.7e-05; 3.5e-05; false; 0.018927;0.03; 0.015004; 0.007472; 0.005326; 0.002559; 0.002362; false; 0.03468;0.02; 0.015096; 0.001099; 0.004074; 0.001665; 0.001232; false; 0.02578;ERR;1.24; 0.0293; 0.0000; 0.0030; 0.0002; 0.0000; False; 0.0033; 0.0332;1.19; 0.0295; 0.0284; 0.0472; 0.0488; 0.0053; False; 0.0541; 0.1126;1.21; 0.0305; 0.0140; 0.0087; 0.0147; 0.0001; False; 0.0149; 0.0598;1.68; 0.209408562; 0.070053908; 0.001971533; false; 0.07802736; 0.439899399;1.39; 0.069313581; 0.024256263; 3.451E-5; false; 0.031734479; 0.33785621
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.17; 0.0627272000;0.0058206; 0.0576190000; 0.0002010000; False; 0.0652903000; 0.2191967000;0.04; 0.034215; 0.006753; 0.000537; 7.8e-05; false; 0.047414;0.19; 0.055751; 0.123825; 0.008952; 0.000778; 0.000122; false; 0.198821;0.07; 0.056691; 0.009943; 0.000514; 0.00011; false; 0.075666;0.16; 0.052836; 0.032959; 0.050631; 0.015922; 0.011358; false; 0.17025;0.1; 0.056538; 0.003932; 0.025853; 0.007583; 0.006901; false; 0.106233;ERR;1.15; 0.0881; 0.0000; 0.0178; 0.0014; 0.0000; False; 0.0192; 0.1090;1.67; 0.0855; 0.0543; 0.4015; 0.4174; 0.0488; False; 0.4663; 0.6068;1.43; 0.1029; 0.0488; 0.0972; 0.1636; 0.0001; False; 0.1638; 0.3164;3.11; 0.523213469; 0.154262892; 0.004133538; false; 0.175210891; 0.92543924;1.98; 0.159375558; 0.097907493; 3.111E-5; false; 0.105003299; 0.637829689
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.16; 0.0378440000;0.0089702; 0.0450855000; 0.0001794000; False; 0.0566257000; 0.1503247000;0.0; 0.00075; 0.00052; 7.6e-05; 4.5e-05; false; 0.001994;0.0; 0.000835; 0.001318; 0.000599; 7.5e-05; 5.6e-05; false; 0.003521;0.0; 0.000817; 0.000587; 6.8e-05; 4.3e-05; false; 0.002183;0.0; 0.000814; 0.000572; 0.003681; 0.001201; 0.001177; false; 0.007797;0.01; 0.00074; 8.3e-05; 0.0024; 0.001395; 0.000903; false; 0.006634;ERR;1.16; 0.0078; 0.0000; 0.0013; 0.0001; 0.0000; False; 0.0014; 0.0096;1.2; 0.0085; 0.0010; 0.0059; 0.0076; 0.0011; False; 0.0088; 0.0185;1.24; 0.0204; 0.0018; 0.0018; 0.0055; 0.0001; False; 0.0056; 0.0281;1.13; 0.129963208; 0.065835373; 0.002095359; false; 0.074383775; 0.295344175;0.87; 0.027597738; 0.023271508; 2.9104E-5; false; 0.03072342; 0.149500127
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.19; 0.0557932000;0.0100154; 0.0519321000; 0.0003297000; False; 0.0648313000; 0.2036138000;0.02; 0.021592; 0.003137; 0.000278; 0.000189; false; 0.029532;0.23; 0.022201; 0.221887; 0.003965; 0.000392; 0.000168; false; 0.253364;0.01; 0.012366; 0.001868; 0.000285; 0.000143; false; 0.017287;0.06; 0.018121; 0.008029; 0.020795; 0.009189; 0.007251; false; 0.064931;0.04; 0.021089; 0.001715; 0.010032; 0.004769; 0.004066; false; 0.045593;ERR;1.16; 0.0419; 0.0000; 0.0079; 0.0007; 0.0000; False; 0.0087; 0.0514;1.45; 0.0439; 0.0852; 0.1103; 0.1185; 0.0187; False; 0.1373; 0.2671;1.21; 0.0400; 0.0241; 0.0170; 0.0378; 0.0001; False; 0.0379; 0.1028;2.03; 0.290352997; 0.08164485; 0.002253763; false; 0.090575024; 0.56153693;1.52; 0.084834279; 0.061637293; 2.7579E-5; false; 0.074754908; 0.313919402
