                                                                        Finished / Errors / Timeouts                                                                       
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bench                mata         mata-old     mata-sim     awali       mona           vata         automata    brics       (j)alib     fado         (py)alib    (py)mata
-------------------  -----------  -----------  -----------  ----------  -------------  -----------  ----------  ----------  ----------  -----------  ----------  ----------
aut_inclusion        136, 0, 0    136, 0, 0    136, 0, 0    129, 0, 7   95, 36, 5      136, 0, 0    127, 0, 9   131, 0, 5   131, 0, 5   78, 0, 58    126, 0, 10  136, 0, 0
bc_cox_diff          0, 4, 76     0, 27, 53    0, 10, 70    0, 0, 80    0, 47, 33      0, 0, 80     0, 0, 80    0, 0, 80    0, 0, 80    0, 0, 80     0, 0, 80    0, 0, 80
bc_cox_inter         80, 0, 0     80, 0, 0     80, 0, 0     80, 0, 0    0, 80, 0       80, 0, 0     80, 0, 0    80, 0, 0    0, 0, 80    8, 0, 72     0, 0, 80    80, 0, 0
bc_cox_union         80, 0, 0     80, 0, 0     80, 0, 0     80, 0, 0    0, 80, 0       80, 0, 0     80, 0, 0    80, 0, 0    0, 0, 80    80, 0, 0     0, 0, 80    80, 0, 0
bc_intersect         31, 114, 42  31, 114, 42  32, 107, 48  30, 3, 154  133, 34, 20    29, 20, 138  30, 0, 157  28, 0, 159  41, 0, 146  9, 0, 178    14, 0, 173  30, 8, 149
bc_intersect_union   187, 0, 0    187, 0, 0    187, 0, 0    187, 0, 0   132, 18, 37    182, 0, 5    187, 0, 0   187, 0, 0   43, 3, 141  77, 0, 110   26, 0, 161  187, 0, 0
email_filter         500, 0, 0    500, 0, 0    499, 1, 0    500, 0, 0   201, 197, 102  500, 0, 0    500, 0, 0   500, 0, 0   454, 6, 40  445, 0, 55   496, 0, 4   500, 0, 0
presburger           170, 0, 0    170, 0, 0    170, 0, 0    170, 0, 0   138, 3, 29     170, 0, 0    170, 0, 0   163, 0, 7   163, 0, 7   163, 0, 7    163, 0, 7   163, 0, 7
presburger-explicit  170, 0, 0    170, 0, 0    170, 0, 0    163, 7, 0   161, 9, 0      170, 0, 0    170, 0, 0   170, 0, 0   170, 0, 0   168, 0, 2    169, 0, 1   170, 0, 0
z3_noodler           751, 8, 0    751, 8, 0    750, 8, 1    751, 8, 0   605, 154, 0    751, 8, 0    751, 8, 0   751, 8, 0   751, 8, 0   751, 0, 8    753, 6, 0   759, 0, 0
z3_noodler_concat    438, 0, 0    438, 0, 0    438, 0, 0    438, 0, 0   -              -            -           438, 0, 0   -           263, 0, 175  -           438, 0, 0
