                                                                          1st Quartile / Median / 3rd Quartile per op/bench                                                                          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali            mona            vata             automata        brics            (j)alib        fado           (py)alib       (py)mata
---------  -------------  -------------  -------------  ---------------  --------------  ---------------  --------------  ---------------  -------------  -------------  -------------  -------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.1, 0.1   0.0, 0.0, 0.1    0.0, 0.0, 0.0  0.0, 0.1, 0.2  0.0, 0.0, 0.1  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1    -               -                -               0.0, 0.0, 0.1    -              0.6, 4.6, 60   -              0.0, 0.0, 0.2
deter/ai   -              -              -              -                -               -                -               -                -              -              0.0, 0.1, 0.2  -
deter/bi   -              -              -              -                -               -                -               -                -              -              60, 60, 60     -
deter/biu  -              -              -              -                -               -                -               -                -              -              60, 60, 60     -
deter/ef   -              -              -              -                -               -                -               -                -              -              0.0, 0.0, 0.0  -
deter/p    -              -              -              -                -               -                -               -                -              0.0, 0.1, 0.2  0.0, 0.0, 0.1  -
deter/zn   -              -              -              -                -               -                -               -                -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -
empti/bci  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1    -               0.0, 0.0, 0.8    0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              60, 60, 60     -              0.0, 0.0, 0.0
empti/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.1, 0.2  -              0.0, 0.0, 0.0
empti/bi   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       0.0, 0.0, 60    60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
empti/biu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1    0.0, 0.0, 60    0.0, 0.1, 0.4    0.0, 0.0, 0.0   0.0, 0.0, 0.0    60, 60, 60     0.6, 60, 60    60, 60, 60     0.0, 0.0, 0.0
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1    -               -                -               0.0, 0.0, 0.0    -              0.0, 9.8, 60   -              0.0, 0.0, 0.0
fair-/ai   0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.2    0.2, 0.7, 60    0.0, 0.1, 0.4    0.1, 0.1, 0.7   0.2, 0.3, 0.5    0.2, 0.3, 0.3  0.4, 25.0, 60  0.0, 0.1, 0.2  0.0, 0.0, 0.0
fair-/bcd  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
