                                                                     1st Quartile / Median / 3rd Quartile per operation                                                                    
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona            vata           automata       brics          (j)alib        fado            (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  --------------  -------------  -------------  -------------  -------------  --------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1   0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  -               -              -              0.0, 0.0, 0.1  -              0.6, 4.6, 60    -              0.0, 0.0, 0.2
deter  -              -              -              -              -               -              -              -              -              0.0, 0.0, 0.1   0.0, 0.0, 0.1  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60    0.0, 0.0, 0.5  0.0, 0.0, 0.0
fair-  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.2  0.0, 0.0, 0.7   0.0, 0.0, 0.1  0.1, 0.1, 0.1  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.0, 0.5, 50.3  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inclu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 60, 60     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 13.8  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter  -              -              -              -              -               -              0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.1  0.0, 0.5, 50.3  0.0, 0.0, 0.2  0.0, 0.0, 0.0
inter  0.0, 0.0, 0.5  0.0, 0.0, 0.5  0.0, 0.0, 0.4  0.0, 0.0, 1.3  0.0, 60, 60     0.0, 0.0, 2.8  0.0, 0.0, 3.4  0.0, 0.0, 6.0  0.0, 0.1, 60   0.1, 4.0, 60    0.0, 0.0, 60   0.0, 0.0, 3.5
minte  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.3, 60    0.0, 0.0, 0.1  -              -              -              -               -              -
overa  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.0, 0.6, 60    0.0, 0.1, 0.4  0.1, 0.2, 0.2  0.1, 0.2, 0.4  0.2, 0.4, 1.1  0.1, 0.6, 50.9  0.0, 0.1, 0.6  0.0, 0.1, 0.4
parsi  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 60    0.0, 0.0, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.1, 0.2, 0.5  0.0, 0.1, 1.5   0.0, 0.1, 0.3  0.0, 0.0, 0.2
reduc  -              -              0.0, 0.0, 0.0  -              -               -              -              -              -              -               -              -
runti  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.3  0.0, 0.1, 0.4  0.5, 5.5, 60    0.0, 0.1, 0.4  0.1, 0.2, 0.3  0.9, 1.4, 2.3  1.3, 2.3, 60   1.0, 1.5, 60    1.0, 1.1, 60   0.9, 1.0, 1.3
trans  -              -              -              0.0, 0.0, 0.0  -               0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 1.6   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -               0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              0.0, 0.0, 0.1   -              0.0, 0.0, 0.0
union  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.3  0.0, 0.0, 15.7  0.0, 0.1, 2.2  0.0, 0.0, 0.1  0.0, 0.0, 0.2  60, 60, 60     0.3, 6.8, 60    60, 60, 60     0.0, 0.0, 0.5
