                                                        1st Quartile / Median / 3rd Quartile                                                       
---------------------------------------------------------------------------------------------------------------------------------------------------
bench    mata       mata-old    mata-sim    awali      mona       vata       automata    brics       (j)alib     fado        (py)alib    (py)mata
-------  ---------  ----------  ----------  ---------  ---------  ---------  ----------  ----------  ----------  ----------  ----------  ----------
aut_i    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 1, 60   0, 0, 1    0, 0, 2     0, 0, 4     0, 1, 4     1, 52, 60   0, 0, 1     0, 0, 1
bc_co    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 30, 60  0, 0, 0    0, 0, 0     0, 0, 1     0, 30, 60   0, 0, 1     0, 30, 60   0, 0, 0
bc_co    0, 0, 1    0, 0, 2     0, 0, 1     0, 0, 5    0, 60, 60  0, 0, 6    0, 1, 13    0, 3, 16    0, 60, 60   60, 60, 60  0, 60, 60   0, 2, 10
bc_co    0, 0, 1    0, 0, 2     0, 0, 1     0, 0, 5    0, 60, 60  0, 0, 6    0, 1, 14    0, 3, 16    0, 60, 60   60, 60, 60  0, 60, 60   0, 2, 10
bc_in    0, 0, 1    0, 0, 1     0, 0, 1     0, 0, 2    0, 1, 60   0, 0, 6    0, 0, 0     0, 0, 2     54, 60, 60  1, 60, 60   60, 60, 60  0, 0, 2
bc_in    1, 60, 60  1, 60, 60   1, 60, 60   0, 23, 60  0, 1, 60   0, 31, 60  1, 60, 60   60, 60, 60  60, 60, 60  60, 60, 60  60, 60, 60  60, 60, 60
email    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 60, 60  0, 0, 0    0, 0, 0     0, 0, 1     0, 0, 2     0, 0, 13    0, 0, 1     0, 0, 0
presb    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 0, 1    0, 0, 0    0, 0, 0     0, 0, 1     0, 0, 1     0, 0, 1     0, 0, 0     0, 0, 0
presb    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 1, 60   0, 0, 0    0, 0, 0     0, 0, 1     0, 0, 1     0, 0, 0     0, 0, 1     0, 0, 1
z3_no    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    -          -          -           0, 0, 1     -           1, 15, 60   -           0, 0, 1
z3_no    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0    0, 0, 60   0, 0, 0    0, 0, 0     0, 0, 1     0, 0, 1     0, 0, 0     0, 0, 0     0, 0, 0
