name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.15;0.040592100000000006;0.0057017; 0.0440204000; 0.0003628000; False; 0.0526966000; 0.1445041000;0.04; 0.032225; 0.014721; 0.003114; 0.001656; 1.6e-05; false; 0.054402;0.03; 0.022226; 0.014012; 0.002714; 0.001643; 0.000669; 1.5e-05; false; 0.044549;0.04; 0.032724; 0.015703; 0.002563; 0.00148; 1.1e-05; false; 0.055201;0.03; 0.018275; 0.007857;0.001025; 0.005922; 0.010118; 0.002794; false; 0.047588;0.04; 0.029668; 0.009927;0.00015700000000000002; 0.004255; 0.004756; 0.000191; false; 0.051261;ERR;0.89; 0.0267; 0.0000; 0.0059; 0.0009; 0.0000; False; 0.0068; 0.0340;3.07; 0.0270; 0.0016; 2.0913; 0.1155; 0.0003; False; 2.2072; 2.2360;TO;TO;1.07;0.023989355; 0.045122544; 3.7211E-5; false; 0.051172683; 0.146993718
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.15;0.0442164;0.0055701; 0.0742528000; 0.0002367000; False; 0.0818442000; 0.1518056000;0.05; 0.041829; 0.01062; 0.005545; 0.004371; 1.6e-05; false; 0.063938;0.04; 0.033348; 0.008967; 0.003625; 0.002279; 0.001493; 1.6e-05; false; 0.051168;0.06; 0.04297; 0.014695; 0.008315; 0.005056; 3e-05; false; 0.073175;0.11; 0.028301; 0.00978;0.001669; 0.034671; 0.052091; 0.000256; false; 0.128083;0.1; 0.039829; 0.009483;0.000272; 0.019223; 0.027985; 0.000785; false; 0.099325;ERR;1.18; 0.0499; 0.0000; 0.0400; 0.0106; 0.0003; False; 0.0510; 0.1013;31.07; 0.0455; 0.0041; 29.1421; 1.9191; 0.0010; False; 31.0623; 31.1122;TO;TO;1.51;0.02740544; 0.167229421; 5.3532E-5; false; 0.173998882; 0.28388074
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;20.96;0.1575637;0.0085234; 20.7996886000; 0.0002548000; False; 20.8116123000; 21.0050652000;1.64; 0.305896; 0.084842; 1.0133; 0.445377; 0.000233; false; 1.86923;1.66; 0.28104; 0.081863; 0.00056; 1.06588; 0.44942; 0.000215; false; 1.89839;1.69; 0.298724; 0.087436; 1.04988; 0.431967; 0.000232; false; 1.88979;16.21; 0.364932; 0.083136;0.019230999999999998; 8.31779; 6.48931; 1.65412; false; 16.9384;14.64; 0.325548; 0.081484;0.003182; 5.58098; 8.21903; 0.123127; false; 14.3442;ERR;14.64; 0.4319; 0.0000; 12.3603; 3.3542; 0.0025; False; 15.7172; 16.1566;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;44.46;0.107660207; 15.865953636; 3.8909E-5; false; 15.886324229; 16.181397843
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.32;0.0526808;0.0060428; 0.2180321000; 0.0002533000; False; 0.2270039000; 0.3180282000;0.1; 0.073266; 0.014891; 0.013553; 0.010703; 2.3e-05; false; 0.114739;0.07; 0.043421; 0.015469; 0.009613; 0.005769; 0.00481; 2e-05; false; 0.081575;0.09; 0.063598; 0.015241; 0.014602; 0.012459; 2.6e-05; false; 0.108265;0.35; 0.062172; 0.02667;0.004702; 0.128902; 0.153108; 0.000473; false; 0.379715;0.32; 0.043705; 0.015635;0.000472; 0.081446; 0.16804; 0.004196; false; 0.316856;ERR;1.03; 0.0681; 0.0000; 0.0927; 0.0244; 0.0003; False; 0.1175; 0.1859;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.17;0.036787341; 0.33031965; 2.4456E-5; false; 0.338130788; 0.504702245
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.48;0.0555756;0.0058157; 0.3723079000; 0.0002346000; False; 0.3808577000; 0.4728357000;0.1; 0.056889; 0.018337; 0.025704; 0.01842; 3e-05; false; 0.122422;0.1; 0.056143; 0.017802; 0.0172; 0.010229; 0.008483; 1.9e-05; false; 0.11232;0.12; 0.072188; 0.019883; 0.025787; 0.018566; 2.8e-05; false; 0.13921;0.46; 0.057373; 0.018257;0.003201; 0.181948; 0.244495; 0.000627; false; 0.508142;0.39; 0.056808; 0.018406;0.000606; 0.103091; 0.204148; 0.004088; false; 0.390356;ERR;1.4; 0.1118; 0.0000; 0.2315; 0.0501; 0.0005; False; 0.2822; 0.3950;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.75;0.040001840999999996; 0.56797304; 3.2889E-5; false; 0.575152805; 0.716931423
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.73;0.07000680000000001;0.009703999999999999; 0.5864899000; 0.0002385000; False; 0.6005165000; 0.7100521000;0.17; 0.100936; 0.022393; 0.044341; 0.030369; 4.3e-05; false; 0.201465;0.15; 0.094282; 0.02119; 0.025506; 0.015653; 0.013302; 2.5e-05; false; 0.172771;0.14; 0.071717; 0.021489; 0.042504; 0.027636; 3.8e-05; false; 0.166364;0.79; 0.069633; 0.021302;0.004006; 0.347525; 0.409046; 0.000633; false; 0.854704;0.64; 0.091379; 0.02189;0.000728; 0.173645; 0.348283; 0.006127; false; 0.645792;ERR;1.69; 0.1268; 0.0000; 0.4268; 0.1360; 0.0009; False; 0.5638; 0.6933;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.5;0.036178029; 0.896489817; 3.3592E-5; false; 0.903162188; 1.068641253
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.1;0.0672551;0.0063596; 0.9876415000; 0.0002504000; False; 0.9970562000; 1.1012237000;0.19; 0.085465; 0.026532; 0.066341; 0.04112; 5.7e-05; false; 0.223554;0.19; 0.093394; 0.024633; 0.039689; 0.024882; 0.019541; 2.7e-05; false; 0.205445;0.19; 0.085105; 0.027366; 0.067274; 0.039592; 4.9e-05; false; 0.223084;1.22; 0.106512; 0.02768;0.004935999999999999; 0.561643; 0.597579; 0.000812; false; 1.30232;0.97; 0.094726; 0.027442;0.000968; 0.28693; 0.537225; 0.009407; false; 0.960417;ERR;2.11; 0.1578; 0.0000; 0.7140; 0.2304; 0.0012; False; 0.9457; 1.1067;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.59;0.051528939999999995; 1.252543842; 3.3495E-5; false; 1.259742716; 1.426276511
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;1.43;0.0723439;0.0062701; 1.2888166000; 0.0002439000; False; 1.2979690000; 1.4121152000;0.28; 0.122574; 0.029; 0.110363; 0.060134; 7.1e-05; false; 0.326381;0.24; 0.099947; 0.030801; 0.061049; 0.034856; 0.026279; 4.7e-05; false; 0.257641;0.27; 0.123193; 0.032379; 0.098071; 0.053593; 7.7e-05; false; 0.313929;1.6; 0.097581; 0.028309;0.005769; 0.730344; 0.839144; 0.002278; false; 1.70683;1.4; 0.126119; 0.030287;0.001052; 0.443091; 0.766066; 0.012339; false; 1.3831;ERR;2.37; 0.1698; 0.0000; 1.0092; 0.3387; 0.0014; False; 1.3495; 1.5233;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.39;0.051922173; 1.673675869; 3.8316E-5; false; 1.68172702; 1.837373378
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;2.02;0.0802375;0.0068225000000000004; 1.8678751000; 0.0002321000; False; 1.8776811000; 2.0047779000;0.34; 0.127773; 0.037382; 0.141924; 0.078608; 0.000177; false; 0.392964;0.33; 0.138982; 0.036254; 0.080686; 0.064226; 0.035438; 4.7e-05; false; 0.36114;0.34; 0.129202; 0.034221; 0.146633; 0.070418; 8.2e-05; false; 0.386129;2.07; 0.130186; 0.034115;0.006836999999999999; 1.00392; 1.00753; 0.002426; false; 2.18891;1.89; 0.130112; 0.034845;0.001232; 0.621852; 1.06133; 0.017677; false; 1.87152;ERR;2.64; 0.2181; 0.0000; 1.1604; 0.3989; 0.0010; False; 1.5604; 1.7799;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.73;0.055915971999999994; 2.224688047; 3.2769E-5; false; 2.229788974; 2.421141532
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;2.58;0.09818840000000001;0.0067364; 2.4954745000; 0.0002689000; False; 2.5054067000; 2.6413466000;0.43; 0.145739; 0.037525; 0.200782; 0.090931; 0.000119; false; 0.481896;0.36; 0.130578; 0.03727; 0.107118; 0.065877; 0.043999; 5.4e-05; false; 0.390464;0.4; 0.13542; 0.037643; 0.18085; 0.090163; 0.000119; false; 0.451618;2.77; 0.151826; 0.05319;0.007939; 1.34097; 1.37675; 0.002264; false; 2.93811;2.3; 0.143168; 0.039008;0.001421; 0.780672; 1.28243; 0.023073; false; 2.27595;ERR;3.69; 0.1997; 0.0000; 1.9914; 0.7211; 0.0014; False; 2.7140; 2.9154;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.37;0.062546792; 2.769067668; 2.1936E-5; false; 2.774428554; 2.971163126
