name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.1;0.0420506;0.025999599999999998; 0.0142939000; 0.0001882000; False; 0.0455555000; 0.1484776000;0.01; 0.013019; 0.007473; 4.5e-05; 4.7e-05; 1.6e-05; false; 0.022918;0.02; 0.014832; 0.007764; 7e-05; 5.5e-05; 1.1e-05; false; 0.024473;0.01; 0.014097; 0.007383; 3.7e-05; 3.1e-05; 1.2e-05; false; 0.023433;0.02; 0.014908; 0.007213;0.00087; 0.000184; 0.000195; 0.00016; false; 0.025087;0.02; 0.014681; 0.007211;0.00017; 0.000637; 0.000742; 0.000281; false; 0.025995;ERR;0.96; 0.0244; 0.0000; 0.0002; 0.0000; 0.0001; False; 0.0004; 0.0249;0.92; 0.0274; 0.0019; 0.0039; 0.0004; 0.0011; False; 0.0054; 0.0349;TO;TO;0.91;0.027540784; 0.002175569; 2.6018E-5; false; 0.008860322; 0.153045148
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.1;0.05191130000000001;0.0060494; 0.0062253000; 0.0001407000; False; 0.0144202000; 0.0989428000;0.05; 0.037831; 0.015366; 0.000122; 0.000139; 3.4e-05; false; 0.055873;0.04; 0.035036; 0.009312; 6.4e-05; 5.4e-05; 2e-05; false; 0.045937;0.03; 0.027096; 0.008949; 6.5e-05; 4.4e-05; 2e-05; false; 0.037525;0.06; 0.05189; 0.015745;0.002886; 0.000697; 0.000661; 0.00062; false; 0.075057;0.07; 0.053387; 0.016388;0.000547; 0.000978; 0.001368; 0.000908; false; 0.076558;ERR;1.15; 0.0539; 0.0000; 0.0011; 0.0003; 0.0002; False; 0.0017; 0.0561;0.98; 0.0477; 0.0041; 0.0133; 0.0006; 0.0031; False; 0.0171; 0.0692;TO;TO;1.08;0.029804908; 0.002269577; 2.4676E-5; false; 0.009794887; 0.141578024
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.27;0.20746799999999999;0.0107937; 0.0119391000; 0.0002655000; False; 0.0265732000; 0.2848014000;0.37; 0.316053; 0.083954; 0.000883; 0.000737; 0.000119; false; 0.414327;0.36; 0.29912; 0.087988; 0.000592; 0.000667; 0.000112; false; 0.402474;0.36; 0.304258; 0.085252; 0.000587; 0.00071; 0.000112; false; 0.403458;0.44; 0.293501; 0.08698;0.026887; 0.009775; 0.014596; 0.016786; false; 0.460668;0.5; 0.385735; 0.116223;0.003199; 0.003285; 0.006731; 0.006757; false; 0.53704;ERR;1.42; 0.4482; 0.0000; 0.0049; 0.0030; 0.0029; False; 0.0109; 0.4608;3.26; 0.4848; 0.2973; 1.2788; 0.0132; 0.3409; False; 1.6330; 2.4166;TO;TO;2.17;0.12986479; 0.014840707; 3.6157E-5; false; 0.023011536; 0.336952667
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.09;0.0521661;0.0058033; 0.0047351000; 0.0001390000; False; 0.0135298000; 0.1034067000;0.05; 0.043435; 0.014485; 0.000105; 8.2e-05; 2.9e-05; false; 0.060453;0.07; 0.061889; 0.015264; 9.1e-05; 8.6e-05; 3.3e-05; false; 0.079704;0.05; 0.054198; 0.013844; 0.000106; 6.4e-05; 2.8e-05; false; 0.070225;0.05; 0.043607; 0.015854;0.002502; 0.000695; 0.00061; 0.000584; false; 0.066327;0.06; 0.059373; 0.014366;0.000451; 0.000821; 0.001268; 0.000753; false; 0.079989;ERR;1.1; 0.0777; 0.0000; 0.0007; 0.0002; 0.0002; False; 0.0012; 0.0792;1.04; 0.0709; 0.0083; 0.0290; 0.0010; 0.0067; False; 0.0368; 0.1163;TO;TO;1.27;0.032523934000000004; 0.003364171; 2.5466E-5; false; 0.010406685; 0.153203778
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.11;0.057103100000000004;0.006025099999999999; 0.0060947000; 0.0002126000; False; 0.0149888000; 0.1143791000;0.08; 0.07131; 0.020343; 0.000147; 0.000135; 4.1e-05; false; 0.095258;0.07; 0.062177; 0.019221; 0.000123; 0.000116; 3.8e-05; false; 0.084433;0.06; 0.055404; 0.016642; 0.000119; 9e-05; 3.8e-05; false; 0.07456;0.13; 0.107585; 0.028083;0.00573; 0.001476; 0.001434; 0.001353; false; 0.149523;0.13; 0.107835; 0.030203;0.00113; 0.001687; 0.002458; 0.00177; false; 0.150606;ERR;0.97; 0.0898; 0.0000; 0.0007; 0.0003; 0.0003; False; 0.0013; 0.0915;1.01; 0.0878; 0.0141; 0.0501; 0.0013; 0.0120; False; 0.0634; 0.1656;TO;TO;1.28;0.03240495; 0.00320476; 3.8251E-5; false; 0.010918661; 0.174539204
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.13;0.0749177;0.0060566; 0.0051172000; 0.0001336000; False; 0.0140088000; 0.1417424000;0.09; 0.084063; 0.023169; 0.00015; 0.000117; 4.6e-05; false; 0.11075;0.08; 0.073116; 0.023174; 0.000145; 0.00014; 4.7e-05; false; 0.099628;0.11; 0.098036; 0.026697; 0.000147; 0.00013; 4.8e-05; false; 0.128322;0.16; 0.130335; 0.031904;0.004047; 0.001089; 0.000862; 0.000905; false; 0.171964;0.09; 0.072558; 0.023054;0.0007559999999999999; 0.001041; 0.001663; 0.001251; false; 0.103936;ERR;1.02; 0.1075; 0.0000; 0.0011; 0.0003; 0.0004; False; 0.0018; 0.1096;1.14; 0.1080; 0.0203; 0.0771; 0.0022; 0.0178; False; 0.0973; 0.2260;TO;TO;1.28;0.044083733; 0.004290428; 3.632E-5; false; 0.012259889; 0.186856236
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.12;0.0673696;0.006198899999999999; 0.0065993000; 0.0002329000; False; 0.0156846000; 0.1213715000;0.11; 0.098336; 0.026294; 0.000183; 0.000148; 5.9e-05; false; 0.128689;0.1; 0.084937; 0.02675; 0.00017; 0.000155; 5.9e-05; false; 0.115544;0.1; 0.08543; 0.026672; 0.000174; 0.000142; 7.1e-05; false; 0.115944;0.15; 0.131549; 0.027267;0.004973; 0.001419; 0.001223; 0.001232; false; 0.170832;0.11; 0.084875; 0.02597;0.001205; 0.002279; 0.003748; 0.002907; false; 0.124877;ERR;1.03; 0.1411; 0.0000; 0.0018; 0.0006; 0.0007; False; 0.0032; 0.1446;1.18; 0.1354; 0.0285; 0.1118; 0.0020; 0.0252; False; 0.1391; 0.3035;TO;TO;1.46;0.07813611000000001; 0.004658738; 2.7389E-5; false; 0.010487265; 0.259294198
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.12;0.0765071;0.0068736000000000005; 0.0056627000; 0.0001885000; False; 0.0156960000; 0.1335079000;0.14; 0.120904; 0.038038; 0.000204; 0.000193; 6.8e-05; false; 0.163941;0.15; 0.140288; 0.031845; 0.000197; 0.000177; 6.7e-05; false; 0.17661;0.15; 0.119569; 0.03897; 0.000211; 0.000171; 6.8e-05; false; 0.163254;0.13; 0.108536; 0.030067;0.005855; 0.001607; 0.001411; 0.001464; false; 0.15245;0.15; 0.114616; 0.033296;0.001051; 0.001334; 0.002343; 0.001783; false; 0.158863;ERR;1.02; 0.1814; 0.0000; 0.0013; 0.0005; 0.0005; False; 0.0024; 0.1841;1.33; 0.1547; 0.0377; 0.1649; 0.0045; 0.0406; False; 0.2101; 0.4031;TO;TO;1.43;0.042838957999999996; 0.004617617; 2.5743E-5; false; 0.016315689; 0.195353091
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.13;0.080002;0.0085243; 0.0055180000; 0.0002625000; False; 0.0169324000; 0.1352034000;0.14; 0.125029; 0.034457; 0.000226; 0.00023; 7.6e-05; false; 0.164447;0.15; 0.131826; 0.03529; 0.000234; 0.000223; 7.6e-05; false; 0.172092;0.14; 0.120604; 0.036603; 0.000242; 0.000234; 7.6e-05; false; 0.162392;0.16; 0.127802; 0.035442;0.007207; 0.002012; 0.002193; 0.002142; false; 0.180746;0.17; 0.136965; 0.038363;0.001318; 0.001532; 0.002767; 0.002191; false; 0.18811;ERR;1.26; 0.2178; 0.0000; 0.0017; 0.0007; 0.0007; False; 0.0032; 0.2215;1.47; 0.1810; 0.0494; 0.1983; 0.0030; 0.0451; False; 0.2464; 0.4774;TO;TO;1.54;0.06465332; 0.005788563; 3.1681E-5; false; 0.01363444; 0.219960642
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.17;0.1250895;0.0066556; 0.0060337000; 0.0001646000; False; 0.0155999000; 0.1828723000;0.15; 0.132094; 0.038379; 0.000255; 0.000251; 8.8e-05; false; 0.176326;0.18; 0.147032; 0.041191; 0.000286; 0.000452; 0.000104; false; 0.195676;0.17; 0.145281; 0.040779; 0.000534; 0.000415; 0.00014; false; 0.19559;0.17; 0.130769; 0.038524;0.00821; 0.002227; 0.002761; 0.002795; false; 0.189893;0.18; 0.158432; 0.040864;0.001408; 0.001689; 0.002969; 0.002386; false; 0.21299;ERR;1.1; 0.2013; 0.0000; 0.0026; 0.0010; 0.0011; False; 0.0048; 0.2071;1.45; 0.1960; 0.0723; 0.2459; 0.0031; 0.0568; False; 0.3059; 0.5748;TO;TO;1.58;0.07076089699999999; 0.006749585; 5.6225E-5; false; 0.015470267; 0.227746498
