name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.23;0.0436946;0.011052600000000001;0.1401369; 0.0001817000; True; 0.1546156000; 0.2429000000;0.06; 0.032482; 0.013588;0.018924999999999997;0.006173; 1e-06; true; 0.07454;0.07; 0.031798; 0.013273;0.028609999999999997;0.009155;0.0035640000000000003; 1e-06; true; 0.090006;0.06; 0.017667; 0.014497;0.032897;0.009911999999999999; 3e-06; true; 0.078843;0.21; 0.017863; 0.009025;0.002252;0.08468600000000001;0.105338; 3e-06; true; 0.221433;0.14; 0.026959; 0.014093;0.000714;0.032617;0.062438999999999995; 0.000566; true; 0.142193;0.52; 0.051462; 0.009979;0.06540599999999999; 9.9e-05; true; 0.166488;0.94; 0.0386; 0.0000; 0.0480; 0.0070; 0.0000; True; 0.0552; 0.0941;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.86; 0.0387; 0.0045; 0.6220; 0.3397; 0.3456; True; 0.9677; 1.0205;1.95;0.175637924; 0.177343364; 0.00534426; true; 0.188932314; 0.455858264;2.12;0.029639093; 0.318706731; 4.2717E-5; true; 0.325881903; 0.475225249
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.44;0.043354500000000004;0.0258476;0.3381288; 0.0002376000; True; 0.3670730000; 0.4357746000;0.14; 0.043495; 0.015229;0.070619;0.022771; 3e-06; true; 0.15623;0.14; 0.036512; 0.015905;0.058413;0.023648;0.008052; 2e-06; true; 0.147338;0.1; 0.022853; 0.016076;0.06375;0.018156; 2e-06; true; 0.125031;0.53; 0.039429; 0.015936;0.003824;0.216773;0.26837099999999997; 4e-06; true; 0.548267;0.25; 0.02277; 0.009871;0.00039400000000000004;0.067139;0.143216; 0.001594; true; 0.247847;0.62; 0.047731; 0.011334;0.170481; 0.000227; true; 0.291926;1.07; 0.0432; 0.0000; 0.1356; 0.0177; 0.0000; True; 0.1534; 0.1969;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.22; 0.0584; 0.0097; 1.5099; 0.8036; 0.8190; True; 2.3290; 2.4250;2.13;0.141310797; 0.275202451; 0.006988213; true; 0.286955585; 0.525086933;3.07;0.027179189000000003; 0.632234179; 5.6192E-5; true; 0.638487438; 0.758097311
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.87;0.0447669;0.0285901;0.7207493; 0.0001486000; True; 0.7516468000; 0.8217663000;0.15; 0.026788; 0.011226;0.098367;0.029005; 2e-06; true; 0.16855;0.18; 0.045556; 0.016932;0.06090800000000001;0.053397;0.017134; 2e-06; true; 0.198332;0.19; 0.046861; 0.017247;0.11337;0.032345; 2e-06; true; 0.214136;1.13; 0.045336; 0.015972;0.005142;0.510178;0.5904910000000001; 4e-06; true; 1.17115;0.58; 0.025058; 0.010581;0.000497;0.16783900000000002;0.355939; 0.003767; true; 0.566811;0.77; 0.058675; 0.025038;0.278368; 0.000568; true; 0.452001;1.3; 0.0524; 0.0000; 0.3594; 0.0462; 0.0000; True; 0.4057; 0.4585;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.36; 0.0492; 0.0058; 2.9744; 1.5330; 1.5619; True; 4.5364; 4.6566;2.8;0.16988191700000002; 0.453543349; 0.009398276; true; 0.470423285; 0.760614639;4.84;0.041537814000000006; 1.531956171; 3.5174E-5; true; 1.537834441; 1.699941572
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;1.66;0.05226939999999999;0.05592880000000001;1.4457448; 0.0001483000; True; 1.5045353000; 1.5851941000;0.3; 0.031045; 0.012676;0.223861;0.062615; 3e-06; true; 0.333661;0.23; 0.032397; 0.013312;0.039533000000000006;0.13677499999999998;0.039922; 2e-06; true; 0.265709;0.3; 0.032692; 0.013163;0.22853800000000002;0.06285299999999999; 2e-06; true; 0.340945;2.66; 0.033071; 0.01331;0.0033200000000000005;1.2516720000000001;1.447708; 4e-06; true; 2.75257;1.37; 0.031983; 0.012939;0.000582;0.415518;0.855618; 0.007969; true; 1.32848;1.31; 0.053528; 0.015999;0.831283; 0.001345; true; 0.985474;2.05; 0.0635; 0.0000; 0.9826; 0.1260; 0.0000; True; 1.1087; 1.1726;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;14.53; 0.0715; 0.0085; 9.4593; 3.9165; 3.9896; True; 13.4490; 13.6996;3.18;0.16860544199999997; 0.862768119; 0.013035676; true; 0.891708305; 1.163589193;9.87;0.034690971; 3.639642806; 2.4789E-5; true; 3.653410469; 3.808604834
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;3.45;0.093989;0.1299539;3.1157768; 0.0001536000; True; 3.2486488000; 3.3866748000;0.67; 0.066455; 0.018855;0.534083;0.146172; 3e-06; true; 0.769971;0.48; 0.052414; 0.014212;0.054636000000000004;0.29962900000000003;0.10458400000000001; 3e-06; true; 0.52944;0.61; 0.036434; 0.015008;0.518039;0.14129399999999998; 2e-06; true; 0.714844;6.66; 0.038143; 0.015582;0.0038850000000000004;3.221341;3.537255; 3e-06; true; 6.82039;3.1; 0.037091; 0.014663;0.0010959999999999998;0.987804;1.9918390000000001; 0.009773; true; 3.04678;2.34; 0.096107; 0.029737;1.885941; 0.00272; true; 2.11144;3.34; 0.0706; 0.0000; 2.2999; 0.2745; 0.0000; True; 2.5745; 2.6463;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;30.39; 0.0893; 0.0093; 20.3532; 9.1712; 9.3056; True; 29.6589; 30.1295;4.37;0.19796615199999998; 1.559062568; 0.013421966; true; 1.577600913; 1.894924676;19.24;0.04983808; 8.677544409; 4.5623E-5; true; 8.684841487; 8.871935937
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;7.27;0.05840499999999999;0.27273119999999995;6.6117444; 0.0002381000; True; 6.8894468000; 6.9839613000;1.36; 0.041054; 0.016192;1.164207;0.316564; 2e-06; true; 1.54231;0.95; 0.042771; 0.020196;0.10412199999999999;0.651044;0.231982; 3e-06; true; 1.05533;1.33; 0.081368; 0.024318;1.092428;0.306667; 3e-06; true; 1.51104;14.42; 0.043542; 0.01588;0.004972999999999999;6.966824000000001;7.762286; 3e-06; true; 14.7981;7.07; 0.042952; 0.016117;0.000775;2.547508;4.290044; 0.010172; true; 6.91233;4.91; 0.09767; 0.017992;4.498911; 0.005012; true; 4.7297;6.23; 0.0743; 0.0000; 5.1168; 0.6381; 0.0000; True; 5.7550; 5.8310;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;6.31;0.21395662299999996; 3.140479532; 0.022352226; true; 3.169693972; 3.502306261;51.3;0.054572272; 26.472535979; 2.777E-5; true; 26.479004451; 26.648285432
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;15.89;0.06089490000000001;0.5106378;15.0342516; 0.0001813000; True; 15.5480324000; 15.6373467000;3.64; 0.084346; 0.028065;2.653755;1.295296; 2e-06; true; 4.07092;2.28; 0.091631; 0.026609;0.172782;1.413945;0.768513; 3e-06; true; 2.4807;3.79; 0.064285; 0.018409;2.749923;1.3671069999999999; 4e-06; true; 4.20795;29.38; 0.064146; 0.020097;0.005072000000000001;15.081539;14.877265999999999; 4e-06; true; 30.0534;16.27; 0.058379; 0.020689;0.001495;6.043823999999999;9.700532; 0.009719; true; 15.8404;11.11; 0.08844; 0.023307;11.168226999999998; 0.009836; true; 11.4258;12.9; 0.0893; 0.0000; 11.1151; 1.8188; 0.0000; True; 12.9340; 13.0272;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;12.26;0.34092477699999996; 7.018117985; 0.031443195; true; 7.072269364; 7.600503085;TO;0.045338509;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;34.41;0.0610325;1.0987961;32.45224089999999; 0.0002254000; True; 33.5554298000; 33.6434918000;10.9; 0.050398; 0.019508;7.632307;4.233611; 4e-06; true; 11.9466;6.03; 0.055555; 0.023577;0.679753;3.729153;2.041777; 2e-06; true; 6.54385;11.21; 0.055566; 0.023124;8.053087;4.161113; 3e-06; true; 12.3063;TO; 0.088319; 0.033488;0.008797;31.974261999999996;19.928351;MISSING;MISSING;MISSING;36.13; 0.05216; 0.021579;0.000969;13.591995;21.186781; 0.000231; true; 34.8598;ERR;ERR;ERR;ERR;ERR;ERR;ERR;27.35; 0.1061; 0.0000; 24.4060; 4.1383; 0.0000; True; 28.5444; 28.6581;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;21.59;0.221967484; 14.129153034; 0.02774299; true; 14.164422599; 14.480762765;TO;0.056416281;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;TO;0.10345519999999997;2.9475574;43.4253671;MISSING;MISSING;MISSING;MISSING;26.88; 0.084912; 0.023897;19.518242;9.646428; 3e-06; true; 29.2908;17.81; 0.112979; 0.038161;2.1309449999999996;10.791212999999999;5.960795; 2e-06; true; 19.0524;27.77; 0.121834; 0.026932;20.291683;9.789005; 1.4e-05; true; 30.2481;TO; 0.08676; 0.025054;0.0065980000000000006;34.429247000000004;21.942372;MISSING;MISSING;MISSING;TO; 0.058807; 0.022821;0.0010810000000000001;15.544782999999999;28.357587000000002;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;54.76;0.24096944599999998; 32.606273259; 0.072056344; true; 32.685371712; 33.029651322;TO;0.07532760599999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO;0.10831009999999999;2.4437196;47.64045900000001;MISSING;MISSING;MISSING;MISSING;TO; 0.099978; 0.026962;46.749761;9.414423;MISSING;MISSING;MISSING;46.14; 0.072961; 0.031233;6.387487;28.474273000000004;14.24459; 3e-06; true; 49.2427;TO; 0.065772; 0.024727;44.260209;8.697229;MISSING;MISSING;MISSING;TO; 0.066435; 0.025185;0.007715000000000001;21.020862;24.706134;MISSING;MISSING;MISSING;TO; 0.066611; 0.024638;0.002069;17.148765;31.863491;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.288491228;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.06538993900000001;MISSING;MISSING;MISSING;MISSING;MISSING
