name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.17; 0.0424831000;0.0065085; 0.0658298000; 0.0002085000; False; 0.0741400000; 0.1636298000;0.05; 0.050002; 0.002665; 0.000193; 0.000118; false; 0.060458;0.04; 0.032684; 0.008734; 0.000675; 6.6e-05; 8.8e-05; false; 0.046473;0.03; 0.033082; 0.001336; 0.000119; 6.9e-05; false; 0.038696;0.08; 0.044565; 0.025753; 0.007835; 0.001729; 0.001916; false; 0.087938;0.04; 0.032973; 0.002186; 0.005908; 0.001459; 0.001097; false; 0.04748;0.48; 0.052505; 6e-06; 8e-06; false; 0.090743;0.99; 0.0530; 0.0000; 0.0037; 0.0002; 0.0000; False; 0.0039; 0.0575;1.06; 0.0503; 0.0341; 0.0489; 0.0496; 0.0020; 0.0042; False; 0.0558; 0.1406;0.98; 0.0487; 0.0160; 0.0155; 0.0175; 0.0001; False; 0.0176; 0.0828;2.41; 0.281198126; 0.030184486; 0.002166744; false; 0.038603343; 0.487181181;1.99; 0.098976672; 0.058951809; 3.4176E-5; false; 0.066411411; 0.355207816
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.17; 0.0446264000;0.006998900000000001; 0.0561179000; 0.0001678000; False; 0.0651627000; 0.1689096000;0.02; 0.027862; 0.001156; 9.7e-05; 7.1e-05; false; 0.032519;0.05; 0.045108; 0.008308; 0.000496; 5.8e-05; 5.4e-05; false; 0.059832;0.04; 0.042437; 0.002149; 0.000161; 9.5e-05; false; 0.050804;0.08; 0.042371; 0.022225; 0.012631; 0.00344; 0.003259; false; 0.088763;0.03; 0.027448; 0.001871; 0.003559; 0.001423; 0.000962; false; 0.038612;0.5; 0.035859; 1.5e-05; 9e-06; false; 0.082844;1.06; 0.0551; 0.0000; 0.0033; 0.0002; 0.0000; False; 0.0035; 0.0592;1.12; 0.0379; 0.0223; 0.0328; 0.0334; 0.0016; 0.0029; False; 0.0380; 0.0984;1.09; 0.0409; 0.0166; 0.0221; 0.0257; 0.0001; False; 0.0259; 0.0840;2.07; 0.183000006; 0.035077806; 0.002103546; false; 0.044011459; 0.39282235;1.81; 0.073986907; 0.032266476; 3.3786E-5; false; 0.040020433; 0.305162793
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.14; 0.0344230000;0.008030200000000001; 0.0507618000; 0.0002621000; False; 0.0619672000; 0.1401258000;0.01; 0.010494; 0.000845; 9.2e-05; 3.5e-05; false; 0.012985;0.01; 0.010974; 0.001635; 0.000254; 2.9e-05; 1.2e-05; false; 0.014605;0.01; 0.012286; 0.001247; 0.00013; 5.6e-05; false; 0.015401;0.02; 0.016323; 0.004536; 0.004099; 0.000961; 0.000899; false; 0.028107;0.01; 0.010677; 0.000892; 0.002686; 0.000987; 0.000632; false; 0.017759;0.51; 0.019665; 7e-06; 9e-06; false; 0.058361;1.06; 0.0202; 0.0000; 0.0018; 0.0001; 0.0000; False; 0.0019; 0.0224;1.04; 0.0208; 0.0040; 0.0209; 0.0214; 0.0013; 0.0010; False; 0.0237; 0.0488;0.98; 0.0329; 0.0052; 0.0099; 0.0114; 0.0001; False; 0.0116; 0.0501;1.58; 0.135375062; 0.025907088; 0.002262712; false; 0.034209695; 0.291605664;1.33; 0.036610461; 0.010855244; 3.8051E-5; false; 0.017699743; 0.175002945
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;1.72; 0.9969740000;0.0051454000000000005; 0.2541651000; 0.0001869000; False; 0.2609248000; 1.6622023000;3.61; 2.23808; 1.40226; 0.006065; 0.004277; false; 3.86512;2.58; 2.36381; 0.288115; 0.002556; 0.000129; 0.000818; false; 2.86122;4.19; 2.20534; 2.03326; 0.007702; 0.004608; false; 4.46556;10.28; 2.1924; 1.95745; 5.48036; 0.282099; 0.32607; false; 10.4242;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;5.47; 2.9297; 0.0000; 2.0681; 0.0096; 0.0000; False; 2.0778; 5.0179;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;35.43; 3.0728; 1.0410; 31.1006; 31.2883; 0.0001; False; 31.2884; 35.4221;19.65; 12.864510018; 0.073784787; 0.001974937; false; 0.081448225; 13.811999879;9.84; 1.726388959; 0.65128344; 3.4797E-5; false; 0.658527327; 3.472094145
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.31; 0.1462914000;0.0055416; 0.0591080000; 0.0001747000; False; 0.0664348000; 0.3123784000;0.21; 0.188044; 0.028569; 0.001127; 0.000448; false; 0.238923;0.23; 0.210818; 0.021176; 0.001074; 9.7e-05; 0.000134; false; 0.252658;0.25; 0.218039; 0.029062; 0.001158; 0.000427; false; 0.269654;0.54; 0.205663; 0.120472; 0.167458; 0.02774; 0.024639; false; 0.56396;0.3; 0.200686; 0.036019; 0.044182; 0.01199; 0.011494; false; 0.327718;2.76; 0.225547; 1.1e-05; 8e-06; false; 2.51814;1.19; 0.3093; 0.0000; 0.0439; 0.0018; 0.0000; False; 0.0458; 0.3574;3.27; 0.2668; 0.1027; 2.0297; 2.0359; 0.0199; 0.0577; False; 2.1135; 2.4843;1.78; 0.3073; 0.0663; 0.5809; 0.6156; 0.0001; False; 0.6158; 0.9912;3.71; 0.717731635; 0.041878882; 0.002330375; false; 0.050735983; 1.112291205;2.56; 0.229953342; 0.051072845; 4.5892E-5; false; 0.058852035; 0.619729226
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.15; 0.0431912000;0.0054916; 0.0541194000; 0.0001213000; False; 0.0615383000; 0.1462434000;0.04; 0.035091; 0.007322; 0.000244; 0.00011; false; 0.046698;0.03; 0.035318; 0.003075; 0.000215; 2.5e-05; 2.8e-05; false; 0.042413;0.07; 0.051686; 0.014534; 0.000478; 0.000182; false; 0.074724;0.18; 0.062124; 0.03177; 0.059204; 0.011159; 0.012293; false; 0.182156;0.09; 0.063006; 0.005386; 0.013769; 0.004093; 0.003709; false; 0.096078;0.51; 0.053047; 5e-06; 7e-06; false; 0.160673;0.92; 0.0555; 0.0000; 0.0114; 0.0003; 0.0000; False; 0.0117; 0.0679;1.35; 0.0531; 0.0149; 0.4087; 0.4104; 0.0047; 0.0131; False; 0.4283; 0.4969;1.0; 0.0536; 0.0129; 0.1179; 0.1223; 0.0001; False; 0.1224; 0.1893;2.75; 0.443689882; 0.058469046; 0.002219751; false; 0.067599073; 0.690639993;2.0; 0.186727999; 0.086486371; 2.9517E-5; false; 0.100287244; 0.615494394
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.18; 0.0659843000;0.0053501; 0.0537014000; 0.0001226000; False; 0.0608876000; 0.1904109000;0.13; 0.109606; 0.016793; 0.000725; 0.000248; false; 0.137296;0.12; 0.126996; 0.006877; 0.000471; 4.9e-05; 6.3e-05; false; 0.143494;0.12; 0.113786; 0.016662; 0.000536; 0.000221; false; 0.140991;0.25; 0.085997; 0.048463; 0.085861; 0.013001; 0.013428; false; 0.254955;0.12; 0.086652; 0.009268; 0.01996; 0.00571; 0.005428; false; 0.135765;0.89; 0.086145; 6e-06; 9e-06; false; 0.581722;0.99; 0.1220; 0.0000; 0.0240; 0.0007; 0.0000; False; 0.0247; 0.1479;2.28; 0.1251; 0.0388; 1.1205; 1.1242; 0.0114; 0.0474; False; 1.1830; 1.3477;1.25; 0.1199; 0.0310; 0.2703; 0.2797; 0.0001; False; 0.2798; 0.4316;3.4; 0.709245179; 0.03857603; 0.002390698; false; 0.047686868; 0.997385616;2.47; 0.19612925; 0.05492456; 3.1284E-5; false; 0.062564798; 0.504484958
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.13; 0.0374007000;0.0056206; 0.0292421000; 0.0001183000; False; 0.0365453000; 0.1232666000;0.0; 0.002482; 0.000331; 3.2e-05; 1.3e-05; false; 0.003288;0.0; 0.002425; 0.000413; 7.2e-05; 1.1e-05; 7e-06; false; 0.00333;0.0; 0.005013; 0.00063; 6.3e-05; 2.3e-05; false; 0.006519;0.0; 0.002492; 0.001053; 0.001392; 0.000346; 0.000333; false; 0.006006;0.0; 0.002576; 0.000189; 0.001238; 0.000549; 0.000292; false; 0.005761;0.45; 0.002394; 4e-06; 6e-06; false; 0.006245;0.86; 0.0086; 0.0000; 0.0008; 0.0000; 0.0000; False; 0.0009; 0.0097;0.93; 0.0086; 0.0011; 0.0069; 0.0071; 0.0005; 0.0004; False; 0.0080; 0.0179;0.9; 0.0092; 0.0016; 0.0035; 0.0040; 0.0000; False; 0.0041; 0.0150;1.19; 0.108269922; 0.01901208; 0.00181797; false; 0.027265444; 0.220650104;0.95; 0.020855602; 0.009609152; 4.1497E-5; false; 0.016386079; 0.121652715
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.17; 0.0654590000;0.0055001; 0.0544734000; 0.0001426000; False; 0.0618987000; 0.1792762000;0.04; 0.044349; 0.007358; 0.000257; 9.9e-05; false; 0.05603;0.04; 0.034812; 0.003051; 0.000219; 2.6e-05; 4.4e-05; false; 0.041875;0.04; 0.034861; 0.007782; 0.00035; 0.000118; false; 0.047223;0.12; 0.059084; 0.018955; 0.037987; 0.006232; 0.006833; false; 0.132815;0.07; 0.058652; 0.002881; 0.008806; 0.002742; 0.002443; false; 0.079518;0.43; 0.034324; 4e-06; 7e-06; false; 0.139381;0.93; 0.0545; 0.0000; 0.0139; 0.0005; 0.0000; False; 0.0145; 0.0697;1.33; 0.0543; 0.0152; 0.4102; 0.4119; 0.0048; 0.0130; False; 0.4297; 0.4995;1.05; 0.0547; 0.0127; 0.1309; 0.1397; 0.0001; False; 0.1398; 0.2078;2.63; 0.417285787; 0.035500386; 0.002422876; false; 0.045414075; 0.63105015;2.01; 0.105046459; 0.053787343; 3.6852E-5; false; 0.062617946; 0.470906578
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.23; 0.0854515000;0.0055522; 0.0608477000; 0.0001325000; False; 0.0682967000; 0.2327178000;0.1; 0.092168; 0.01709; 0.000624; 0.000228; false; 0.120479;0.09; 0.090495; 0.008451; 0.000547; 5.3e-05; 6.9e-05; false; 0.109126;0.12; 0.111675; 0.015263; 0.000628; 0.000227; false; 0.139159;0.24; 0.089976; 0.046835; 0.076642; 0.011928; 0.011879; false; 0.245982;0.14; 0.106759; 0.010074; 0.019379; 0.005466; 0.005156; false; 0.156184;0.98; 0.092965; 8e-06; 8e-06; false; 0.64624;0.99; 0.1305; 0.0000; 0.0223; 0.0008; 0.0000; False; 0.0232; 0.1546;2.29; 0.1315; 0.0446; 1.1258; 1.1314; 0.0167; 0.0492; False; 1.1973; 1.3743;1.25; 0.1312; 0.0321; 0.2438; 0.2527; 0.0001; False; 0.2528; 0.4170;3.41; 0.825208949; 0.03868338; 0.002422403; false; 0.047323096; 1.119989262;2.52; 0.238002064; 0.068898814; 4.2939E-5; false; 0.088206594; 0.666789389
