name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.16; 0.0429288000;0.008579900000000001; 0.0582136000; 0.0001395000; False; 0.0691163000; 0.1577258000;0.08; 0.057962; 0.029832; 9.7e-05; 4.6e-05; false; 0.09223;0.09; 0.034068; 0.026628; 0.030771; 0.000114; 4.4e-05; false; 0.096133;0.08; 0.057723; 0.037032; 0.000141; 7.1e-05; false; 0.099676;0.18; 0.056123; 0.027875; 0.087434; 0.004022; 0.00431; false; 0.18506;0.13; 0.030436; 0.002115; 0.096895; 0.001776; 0.001492; false; 0.136207;ERR;ERR;ERR;ERR;ERR;ERR;1.03; 0.0476; 0.0000; 0.0448; 0.0002; 0.0000; False; 0.0451; 0.0931;1.92; 0.0514; 0.0368; 0.9541; 0.9573; 0.0031; 0.0073; False; 0.9678; 1.0565;1.34; 0.0490; 0.0172; 0.3878; 0.3992; 0.0001; False; 0.3994; 0.4663;2.69; 0.478003007; 0.033371556; 0.00208214; false; 0.041830184; 0.670240937;1.81; 0.072345757; 0.044198534; 2.56E-5; false; 0.051001623; 0.333054791
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.11; 0.0251867000;0.0054528; 0.0344999000; 0.0002070000; False; 0.0418683000; 0.1096555000;0.01; 0.004496; 0.002609; 0.000261; 0.000155; false; 0.009537;0.0; 0.002332; 0.002403; 0.001216; 0.000132; 9.2e-05; false; 0.007147;0.0; 0.002349; 0.001321; 0.000154; 0.00011; false; 0.005148;0.02; 0.002252; 0.001295; 0.008994; 0.004554; 0.004453; false; 0.022051;0.01; 0.00317; 0.000206; 0.00572; 0.002612; 0.002257; false; 0.01499;0.42; 0.002564; 1.3e-05; 7e-06; false; 0.008573;1.04; 0.0082; 0.0000; 0.0025; 0.0002; 0.0000; False; 0.0027; 0.0114;0.98; 0.0135; 0.0070; 0.0459; 0.0519; 0.0101; 0.0054; False; 0.0675; 0.0885;0.98; 0.0133; 0.0047; 0.0083; 0.0224; 0.0001; False; 0.0226; 0.0409;1.6; 0.197887721; 0.064626924; 0.002339886; false; 0.07314945; 0.345022263;1.16; 0.029695495; 0.027648156; 3.6384E-5; false; 0.035736908; 0.154536488
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.08; 0.0268905000;0.0059079; 0.0045524000; 0.0001197000; False; 0.0123150000; 0.0798656000;0.0; 0.004759; 0.000622; 4.7e-05; 3.2e-05; false; 0.006479;0.02; 0.00867; 0.014145; 0.000613; 4.6e-05; 4.5e-05; false; 0.025028;0.01; 0.008978; 0.001204; 0.000109; 5.1e-05; false; 0.012046;0.02; 0.008669; 0.00457; 0.005691; 0.001904; 0.001873; false; 0.023863;0.02; 0.009146; 0.000643; 0.00394; 0.001762; 0.001239; false; 0.018708;0.39; 0.004595; 6e-06; 6e-06; false; 0.008312;0.89; 0.0138; 0.0000; 0.0019; 0.0001; 0.0000; False; 0.0020; 0.0163;0.89; 0.0120; 0.0047; 0.0072; 0.0086; 0.0016; 0.0011; False; 0.0114; 0.0283;0.94; 0.0147; 0.0058; 0.0041; 0.0077; 0.0001; False; 0.0078; 0.0286;1.41; 0.155079423; 0.064795935; 0.00213909; false; 0.073677864; 0.354788642;1.16; 0.032571121; 0.008343734; 3.2431E-5; false; 0.015172496; 0.143821121
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.09; 0.0298134000;0.0061036; 0.0045076000; 0.0001675000; False; 0.0125750000; 0.0813957000;0.01; 0.008967; 0.00098; 0.000108; 2.8e-05; false; 0.011874;0.04; 0.011843; 0.03418; 0.001564; 0.000134; 4.3e-05; false; 0.049628;0.01; 0.013038; 0.001939; 0.000212; 5.8e-05; false; 0.018427;0.02; 0.008683; 0.00552; 0.007058; 0.002037; 0.001941; false; 0.026389;0.01; 0.008385; 0.000564; 0.003376; 0.001559; 0.001232; false; 0.016636;0.41; 0.016384; 1.5e-05; 8e-06; false; 0.027249;0.88; 0.0193; 0.0000; 0.0028; 0.0003; 0.0000; False; 0.0031; 0.0230;0.91; 0.0167; 0.0139; 0.0186; 0.0207; 0.0025; 0.0031; False; 0.0264; 0.0573;0.99; 0.0306; 0.0161; 0.0102; 0.0199; 0.0001; False; 0.0201; 0.0673;1.63; 0.162015411; 0.047004038; 0.00247539; false; 0.055364061; 0.36170624;1.36; 0.044560644; 0.030176814; 3.4414E-5; false; 0.045263903; 0.215764988
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.14; 0.0465595000;0.009481700000000001; 0.0071455000; 0.0002199000; False; 0.0198120000; 0.1254780000;0.01; 0.015493; 0.001075; 0.000131; 4.1e-05; false; 0.019382;0.05; 0.013049; 0.046474; 0.001109; 0.000111; 6.7e-05; false; 0.06349;0.02; 0.014122; 0.001123; 0.000105; 4.3e-05; false; 0.018278;0.03; 0.013331; 0.007426; 0.005621; 0.002046; 0.00144; false; 0.031785;0.01; 0.01108; 0.000474; 0.002211; 0.000915; 0.000636; false; 0.016895;0.36; 0.007949; 8e-06; 5e-06; false; 0.013239;1.0; 0.0168; 0.0000; 0.0013; 0.0001; 0.0000; False; 0.0014; 0.0185;1.07; 0.0189; 0.0106; 0.0148; 0.0157; 0.0013; 0.0019; False; 0.0189; 0.0487;1.02; 0.0287; 0.0105; 0.0085; 0.0139; 0.0001; False; 0.0141; 0.0537;1.52; 0.146980058; 0.035519501; 0.001566324; false; 0.041597536; 0.296238424;1.26; 0.03196366; 0.00730277; 4.2209E-5; false; 0.014221013; 0.167518033
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.99; 0.0725; 0.0000; 0.0070; 0.0005; 0.0000; False; 0.0076; 0.0813;1.28; 0.0738; 0.0857; 0.1629; 0.1745; 0.0133; 0.0449; False; 0.2328; 0.3934;1.15; 0.1977; 0.0559; 0.0359; 0.0485; 0.0001; False; 0.0486; 0.3034;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.12; 0.0310947000;0.0060424; 0.0290697000; 0.0001389000; False; 0.0370450000; 0.1046688000;0.01; 0.008157; 0.000609; 7e-05; 3.4e-05; false; 0.010381;0.03; 0.008513; 0.026718; 0.000634; 6.2e-05; 3.1e-05; false; 0.037585;0.0; 0.008234; 0.000609; 7.4e-05; 2.4e-05; false; 0.010444;0.01; 0.008132; 0.003942; 0.002393; 0.000965; 0.000808; false; 0.017309;0.01; 0.008037; 0.000528; 0.002295; 0.001041; 0.000712; false; 0.014236;ERR;ERR;ERR;ERR;ERR;ERR;0.99; 0.0175; 0.0000; 0.0020; 0.0002; 0.0000; False; 0.0022; 0.0201;1.07; 0.0184; 0.0148; 0.0233; 0.0241; 0.0012; 0.0026; False; 0.0280; 0.0615;0.89; 0.0312; 0.0100; 0.0053; 0.0083; 0.0001; False; 0.0084; 0.0500;1.47; 0.141225665; 0.036613263; 0.001616216; false; 0.044006144; 0.335879961;1.19; 0.037644014; 0.015149555; 3.8384E-5; false; 0.021175145; 0.155589128
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.21; 0.0602205000;0.0097427; 0.0696847000; 0.0002323000; False; 0.0824628000; 0.2026842000;0.05; 0.051964; 0.004152; 0.000276; 5e-05; false; 0.061029;0.09; 0.030634; 0.055532; 0.004139; 0.00024; 5e-05; false; 0.095188;0.05; 0.052386; 0.004719; 0.000338; 9.4e-05; false; 0.062356;0.11; 0.055178; 0.016878; 0.024232; 0.008809; 0.008584; false; 0.116692;0.05; 0.030538; 0.002025; 0.015524; 0.004167; 0.003915; false; 0.059871;0.52; 0.053685; 8e-06; 8e-06; false; 0.101196;1.06; 0.0492; 0.0000; 0.0098; 0.0007; 0.0000; False; 0.0105; 0.0608;1.34; 0.0501; 0.0287; 0.1678; 0.1765; 0.0081; 0.0355; False; 0.2201; 0.2998;1.2; 0.1080; 0.0362; 0.0780; 0.1091; 0.0001; False; 0.1093; 0.2544;2.94; 0.352489719; 0.124705976; 0.002341722; false; 0.134492755; 0.669586915;1.99; 0.125183568; 0.080847532; 3.3484E-5; false; 0.088795219; 0.422855411
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.16; 0.0396095000;0.0094166; 0.0477328000; 0.0003038000; False; 0.0605332000; 0.1541411000;0.0; 0.000871; 0.000612; 8.9e-05; 4.3e-05; false; 0.002345;0.0; 0.000934; 0.001687; 0.000555; 0.000113; 5e-05; false; 0.004068;0.0; 0.00084; 0.000604; 6.8e-05; 4.3e-05; false; 0.002201;0.0; 0.000851; 0.000563; 0.004285; 0.001713; 0.001649; false; 0.009477;0.0; 0.000861; 9.4e-05; 0.002579; 0.00138; 0.000953; false; 0.007007;ERR;ERR;ERR;ERR;ERR;ERR;0.99; 0.0051; 0.0000; 0.0007; 0.0001; 0.0000; False; 0.0008; 0.0062;1.0; 0.0056; 0.0006; 0.0054; 0.0073; 0.0025; 0.0012; False; 0.0111; 0.0174;0.87; 0.0060; 0.0012; 0.0011; 0.0032; 0.0001; False; 0.0033; 0.0108;1.0; 0.0891665; 0.036902735; 0.001714939; false; 0.043687573; 0.187255394;0.95; 0.01480229; 0.009124139; 2.6002E-5; false; 0.01649668; 0.088766568
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.12; 0.0378801000;0.005782000000000001; 0.0307839000; 0.0001903000; False; 0.0392595000; 0.1236465000;0.01; 0.012259; 0.001642; 0.000205; 0.000137; false; 0.016777;0.15; 0.01177; 0.144108; 0.00158; 0.00015; 0.000118; false; 0.159997;0.01; 0.012097; 0.001578; 0.00017; 0.000118; false; 0.016332;0.03; 0.012252; 0.006278; 0.011134; 0.004411; 0.005092; false; 0.040694;0.02; 0.012077; 0.00086; 0.005879; 0.002663; 0.002392; false; 0.02619;0.48; 0.023224; 2.1e-05; 8e-06; false; 0.036137;0.98; 0.0238; 0.0000; 0.0045; 0.0005; 0.0000; False; 0.0050; 0.0293;1.1; 0.0242; 0.0398; 0.0562; 0.0600; 0.0048; 0.0096; False; 0.0744; 0.1390;1.06; 0.0360; 0.0156; 0.0102; 0.0236; 0.0001; False; 0.0237; 0.0757;1.97; 0.189623431; 0.060874912; 0.002287001; false; 0.070047754; 0.394111819;1.44; 0.053729842; 0.024998169; 3.1365E-5; false; 0.031720207; 0.214654981
