               Average / Median / Average with Timeouts              
---------------------------------------------------------------------
op     mata            mata-old        mata-sim        (py)mata
-----  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.4   0.0, 0.0, 0.5   0.0, 0.0, 0.6   0.0, 0.0, 0.4
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.4, 0.0, 0.4
empti  0.0, 0.0, 4.8   0.0, 0.0, 4.8   0.0, 0.0, 4.8   0.0, 0.0, 4.8
fair-  0.2, 0.0, 5.5   0.2, 0.0, 5.5   0.3, 0.0, 5.6   0.5, 0.0, 5.7
inclu  0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.1, 0.0, 0.1
inter  -               -               -               0.5, 0.0, 4.1
inter  2.4, 0.0, 10.6  2.5, 0.0, 10.8  1.9, 0.0, 10.6  0.7, 0.0, 12.8
minte  0.2, 0.0, 6.1   0.2, 0.0, 6.3   0.1, 0.0, 6.6   -
overa  0.4, 0.1, 4.0   0.4, 0.1, 4.1   0.5, 0.1, 4.1   0.8, 0.1, 4.4
parsi  0.2, 0.0, 3.4   0.2, 0.0, 3.5   0.2, 0.0, 3.7   0.3, 0.0, 3.9
reduc  -               -               0.3, 0.0, 4.1   -
runti  0.4, 0.0, 5.6   0.4, 0.0, 5.6   0.4, 0.1, 5.7   1.8, 1.2, 6.9
trans  -               -               -               0.0, 0.0, 3.6
trim   0.2, 0.0, 3.0   0.2, 0.0, 3.0   0.2, 0.0, 3.1   0.1, 0.0, 3.9
union  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0   1.0, 0.0, 1.0
