           1st Quartile / Median / 3rd Quartile per op/bench            
------------------------------------------------------------------------
benchop    mata            mata-old        mata-sim       (py)mata
---------  --------------  --------------  -------------  --------------
compl/p    0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/znc  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.3
empti/bcd  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bcu  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bi   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
empti/biu  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/p    0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/znc  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/ai   0.0, 0.2, 0.5   0.0, 0.2, 0.2   0.1, 0.2, 0.4  0.0, 0.0, 0.0
fair-/bcd  0.4, 0.6, 1.7   0.3, 0.8, 1.7   0.3, 0.9, 1.5  0.8, 3.6, 8.9
fair-/bci  0.3, 0.8, 1.5   0.3, 0.9, 1.5   0.3, 0.8, 1.7  0.8, 3.8, 9.5
fair-/bcu  0.0, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.1, 0.1  0.0, 0.0, 0.0
fair-/bi   0.0, 0.0, 46.7  0.0, 0.0, 28.0  0.0, 0.0, 0.9  0.0, 60, 60
fair-/biu  0.1, 0.3, 1.4   0.1, 0.4, 1.4   0.1, 0.3, 1.5  0.0, 0.3, 1.9
fair-/ef   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.1  0.0, 0.0, 0.0
fair-/p    0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/zn   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/znc  0.0, 0.0, 0.1   0.0, 0.0, 0.1   0.1, 0.1, 0.7  0.0, 0.1, 0.8
