         1st Quartile / Median / 3rd Quartile         
------------------------------------------------------
bench    mata       mata-old    mata-sim    (py)mata
-------  ---------  ----------  ----------  ----------
aut_i    0, 0, 1    0, 0, 1     0, 0, 1     0, 0, 1
bc_co    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0
bc_co    0, 0, 17   0, 0, 60    0, 0, 60    0, 2, 11
bc_co    0, 0, 2    0, 0, 2     0, 0, 2     0, 2, 12
bc_in    0, 0, 1    0, 0, 1     0, 0, 1     0, 0, 3
bc_in    1, 60, 60  1, 60, 60   4, 60, 60   60, 60, 60
email    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0
presb    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0
presb    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 1
z3_no    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 0
z3_no    0, 0, 0    0, 0, 0     0, 0, 0     0, 0, 1
