name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.61; 0.446516; 0.171678; 0.010236; false; 0.667796;0.88; 0.711628; 0.207303; 0.001059; false; 0.958083;0.61; 0.436603; 0.170237; 0.002155; 0.009871; false; 0.661542;1.75; 0.6852; 0.0000; 0.0033; False; 0.0033; 0.6907
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.0; 0.734154; 0.256949; 0.017303; false; 1.07606;0.98; 0.726205; 0.25752; 0.001458; false; 1.04574;0.97; 0.689703; 0.269856; 0.003775; 0.01915; false; 1.05132;1.81; 0.7238; 0.0000; 0.0023; False; 0.0023; 0.7276
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.54; 0.369394; 0.182748; 0.00103; false; 0.59075;0.9; 0.666225; 0.247442; 0.001621; false; 0.972207;0.88; 0.666817; 0.236901; 0.002984; 0.001612; false; 0.965542;1.51; 0.6228; 0.0000; 0.0018; False; 0.0018; 0.6257
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.94; 0.665537; 0.254429; 0.016241; false; 0.99914;0.87; 0.654413; 0.241502; 0.001025; false; 0.935309;0.91; 0.662222; 0.23672; 0.003289; 0.016217; false; 0.985111;2.1; 0.9831; 0.0000; 0.0024; False; 0.0025; 0.9875
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.95; 0.673335; 0.27974; 0.01693; false; 1.02702;0.72; 0.549771; 0.175201; 0.000889; false; 0.76574;0.62; 0.430028; 0.178468; 0.002225; 0.009295; false; 0.663896;2.12; 1.0511; 0.0000; 0.0034; False; 0.0034; 1.0568
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.71; 0.467545; 0.192156; 0.056252; false; 0.754851;0.42; 0.330227; 0.11753; 0.000252; false; 0.467093;0.59; 0.411945; 0.185048; 0.015589; 0.000135; false; 0.646826;1.76; 0.7739; 0.0000; 0.0015; False; 0.0015; 0.7771
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.64; 0.091197; 0.03586; 0.52432; false; 0.656874;0.07; 0.054676; 0.02378; 0.000911; false; 0.08302;0.48; 0.055028; 0.025394; 0.022665; 0.386846; false; 0.494077;1.15; 0.0998; 0.0000; 0.0019; False; 0.0019; 0.1020
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.82; 0.103717; 0.038185; 0.683543; false; 0.831301;0.07; 0.059118; 0.023308; 0.001191; false; 0.087011;1.04; 0.110168; 0.037142; 0.039919; 0.875673; false; 1.06829;0.91; 0.1035; 0.0000; 0.0018; False; 0.0018; 0.1055
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;1.04; 0.107187; 0.039538; 0.900998; false; 1.05379;0.13; 0.106306; 0.038405; 0.002465; false; 0.15321;0.93; 0.063965; 0.025543; 0.02857; 0.831309; false; 0.953329;1.29; 0.1685; 0.0000; 0.0031; False; 0.0032; 0.1720
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.77; 0.097449; 0.037761; 0.655913; false; 0.797361;0.13; 0.1021; 0.038006; 0.002274; false; 0.148645;0.73; 0.069652; 0.023374; 0.02747; 0.625712; false; 0.750488;1.1; 0.0977; 0.0000; 0.0019; False; 0.0019; 0.0999
