name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.04; 0.029683; 0.01313; 0.003044; 0.001794; 1.7e-05; false; 0.050401;0.01; 0.015165; 0.008774; 0.001526; 0.001016; 1.2e-05; false; 0.028289;0.03; 0.029656; 0.013084; 0.002394; 0.001591; 0.000649; 1.2e-05; false; 0.050005;0.98; 0.0252; 0.0000; 0.0068; 0.0011; 0.0000; False; 0.0080; 0.0338
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.07; 0.058762; 0.011382; 0.005135; 0.004556; 3.3e-05; false; 0.081575;0.05; 0.034182; 0.013464; 0.00907; 0.007303; 2.4e-05; false; 0.065949;0.07; 0.045627; 0.016678; 0.005981; 0.005183; 0.002951; 1.8e-05; false; 0.078856;1.38; 0.0832; 0.0000; 0.0628; 0.0155; 0.0003; False; 0.0788; 0.1625
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;2.92; 0.532764; 0.128372; 1.94437; 0.695862; 0.000212; false; 3.32821;2.82; 0.529248; 0.12517; 1.82905; 0.727795; 0.000737; false; 3.24503;1.85; 0.382706; 0.086359; 0.000584; 1.19845; 0.467975; 0.000557; false; 2.16158;17.42; 0.5306; 0.0000; 13.3768; 3.9854; 0.0046; False; 17.3669; 17.9056
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.07; 0.042847; 0.014549; 0.013763; 0.010165; 3.1e-05; false; 0.083581;0.08; 0.042413; 0.014332; 0.014613; 0.009984; 4.4e-05; false; 0.08382;0.06; 0.042314; 0.013921; 0.008164; 0.005325; 0.00457; 1.5e-05; false; 0.07648;1.11; 0.1315; 0.0000; 0.1408; 0.0459; 0.0007; False; 0.1875; 0.3198
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.19; 0.100888; 0.028946; 0.050015; 0.026659; 6.1e-05; false; 0.210718;0.18; 0.099721; 0.027915; 0.049506; 0.027908; 4.6e-05; false; 0.209103;0.17; 0.101452; 0.028151; 0.028244; 0.020114; 0.014303; 2.8e-05; false; 0.196799;1.4; 0.0979; 0.0000; 0.2447; 0.0582; 0.0005; False; 0.3035; 0.4031
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.26; 0.128344; 0.036083; 0.078915; 0.047097; 0.000122; false; 0.295537;0.14; 0.06955; 0.020608; 0.042454; 0.029602; 3.6e-05; false; 0.165056;0.25; 0.12394; 0.034874; 0.049846; 0.032967; 0.022042; 3.7e-05; false; 0.268625;1.51; 0.1905; 0.0000; 0.3836; 0.0977; 0.0005; False; 0.4819; 0.6741
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.38; 0.154339; 0.048492; 0.128674; 0.07881; 8.7e-05; false; 0.418986;0.32; 0.156471; 0.040594; 0.113178; 0.041301; 4.6e-05; false; 0.357323;0.33; 0.152119; 0.042415; 0.074547; 0.051231; 0.030941; 5.4e-05; false; 0.357528;2.31; 0.2283; 0.0000; 0.8302; 0.2235; 0.0011; False; 1.0549; 1.2860
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.42; 0.181108; 0.046163; 0.152723; 0.084998; 0.000161; false; 0.471672;0.44; 0.183167; 0.047728; 0.172806; 0.085265; 0.000162; false; 0.497097;0.42; 0.179555; 0.049548; 0.103866; 0.072677; 0.04517; 7.1e-05; false; 0.458919;2.67; 0.2762; 0.0000; 1.2097; 0.3631; 0.0018; False; 1.5748; 1.8555
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.49; 0.205087; 0.057175; 0.182035; 0.108655; 8e-05; false; 0.56098;0.55; 0.205523; 0.056107; 0.248148; 0.114368; 0.000152; false; 0.635258;0.32; 0.130314; 0.034516; 0.090468; 0.049739; 0.036393; 7.6e-05; false; 0.346359;2.88; 0.2968; 0.0000; 1.3131; 0.3672; 0.0013; False; 1.6816; 1.9800
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.38; 0.128749; 0.038876; 0.161463; 0.090927; 0.000122; false; 0.427458;0.57; 0.223406; 0.056064; 0.266478; 0.098919; 0.000103; false; 0.654331;0.6; 0.224677; 0.064903; 0.179869; 0.110317; 0.045494; 7.2e-05; false; 0.634413;3.48; 0.2883; 0.0000; 1.8772; 0.6753; 0.0024; False; 2.5550; 2.8458
