name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.01; 0.01376; 0.006711; 3.6e-05; 2.4e-05; 1e-05; false; 0.022069;0.03; 0.026147; 0.01095; 7.1e-05; 4.5e-05; 1.6e-05; false; 0.039622;0.03; 0.025415; 0.009742; 6.9e-05; 4.2e-05; 1.6e-05; false; 0.037465;1.23; 0.0477; 0.0000; 0.0007; 0.0001; 0.0001; False; 0.0010; 0.0491
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.05; 0.048235; 0.01614; 0.000132; 9.1e-05; 3.3e-05; false; 0.067461;0.03; 0.029456; 0.012699; 0.000126; 8.4e-05; 3.1e-05; false; 0.044777;0.03; 0.029388; 0.010739; 6.4e-05; 4.9e-05; 2e-05; false; 0.041894;1.14; 0.0472; 0.0000; 0.0009; 0.0001; 0.0001; False; 0.0011; 0.0486
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.41; 0.356608; 0.084469; 0.000596; 0.000845; 0.000167; false; 0.455746;0.62; 0.516947; 0.138298; 0.00064; 0.000931; 0.00015; false; 0.674654;0.64; 0.521221; 0.135316; 0.001462; 0.001729; 0.000217; false; 0.686357;1.57; 0.6595; 0.0000; 0.0036; 0.0025; 0.0022; False; 0.0084; 0.6701
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.06; 0.046023; 0.016409; 0.00011; 7.5e-05; 2.8e-05; false; 0.064557;0.05; 0.044988; 0.016063; 9.2e-05; 9.6e-05; 3e-05; false; 0.063394;0.1; 0.077199; 0.023022; 0.000194; 0.000163; 4.4e-05; false; 0.104313;1.28; 0.1316; 0.0000; 0.0008; 0.0003; 0.0004; False; 0.0015; 0.1336
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.08; 0.070319; 0.028252; 0.000266; 0.000162; 5.9e-05; false; 0.102908;0.12; 0.100582; 0.029225; 0.000257; 0.000175; 5.8e-05; false; 0.134465;0.07; 0.068171; 0.018018; 0.00012; 8.8e-05; 4e-05; false; 0.08888;1.33; 0.1615; 0.0000; 0.0017; 0.0007; 0.0007; False; 0.0031; 0.1654
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.09; 0.072878; 0.030112; 0.000323; 0.000299; 7.6e-05; false; 0.109292;0.12; 0.110493; 0.022891; 0.000154; 0.00018; 5e-05; false; 0.137165;0.14; 0.129304; 0.036906; 0.000312; 0.000186; 7.2e-05; false; 0.171465;1.08; 0.1560; 0.0000; 0.0011; 0.0003; 0.0003; False; 0.0018; 0.1581
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.16; 0.129737; 0.04337; 0.000405; 0.00027; 8.9e-05; false; 0.180129;0.18; 0.152931; 0.043534; 0.000365; 0.000261; 8.4e-05; false; 0.203112;0.18; 0.155087; 0.042278; 0.000395; 0.000346; 8.5e-05; false; 0.204054;1.43; 0.2412; 0.0000; 0.0025; 0.0009; 0.0009; False; 0.0045; 0.2462
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.21; 0.179538; 0.044954; 0.000519; 0.000514; 0.000112; false; 0.233573;0.12; 0.101063; 0.03352; 0.000206; 0.000191; 7e-05; false; 0.140008;0.21; 0.178385; 0.048926; 0.000602; 0.000467; 0.000145; false; 0.236294;1.26; 0.2559; 0.0000; 0.0019; 0.0007; 0.0009; False; 0.0035; 0.2599
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.21; 0.195306; 0.033019; 0.000226; 0.000228; 7.8e-05; false; 0.233159;0.23; 0.192821; 0.050766; 0.000555; 0.000408; 0.000132; false; 0.251745;0.17; 0.146717; 0.039792; 0.00023; 0.00022; 8e-05; false; 0.19145;1.14; 0.3301; 0.0000; 0.0023; 0.0009; 0.0010; False; 0.0044; 0.3350
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.28; 0.229766; 0.061213; 0.000528; 0.000448; 0.000143; false; 0.301442;0.27; 0.230254; 0.055446; 0.000538; 0.000385; 0.000128; false; 0.294463;0.15; 0.127047; 0.040163; 0.000253; 0.000232; 8.8e-05; false; 0.172923;1.16; 0.2828; 0.0000; 0.0021; 0.0009; 0.0010; False; 0.0040; 0.2873
