name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.07; 0.048945; 0.011764;0.022899;0.007766; 3e-06; true; 0.093366;0.06; 0.036739; 0.012991;0.0186;0.005821; 2e-06; true; 0.076445;0.05; 0.017053; 0.008346;0.023214;0.007877;0.003522; 2e-06; true; 0.062165;1.27; 0.0621; 0.0000; 0.0853; 0.0127; 0.0000; True; 0.0981; 0.1607
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.14; 0.038838; 0.01761;0.079784;0.024965; 3e-06; true; 0.166175;0.11; 0.021425; 0.019435;0.067712;0.021115; 3e-06; true; 0.132252;0.11; 0.02274; 0.010405;0.042324999999999995;0.035146;0.012483; 2e-06; true; 0.126279;1.3; 0.0564; 0.0000; 0.2279; 0.0325; 0.0000; True; 0.2605; 0.3176
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.27; 0.051122; 0.018608;0.17509400000000003;0.05079; 3e-06; true; 0.300547;0.27; 0.041558; 0.021172;0.176113;0.049722; 3e-06; true; 0.294187;0.24; 0.047731; 0.017034;0.082026;0.08343400000000001;0.020339; 2e-06; true; 0.255249;1.7; 0.1043; 0.0000; 0.5203; 0.0535; 0.0000; True; 0.5738; 0.6786
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.55; 0.06182; 0.023847;0.401721;0.115815; 4e-06; true; 0.609067;0.54; 0.062997; 0.021907;0.40249;0.107934; 4e-06; true; 0.601472;0.25; 0.030561; 0.012732;0.039715;0.145593;0.043758; 3e-06; true; 0.27596;2.41; 0.1085; 0.0000; 1.2179; 0.1566; 0.0000; True; 1.3746; 1.4836
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.83; 0.06202; 0.024991;0.66918;0.16147699999999998; 2e-06; true; 0.924188;0.91; 0.03613; 0.016646;0.795451;0.183842; 4e-06; true; 1.03638;0.75; 0.066722; 0.021426;0.086026;0.49548899999999996;0.146779; 3e-06; true; 0.822787;4.48; 0.0746; 0.0000; 3.0954; 0.3944; 0.0000; True; 3.4899; 3.5663
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;1.87; 0.046025; 0.030526;1.5539459999999998;0.452213; 2e-06; true; 2.08992;1.97; 0.085362; 0.026001;1.59509;0.480387; 2e-06; true; 2.19389;1.55; 0.046229; 0.021769;0.16392;1.079145;0.383359; 3e-06; true; 1.70303;8.62; 0.1408; 0.0000; 7.0282; 0.7227; 0.0000; True; 7.7510; 7.8949
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;5.45; 0.083985; 0.029163;3.775245;2.065089; 5e-06; true; 5.9672;5.73; 0.102609; 0.033729;3.970054;2.105251; 7e-06; true; 6.22629;2.96; 0.093787; 0.033694;0.269442;1.8166779999999998;0.93127; 3e-06; true; 3.15542;16.62; 0.1642; 0.0000; 14.2275; 2.2317; 0.0000; True; 16.4593; 16.6286
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;14.75; 0.108511; 0.045958;11.148976000000001;4.624843; 4e-06; true; 15.9459;16.15; 0.096774; 0.031151;11.522281;5.871695000000001; 5e-06; true; 17.5425;9.61; 0.111478; 0.037705;0.9767159999999999;6.054204;3.072835; 3e-06; true; 10.2676;38.66; 0.1061; 0.0000; 34.7298; 6.1419; 0.0000; True; 40.8719; 40.9927
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;31.1; 0.133466; 0.04007;22.486528999999997;10.805918; 3e-06; true; 33.4887;35.74; 0.134616; 0.042411;26.709668999999998;11.872307; 3e-06; true; 38.7847;21.51; 0.132738; 0.044979;2.7798480000000003;13.22085;6.656989; 3e-06; true; 22.8533;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO; 0.117912; 0.042208;27.403876;10.001002;MISSING;MISSING;MISSING;TO; 0.073186; 0.025874;39.848923;14.04008;MISSING;MISSING;MISSING;TO; 0.13779; 0.046383;9.665216000000001;17.498732;9.325832;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001445; 0.007068; 1.8e-05; 2.2e-05; 1e-06; true; 0.009776;0.0; 0.00109; 0.005852; 1.6e-05; 9e-06; 1e-06; true; 0.007916;0.0; 0.001022; 0.005426; 8.4e-05; 1.3e-05; 8e-06; 1e-06; true; 0.007511;1.18; 0.0087; 0.0000; 0.0001; 0.0000; 0.0000; True; 0.0002; 0.0091
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO; 0.131782; 0.042376;41.566662;14.093329;MISSING;MISSING;MISSING;TO; 0.085044; 0.030831;30.692190000000004;11.989075999999999;MISSING;MISSING;MISSING;TO; 0.146562; 0.054987;8.889687;19.706469;8.102466;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO; 0.10875; 0.03633;46.079034;6.985614;MISSING;MISSING;MISSING;TO; 0.174507; 0.053359;44.647053;10.387215999999999;MISSING;MISSING;MISSING;TO; 0.166956; 0.051496;13.413203;23.229593;10.663173;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO; 0.166915; 0.055444;23.048959;8.261435;MISSING;MISSING;MISSING;TO; 0.175632; 0.066459;50.279168;7.064399;MISSING;MISSING;MISSING;TO; 0.188903; 0.05669;9.497375;26.222031;9.65344;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO; 0.186691; 0.064532;26.046595;8.510226;MISSING;MISSING;MISSING;TO; 0.20934; 0.068245;41.163018;17.316883;MISSING;MISSING;MISSING;TO; 0.22864; 0.074611;11.530037;25.936636999999997;10.771239999999999;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;TO; 0.24017; 0.075249;22.848244;9.422104000000001;MISSING;MISSING;MISSING;TO; 0.146139; 0.045498;21.229857;9.27815;MISSING;MISSING;MISSING;TO; 0.222519; 0.061321;12.271441;33.111486;10.912964;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;TO; 0.232026; 0.069315;27.477947;10.348986;MISSING;MISSING;MISSING;TO; 0.264696; 0.095446;20.259973;12.360628;MISSING;MISSING;MISSING;TO; 0.242957; 0.079235;12.004588;34.548238;10.878245;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
