name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.04; 0.033132; 0.013646;0.00029099999999999997;0.000535; 7.2e-05; false; 0.050979;0.02; 0.016815; 0.008716;0.000153;0.000313; 4.9e-05; false; 0.028049;0.03; 0.026114; 0.0124;0.000287;0.000532; 8.1e-05; false; 0.042772;1.18; 0.0656; 0.0000; 0.0036; 0.0002; 0.0003; False; 0.0042; 0.0704
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.03; 0.026797; 0.009518;0.00029599999999999993;0.000612; 6.1e-05; false; 0.039756;0.05; 0.04011; 0.016211;0.00037200000000000004;0.0007480000000000001; 9.5e-05; false; 0.061566;0.03; 0.034887; 0.013106;0.000172;0.00039299999999999996; 5.7e-05; false; 0.051896;1.22; 0.0841; 0.0000; 0.0038; 0.0002; 0.0003; False; 0.0044; 0.0888
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.03; 0.027845; 0.011244;0.00022900000000000004;0.00054; 7e-05; false; 0.042799;0.04; 0.034001; 0.015745;0.000237;0.000616; 0.000116; false; 0.053536;0.06; 0.050467; 0.017836;0.000406;0.0009369999999999999; 9.9e-05; false; 0.074128;1.13; 0.0611; 0.0000; 0.0062; 0.0003; 0.0005; False; 0.0070; 0.0685
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.07; 0.054843; 0.0215;0.000515;0.001282; 0.000125; false; 0.083439;0.08; 0.061239; 0.020839;0.000507;0.0011799999999999998; 0.00012; false; 0.089159;0.05; 0.038659; 0.013008;0.00046599999999999994;0.0011420000000000002; 8.3e-05; false; 0.056874;1.13; 0.1058; 0.0000; 0.0072; 0.0004; 0.0006; False; 0.0082; 0.1148
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.07; 0.052682; 0.024411;0.000587;0.001503; 0.000152; false; 0.085163;0.05; 0.046073; 0.014151;0.000284;0.0007670000000000001; 9.4e-05; false; 0.064818;0.04; 0.036172; 0.013987;0.00029099999999999997;0.000861; 0.000112; false; 0.054778;1.04; 0.0712; 0.0000; 0.0056; 0.0004; 0.0004; False; 0.0064; 0.0783
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.1; 0.082184; 0.027705;0.00058;0.001531; 0.000146; false; 0.118905;0.1; 0.081161; 0.028606;0.0006799999999999999;0.0018880000000000004; 0.000223; false; 0.11974;0.11; 0.082281; 0.027826;0.0007350000000000001;0.0019520000000000004; 0.000253; false; 0.120777;1.26; 0.1207; 0.0000; 0.0078; 0.0002; 0.0005; False; 0.0085; 0.1298
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.12; 0.094923; 0.03485;0.0007929999999999999;0.002123; 0.00018; false; 0.141286;0.11; 0.088254; 0.027963;0.000722;0.0020930000000000002; 0.000168; false; 0.126057;0.07; 0.061138; 0.019195;0.000356;0.001174; 0.000134; false; 0.086637;1.17; 0.1300; 0.0000; 0.0151; 0.0004; 0.0008; False; 0.0163; 0.1471
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.14; 0.111598; 0.03639;0.000951;0.0026509999999999997; 0.000171; false; 0.161163;0.13; 0.101197; 0.034494;0.0009090000000000001;0.0025299999999999997; 0.000147; false; 0.148367;0.09; 0.072491; 0.020696;0.00046699999999999997;0.001437; 0.000105; false; 0.100388;1.32; 0.1902; 0.0000; 0.0179; 0.0005; 0.0010; False; 0.0194; 0.2106
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.16; 0.124789; 0.039542;0.001038;0.003051; 0.000243; false; 0.179101;0.12; 0.105928; 0.022927;0.000531;0.001754; 0.000174; false; 0.137587;0.16; 0.120582; 0.039504;0.0010439999999999998;0.003176; 0.000307; false; 0.175476;1.19; 0.1559; 0.0000; 0.0219; 0.0006; 0.0012; False; 0.0238; 0.1809
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.18; 0.135096; 0.041747;0.001044;0.003446; 0.000204; false; 0.191502;0.18; 0.13449; 0.043882;0.001171;0.0034970000000000005; 0.000212; false; 0.194925;0.18; 0.143002; 0.043693;0.0011789999999999997;0.003773; 0.000275; false; 0.203605;1.23; 0.2133; 0.0000; 0.0222; 0.0003; 0.0009; False; 0.0235; 0.2377
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001386; 0.005754; 1.3e-05; 1e-05; 5e-06; false; 0.008147;0.0; 0.001205; 0.005455; 1.2e-05; 4.1e-05; 6e-06; false; 0.007615;0.0; 0.001222; 0.005619; 1.1e-05; 1e-05; 5e-06; false; 0.007847;1.05; 0.0085; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0089
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;0.2; 0.151829; 0.047964;0.0011009999999999998;0.003859; 0.000207; false; 0.21626;0.11; 0.084498; 0.032419;0.000625;0.0022589999999999997; 0.000156; false; 0.127087;0.19; 0.15173; 0.045498;0.001227;0.00394; 0.000215; false; 0.214392;1.39; 0.2013; 0.0000; 0.0291; 0.0008; 0.0015; False; 0.0314; 0.2354
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;0.15; 0.132794; 0.03125;0.00067;0.0025930000000000003; 0.000178; false; 0.175076;0.13; 0.098042; 0.041852;0.000695;0.002639; 0.000158; false; 0.151248;0.23; 0.175079; 0.053586;0.0013089999999999998;0.00455; 0.000247; false; 0.248086;1.34; 0.2625; 0.0000; 0.0330; 0.0008; 0.0016; False; 0.0356; 0.2994
