name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.15; 0.11011; 0.042828;0.001151;0.000521; 1e-05; true; 0.160973;0.11; 0.066916; 0.051044;0.001549;0.0006439999999999999; 1.1e-05; true; 0.127173;0.15; 0.113742; 0.04705;0.007499;0.000214;5.6e-05; 5e-06; true; 0.173386;1.08; 0.1165; 0.0000; 0.0047; 0.0000; 0.0000; True; 0.0048; 0.1217
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.04; 0.037073; 0.016942;0.000155;5.300000000000001e-05; 9e-06; true; 0.057136;0.04; 0.034683; 0.015889;0.00011;4e-05; 9e-06; true; 0.053187;0.05; 0.03634; 0.0158;0.0027740000000000004;6.7e-05;3.5000000000000004e-05; 1.1e-05; true; 0.057698;1.28; 0.0779; 0.0000; 0.0007; 0.0000; 0.0000; True; 0.0008; 0.0790
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.12; 0.080942; 0.03792;0.00457;0.0015639999999999999; 0.000172; true; 0.134361;0.14; 0.098326; 0.039387;0.0055709999999999996;0.001418; 0.000211; true; 0.154253;0.13; 0.095238; 0.033;0.012903999999999999;0.0005719999999999999;0.000126; 4.8e-05; true; 0.146027;1.33; 0.1215; 0.0000; 0.0116; 0.0003; 0.0002; True; 0.0121; 0.1340
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.11; 0.08739; 0.038093;0.000386;0.000155; 1e-05; true; 0.133505;0.12; 0.09022; 0.037088;0.000414;0.000146; 9e-06; true; 0.135721;0.08; 0.053912; 0.022172;0.014671;0.00016800000000000002;6.4e-05; 1.2e-05; true; 0.095013;1.27; 0.1175; 0.0000; 0.0050; 0.0000; 0.0000; True; 0.0051; 0.1232
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.01; 0.008733; 0.005967;6e-06;4.9999999999999996e-06; 6e-06; true; 0.015655;0.01; 0.008806; 0.005899;6e-06;4.9999999999999996e-06; 6e-06; true; 0.015657;0.02; 0.016386; 0.0087;0.00082;9e-06;5.999999999999999e-06; 8e-06; true; 0.027425;0.97; 0.0391; 0.0000; 0.0000; 0.0001; 0.0000; True; 0.0002; 0.0395
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.02; 0.014596; 0.008658;0.000257;7.4e-05; 8e-06; true; 0.025285;0.02; 0.014879; 0.009107;0.000226;7.4e-05; 8e-06; true; 0.025905;0.02; 0.016159; 0.010077;0.0007700000000000001;5.599999999999999e-05;2.5e-05; 6e-06; true; 0.028294;1.13; 0.0361; 0.0000; 0.0009; 0.0000; 0.0000; True; 0.0010; 0.0373
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.05; 0.041392; 0.015731;0.000459;0.000165; 8e-06; true; 0.059918;0.09; 0.071429; 0.023944;0.0009400000000000001;0.000264; 1.1e-05; true; 0.100239;0.09; 0.070422; 0.022848;0.007434;0.00020299999999999997;8.5e-05; 8e-06; true; 0.104454;1.21; 0.1148; 0.0000; 0.0044; 0.0001; 0.0000; True; 0.0046; 0.1197
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.016593; 0.012722;1.5e-05;8e-06; 8e-06; true; 0.03163;0.02; 0.01509; 0.011595;1.2e-05;7e-06; 8e-06; true; 0.028175;0.02; 0.016186; 0.013353;0.001778;1.2e-05;5.999999999999999e-06; 8e-06; true; 0.033672;1.21; 0.0485; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0003; 0.0491
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.13; 0.086573; 0.051733;2e-05;9.999999999999999e-06; 1.1e-05; true; 0.148729;0.11; 0.052204; 0.057248;2.1000000000000002e-05;9e-06; 1.3e-05; true; 0.119368;0.15; 0.074412; 0.050183;0.029157000000000002;1.9e-05;9e-06; 9e-06; true; 0.164022;1.18; 0.1241; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0004; 0.1251
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.14; 0.115695; 0.047496;0.000104;3.1e-05; 9e-06; true; 0.171457;0.16; 0.113666; 0.050461;0.000103;2.8e-05; 1.1e-05; true; 0.173224;0.15; 0.095578; 0.044749;0.017981999999999998;2.9e-05;1.1e-05; 9e-06; true; 0.165482;1.34; 0.1784; 0.0000; 0.0025; 0.0003; 0.0000; True; 0.0029; 0.1819
