name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.07; 0.070396; 0.002706; 0.0002; 0.000125; false; 0.080697;0.07; 0.068427; 0.002609; 0.000176; 0.000124; false; 0.079703;0.07; 0.070817; 0.011505; 0.000623; 6.6e-05; 7.9e-05; false; 0.090084;1.19; 0.0871; 0.0000; 0.0050; 0.0002; 0.0000; False; 0.0053; 0.0930
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.02; 0.025567; 0.001668; 0.000152; 8.2e-05; false; 0.031528;0.02; 0.024954; 0.00144; 0.000131; 8.1e-05; false; 0.030341;0.03; 0.027508; 0.005088; 0.000272; 3.3e-05; 2.9e-05; false; 0.036284;0.8; 0.0368; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0027; 0.0399
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.01; 0.010963; 0.00087; 0.000125; 6.4e-05; false; 0.013588;0.02; 0.018986; 0.001571; 0.000108; 5.1e-05; false; 0.023165;0.02; 0.019675; 0.002757; 0.00049; 4.7e-05; 2e-05; false; 0.025364;1.11; 0.0326; 0.0000; 0.0032; 0.0001; 0.0000; False; 0.0034; 0.0364
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;5.25; 2.5381; 2.65173; 0.008556; 0.00586; false; 5.56462;7.52; 4.09861; 3.41674; 0.007106; 0.004755; false; 7.93533;3.24; 3.07793; 0.271835; 0.002558; 0.000128; 0.00086; false; 3.55699;6.39; 3.4413; 0.0000; 2.5356; 0.0102; 0.0000; False; 2.5459; 6.0010
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.44; 0.367036; 0.062928; 0.001893; 0.000789; false; 0.469195;0.41; 0.347889; 0.059167; 0.001695; 0.000734; false; 0.449197;0.43; 0.398912; 0.033662; 0.002069; 0.000146; 0.000211; false; 0.467573;1.47; 0.4904; 0.0000; 0.0880; 0.0031; 0.0000; False; 0.0911; 0.5846
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.08; 0.06659; 0.015146; 0.000399; 0.000177; false; 0.08938;0.08; 0.065811; 0.014368; 0.000417; 0.000184; false; 0.087965;0.07; 0.067482; 0.005023; 0.000391; 3.5e-05; 4.5e-05; false; 0.079267;1.13; 0.0545; 0.0000; 0.0126; 0.0004; 0.0000; False; 0.0130; 0.0683
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.21; 0.168926; 0.041915; 0.001319; 0.00046; false; 0.23003;0.15; 0.141724; 0.01751; 0.000879; 0.000284; false; 0.170524;0.18; 0.161388; 0.013489; 0.000967; 8.5e-05; 0.000107; false; 0.192696;1.12; 0.1246; 0.0000; 0.0263; 0.0010; 0.0000; False; 0.0274; 0.1535
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0; 0.002593; 0.000309; 4.5e-05; 1.4e-05; false; 0.003434;0.0; 0.004933; 0.000602; 6.8e-05; 2.2e-05; false; 0.006425;0.0; 0.004931; 0.000703; 0.000138; 1.7e-05; 1.1e-05; false; 0.006508;1.25; 0.0144; 0.0000; 0.0017; 0.0001; 0.0000; False; 0.0019; 0.0166
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.05; 0.038387; 0.017596; 0.000494; 0.000208; false; 0.061932;0.08; 0.066906; 0.016625; 0.000888; 0.000264; false; 0.092913;0.07; 0.066642; 0.006334; 0.000404; 3.8e-05; 6e-05; false; 0.080865;1.26; 0.1019; 0.0000; 0.0221; 0.0006; 0.0000; False; 0.0227; 0.1257
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.14; 0.127564; 0.016121; 0.00092; 0.00029; false; 0.155829;0.19; 0.163578; 0.030232; 0.000813; 0.000371; false; 0.213488;0.1; 0.092838; 0.009045; 0.000539; 5.1e-05; 6e-05; false; 0.112328;1.09; 0.1990; 0.0000; 0.0230; 0.0008; 0.0000; False; 0.0238; 0.2236
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.16; 0.125048; 0.032198; 0.001154; 0.000405; false; 0.174553;0.1; 0.085665; 0.014526; 0.000724; 0.000243; false; 0.10939;0.15; 0.136423; 0.013948; 0.000764; 5.8e-05; 8.8e-05; false; 0.166331;1.16; 0.1104; 0.0000; 0.0462; 0.0016; 0.0000; False; 0.0479; 0.1603
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.21; 0.171337; 0.033968; 0.001111; 0.000419; false; 0.226722;0.18; 0.144977; 0.033844; 0.001146; 0.000415; false; 0.197915;0.17; 0.163939; 0.013355; 0.000942; 7.9e-05; 0.000107; false; 0.194449;1.41; 0.2301; 0.0000; 0.0553; 0.0019; 0.0000; False; 0.0572; 0.2898
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.23; 0.193262; 0.038292; 0.001294; 0.000495; false; 0.257444;0.11; 0.106079; 0.017763; 0.000617; 0.000245; false; 0.136398;0.19; 0.174655; 0.01794; 0.001063; 8.8e-05; 0.000113; false; 0.212901;1.04; 0.1457; 0.0000; 0.0264; 0.0010; 0.0000; False; 0.0275; 0.1742
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.21; 0.174668; 0.032928; 0.000927; 0.000381; false; 0.229216;0.23; 0.196467; 0.036301; 0.001191; 0.000444; false; 0.258619;0.11; 0.104734; 0.01005; 0.000642; 8.7e-05; 6.8e-05; false; 0.126438;1.32; 0.2168; 0.0000; 0.0525; 0.0014; 0.0000; False; 0.0540; 0.2728
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.51; 0.412503; 0.082417; 0.002504; 0.000889; false; 0.548902;0.43; 0.359552; 0.069277; 0.001883; 0.000759; false; 0.47454;0.47; 0.430326; 0.04391; 0.002352; 0.000188; 0.000248; false; 0.518249;1.27; 0.2846; 0.0000; 0.0496; 0.0018; 0.0000; False; 0.0514; 0.3387
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.26; 0.234212; 0.034722; 0.001417; 0.000557; false; 0.295251;0.43; 0.392816; 0.034953; 0.001378; 0.000596; false; 0.473957;0.28; 0.264654; 0.033538; 0.002381; 0.000181; 0.000255; false; 0.323148;1.62; 0.5290; 0.0000; 0.0982; 0.0025; 0.0000; False; 0.1008; 0.6330
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;8.71; 5.54492; 3.26842; 0.016347; 0.002182; false; 9.26925;14.77; 7.81658; 6.90351; 0.016418; 0.002171; false; 15.4924;8.64; 7.96659; 0.797846; 0.00909; 0.000443; 0.001781; false; 9.45087;11.72; 7.2483; 0.0000; 4.6994; 0.0131; 0.0000; False; 4.7126; 11.9858
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.0; 0.003905; 0.000668; 7.3e-05; 2.2e-05; false; 0.005373;0.0; 0.003801; 0.000623; 5.5e-05; 2e-05; false; 0.005226;0.0; 0.001973; 0.000397; 0.000198; 2.5e-05; 1.1e-05; false; 0.002989;0.77; 0.0082; 0.0000; 0.0008; 0.0000; 0.0000; False; 0.0009; 0.0093
