name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 6.3e-05; 2.3e-05; 3e-06; 1e-06; false; 0.000178;0.0; 0.000103; 1.5e-05; 3e-06; 2e-06; false; 0.000252;0.0; 7.2e-05; 5.5e-05; 1.1e-05; 7e-06; 1e-06; false; 0.000281;1.05; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 6.1e-05; 1.6e-05; 8e-06; 1e-06; false; 0.000183;0.0; 9e-05; 2.3e-05; 6e-06; 2e-06; false; 0.000232;0.0; 7e-05; 4.6e-05; 1.4e-05; 7e-06; 1e-06; false; 0.000248;1.17; 0.0063; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0066
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 4.5e-05; 1.3e-05; 3e-06; 2e-06; false; 0.000147;0.0; 7.8e-05; 2e-05; 5e-06; 1e-06; false; 0.000201;0.0; 6.9e-05; 3.5e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000213;0.85; 0.0041; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0044
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 8.7e-05; 2.3e-05; 5e-06; 1e-06; false; 0.000228;0.0; 7.5e-05; 2e-05; 6e-06; 1e-06; false; 0.000211;0.0; 5.1e-05; 4.5e-05; 1.2e-05; 7e-06; 1e-06; false; 0.000226;1.07; 0.0063; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0066
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 9e-05; 2.2e-05; 5e-06; 2e-06; false; 0.000223;0.0; 5.4e-05; 1.4e-05; 4e-06; 1e-06; false; 0.000145;0.0; 8.1e-05; 5.9e-05; 1.4e-05; 8e-06; 2e-06; false; 0.000303;1.05; 0.0045; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0047
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 5.2e-05; 2.7e-05; 3e-06; 1e-06; false; 0.000157;0.0; 5.3e-05; 1.4e-05; 3e-06; 1e-06; false; 0.000146;0.0; 8e-05; 6.3e-05; 1.4e-05; 8e-06; 1e-06; false; 0.000296;0.81; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 9.4e-05; 2.9e-05; 5e-06; 2e-06; false; 0.000264;0.0; 6e-05; 1.7e-05; 5e-06; 1e-06; false; 0.000202;0.0; 0.000102; 4.7e-05; 1.7e-05; 1.1e-05; 2e-06; false; 0.000323;0.98; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 6.2e-05; 1.9e-05; 4e-06; 2e-06; false; 0.000188;0.0; 9e-05; 2.5e-05; 5e-06; 1e-06; false; 0.000317;0.0; 5.8e-05; 3.3e-05; 1.5e-05; 7e-06; 1e-06; false; 0.000233;1.12; 0.0058; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0061
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 6.5e-05; 1.8e-05; 4e-06; 1e-06; false; 0.000185;0.0; 5.8e-05; 1.7e-05; 5e-06; 1e-06; false; 0.000181;0.0; 5.8e-05; 3.4e-05; 1.1e-05; 6e-06; 2e-06; false; 0.000208;1.17; 0.0064; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0067
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 7.6e-05; 1.9e-05; 4e-06; 1e-06; false; 0.000201;0.0; 5.9e-05; 1.6e-05; 4e-06; 3e-06; false; 0.000192;0.0; 8.4e-05; 4.5e-05; 1.8e-05; 1.7e-05; 2e-06; false; 0.000305;1.22; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0065
