name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.07; 0.033913; 0.042291; 0.000226; 9.3e-05; false; 0.081253;0.13; 0.061778; 0.066934; 0.000252; 9e-05; false; 0.136492;0.16; 0.061922; 0.037944; 0.059845; 0.000175; 7.9e-05; false; 0.167256;1.02; 0.0488; 0.0000; 0.0464; 0.0005; 0.0000; False; 0.0469; 0.0965
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.0; 0.002396; 0.00129; 0.000127; 0.000107; false; 0.005137;0.01; 0.00456; 0.002871; 0.000258; 0.000178; false; 0.01001;0.01; 0.002587; 0.003716; 0.002769; 0.000288; 0.000182; false; 0.011038;1.21; 0.0148; 0.0000; 0.0049; 0.0005; 0.0000; False; 0.0054; 0.0210
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.01; 0.010572; 0.00127; 0.00012; 5.6e-05; false; 0.014153;0.01; 0.008945; 0.001232; 9e-05; 5.6e-05; false; 0.012098;0.02; 0.008711; 0.014911; 0.001003; 0.0001; 7.3e-05; false; 0.026549;0.97; 0.0129; 0.0000; 0.0018; 0.0002; 0.0000; False; 0.0021; 0.0154
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.02; 0.016929; 0.002054; 0.000158; 2.6e-05; false; 0.022243;0.02; 0.017124; 0.002176; 0.000187; 5e-05; false; 0.02281;0.06; 0.015564; 0.045978; 0.002285; 0.00018; 5.3e-05; false; 0.067002;1.24; 0.0302; 0.0000; 0.0049; 0.0005; 0.0000; False; 0.0055; 0.0366
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.01; 0.014224; 0.001046; 8e-05; 4.6e-05; false; 0.017794;0.01; 0.016591; 0.001367; 8.4e-05; 4.3e-05; false; 0.021062;0.05; 0.015445; 0.039944; 0.001032; 0.000108; 5.1e-05; false; 0.059342;1.13; 0.0188; 0.0000; 0.0014; 0.0001; 0.0000; False; 0.0015; 0.0207
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.25; 0.2043; 0.0000; 0.0239; 0.0011; 0.0000; False; 0.0251; 0.2315
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.01; 0.008427; 0.000589; 0.000113; 2.5e-05; false; 0.01078;0.01; 0.008223; 0.000592; 0.000106; 2.5e-05; false; 0.010553;0.03; 0.00809; 0.024973; 0.000591; 5.6e-05; 2.9e-05; false; 0.035272;1.17; 0.0270; 0.0000; 0.0024; 0.0002; 0.0000; False; 0.0026; 0.0301
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.07; 0.055994; 0.008801; 0.000793; 0.000134; false; 0.074693;0.06; 0.053096; 0.008414; 0.000677; 0.000123; false; 0.071017;0.16; 0.056963; 0.099736; 0.008396; 0.000435; 8.5e-05; false; 0.174755;0.94; 0.0460; 0.0000; 0.0087; 0.0005; 0.0000; False; 0.0092; 0.0561
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.0; 0.000863; 0.0006; 7.1e-05; 3.9e-05; false; 0.00219;0.0; 0.000468; 0.000294; 3.6e-05; 3.6e-05; false; 0.001218;0.0; 0.000504; 0.000805; 0.000322; 3.6e-05; 2.7e-05; false; 0.00204;1.05; 0.0074; 0.0000; 0.0012; 0.0001; 0.0000; False; 0.0013; 0.0091
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.02; 0.022008; 0.003265; 0.000278; 0.000321; false; 0.030264;0.02; 0.021902; 0.003227; 0.000271; 0.000188; false; 0.029794;0.21; 0.023028; 0.200956; 0.002645; 0.000235; 0.000171; false; 0.231397;1.19; 0.0385; 0.0000; 0.0058; 0.0005; 0.0000; False; 0.0063; 0.0457
