name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.49; 0.366584; 0.141221; 0.000777; false; 0.538351;0.49; 0.347815; 0.141821; 0.007553; false; 0.529692;0.49; 0.34788; 0.141505; 0.004463; false; 0.525371
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.49; 0.350516; 0.143413; 0.000747; false; 0.526827;0.49; 0.351638; 0.143528; 0.00766; false; 0.535092;0.49; 0.349886; 0.143247; 0.004482; false; 0.529784
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.46; 0.335632; 0.137822; 0.000755; false; 0.504843;0.47; 0.33768; 0.137221; 0.000774; false; 0.50534;0.47; 0.336208; 0.137795; 0.004327; false; 0.508579
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.47; 0.342258; 0.139276; 0.000729; false; 0.512171;0.48; 0.353044; 0.138981; 0.007522; false; 0.531519;0.46; 0.343343; 0.139546; 0.004389; false; 0.51763
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.48; 0.349745; 0.141874; 0.000754; false; 0.523436;0.49; 0.350564; 0.143212; 0.007583; false; 0.532302;0.49; 0.352399; 0.14102; 0.004998; false; 0.530811
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.3; 0.235143; 0.092895; 0.000177; false; 0.34306;0.33; 0.234213; 0.092542; 0.023773; false; 0.365507;0.32; 0.242304; 0.093826; 0.003546; false; 0.356348
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.05; 0.047992; 0.018438; 0.000835; false; 0.070313;0.37; 0.049863; 0.018445; 0.308402; false; 0.379841;0.45; 0.048586; 0.018942; 0.387305; false; 0.457899
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.06; 0.054669; 0.019617; 0.001108; false; 0.078439;0.58; 0.057248; 0.019865; 0.509916; false; 0.59011;0.2; 0.05491; 0.019533; 0.134413; false; 0.211926
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.07; 0.057805; 0.021153; 0.001151; false; 0.083231;0.58; 0.055605; 0.020332; 0.511136; false; 0.590094;0.2; 0.061014; 0.020327; 0.134598; false; 0.218973
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.07; 0.061797; 0.020102; 0.001028; false; 0.086139;0.59; 0.06194; 0.020237; 0.515199; false; 0.600679;0.1; 0.050803; 0.018682; 0.039221; false; 0.111894
