name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.07; 0.057514; 0.024318;0.0006299999999999999;0.000286; 7e-06; true; 0.086306;0.07; 0.052789; 0.023049;0.000642;0.00028199999999999997; 6e-06; true; 0.080239;0.07; 0.052932; 0.023244;0.000664;0.000277; 6.5e-05; true; 0.080814
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.02; 0.017774; 0.008846;6.4e-05;3.7999999999999995e-05; 6e-06; true; 0.028131;0.02; 0.023584; 0.010071;6.7e-05;4.2e-05; 6e-06; true; 0.035334;0.02; 0.018641; 0.009038;6.4e-05;4.2999999999999995e-05; 3.8e-05; true; 0.029263
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.07; 0.056076; 0.021748;0.002013;0.000778; 0.000108; true; 0.085477;0.06; 0.049991; 0.020098;0.002094;0.000679; 9.2e-05; true; 0.077653;0.07; 0.057427; 0.021791;0.002092;0.000744; 0.000225; true; 0.087035
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.06; 0.047301; 0.021315;0.000195;8.4e-05; 8e-06; true; 0.072767;0.06; 0.043285; 0.019419;0.000191;8.7e-05; 6e-06; true; 0.066627;0.05; 0.043283; 0.019077;0.00020800000000000001;0.000127; 0.000326; true; 0.067058
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.01; 0.00834; 0.005351;7e-06;4.9999999999999996e-06; 5e-06; true; 0.014463;0.01; 0.010632; 0.006335;8e-06;7e-06; 7e-06; true; 0.017887;0.01; 0.009018; 0.005915;7e-06;7e-06; 1.8e-05; true; 0.015808
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.01; 0.008137; 0.006475;0.000149;6.2e-05; 6e-06; true; 0.015865;0.01; 0.011345; 0.009083;0.000224;9.3e-05; 7e-06; true; 0.022292;0.02; 0.017315; 0.01076;0.000208;8.599999999999999e-05; 2.7e-05; true; 0.029812
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.06; 0.055661; 0.014695;0.00046100000000000004;0.00016999999999999999; 7e-06; true; 0.073137;0.06; 0.051457; 0.016344;0.000518;0.000182; 7e-06; true; 0.070813;0.04; 0.039653; 0.012685;0.00041799999999999997;0.00014900000000000002; 9.2e-05; true; 0.054897
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.008582; 0.007264;1e-05;4.9999999999999996e-06; 5e-06; true; 0.016937;0.01; 0.008143; 0.006852;9e-06;5.999999999999999e-06; 5e-06; true; 0.016068;0.01; 0.008438; 0.00731;1e-05;7e-06; 4.4e-05; true; 0.016929
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.067506; 0.026889;1e-05;4.9999999999999996e-06; 8e-06; true; 0.09938;0.08; 0.058479; 0.028297;1.2000000000000002e-05;5.999999999999999e-06; 6e-06; true; 0.091809;0.08; 0.055645; 0.029106;1.1000000000000001e-05;1.5e-05; 0.000432; true; 0.090235
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.08; 0.056628; 0.025286;4.7e-05;1.5e-05; 7e-06; true; 0.086311;0.08; 0.06405; 0.024947;4.599999999999999e-05;1.7e-05; 6e-06; true; 0.0933;0.07; 0.056323; 0.024702;4.899999999999999e-05;1.6e-05; 6.1e-05; true; 0.085468
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.03; 0.026123; 0.012781;3.5e-05;2.1000000000000002e-05; 7e-06; true; 0.040808;0.03; 0.030226; 0.011528;2.7e-05;1.3000000000000001e-05; 6e-06; true; 0.043359;0.03; 0.025388; 0.011081;2.9e-05;1.2000000000000002e-05; 2.7e-05; true; 0.038128
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.039644; 0.018592;4.2999999999999995e-05;1.6e-05; 8e-06; true; 0.061856;0.06; 0.043678; 0.021006;4.7e-05;1.5e-05; 7e-06; true; 0.068582;0.05; 0.041268; 0.019175;4.7e-05;1.7e-05; 0.000305; true; 0.064457
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.015607; 0.009755;3.2999999999999996e-05;1.5e-05; 8e-06; true; 0.027255;0.03; 0.022913; 0.011412;3.2e-05;1.4e-05; 6e-06; true; 0.036105;0.03; 0.02672; 0.01407;3.899999999999999e-05;1.7e-05; 5.5e-05; true; 0.043196
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.06; 0.054497; 0.015741;0.000653;0.000314; 7e-06; true; 0.073884;0.04; 0.036059; 0.014581;0.000737;0.000353; 6e-06; true; 0.05466;0.06; 0.048604; 0.017821;0.000741;0.000346; 6.5e-05; true; 0.070562
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.06; 0.04418; 0.018835;0.000537;0.00027200000000000005; 7e-06; true; 0.067125;0.05; 0.042279; 0.019043;0.000513;0.000288; 7e-06; true; 0.06548;0.05; 0.044673; 0.018446;0.000508;0.000262; 0.000127; true; 0.067196
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.05; 0.035751; 0.014223;0.001235;0.000574; 0.000655; true; 0.055498;0.05; 0.039153; 0.015091;0.001279;0.000588; 0.00089; true; 0.060117;0.05; 0.036383; 0.015261;0.001343;0.000642; 0.002325; true; 0.059279
