name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.52; 0.370425; 0.157073; 0.00084; false; 0.560322;0.53; 0.370371; 0.15705; 0.009178; false; 0.571526;0.52; 0.366513; 0.158589; 0.00495; false; 0.563256
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.52; 0.364336; 0.156334; 0.000835; false; 0.55695;0.52; 0.366831; 0.158462; 0.008254; false; 0.567968;0.54; 0.367367; 0.159005; 0.00606; false; 0.571402
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.51; 0.373421; 0.142134; 0.000854; false; 0.549044;0.52; 0.374971; 0.150512; 0.000824; false; 0.558785;0.49; 0.346529; 0.147526; 0.005229; false; 0.530181
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.51; 0.35913; 0.155385; 0.000744; false; 0.546661;0.51; 0.355654; 0.154945; 0.008034; false; 0.551874;0.5; 0.351019; 0.149173; 0.00529; false; 0.53853
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.49; 0.35563; 0.151521; 0.000801; false; 0.539899;0.52; 0.353577; 0.153653; 0.0145; false; 0.564675;0.53; 0.387301; 0.151198; 0.004695; false; 0.574241
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.33; 0.250021; 0.09962; 0.00028; false; 0.368026;0.36; 0.245545; 0.102552; 0.024921; false; 0.389581;0.32; 0.244875; 0.099703; 0.003579; false; 0.364209
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.06; 0.053013; 0.020502; 0.000983; false; 0.078306;0.4; 0.055031; 0.032506; 0.32502; false; 0.417015;0.49; 0.06939; 0.020196; 0.412558; false; 0.505493
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.07; 0.057793; 0.021008; 0.001178; false; 0.083271;0.6; 0.057681; 0.020764; 0.536153; false; 0.617862;0.2; 0.056898; 0.020067; 0.134427; false; 0.2146
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.07; 0.056593; 0.020879; 0.001178; false; 0.081867;0.62; 0.057926; 0.020797; 0.550821; false; 0.632697;0.2; 0.057371; 0.020462; 0.137811; false; 0.218739
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.06; 0.053038; 0.019315; 0.001038; false; 0.076694;0.62; 0.076783; 0.021237; 0.539135; false; 0.640726;0.1; 0.054077; 0.019797; 0.040126; false; 0.117264
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.07; 0.054312; 0.021315; 0.001168; false; 0.080519;0.45; 0.054874; 0.020956; 0.386619; false; 0.466181;0.18; 0.054496; 0.021928; 0.111518; false; 0.191837
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.07; 0.057315; 0.021049; 0.001199; false; 0.082912;0.62; 0.058609; 0.021456; 0.544947; false; 0.628687;0.21; 0.058619; 0.020712; 0.136837; false; 0.219428
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.72; 0.374158; 0.155051; 0.197602; false; 0.756648;2.11; 0.372613; 0.155694; 1.59846; false; 2.15693;3.01; 0.37417; 0.155489; 2.49145; false; 3.05186
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.72; 0.370121; 0.151087; 0.210424; false; 0.760676;2.07; 0.369053; 0.154043; 1.56874; false; 2.12083;2.93; 0.370187; 0.154151; 2.43424; false; 2.98831
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.65; 0.354053; 0.143625; 0.16171; false; 0.687381;2.02; 0.357713; 0.144347; 1.52748; false; 2.05712;2.82; 0.357314; 0.149196; 2.33475; false; 2.87079
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.63; 0.364815; 0.150026; 0.124678; false; 0.668088;2.0; 0.376834; 0.146534; 1.49841; false; 2.05001;2.87; 0.362604; 0.150961; 2.37381; false; 2.91768
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.26; 0.187304; 0.068767; 0.023753; false; 0.293019;0.41; 0.177545; 0.069321; 0.172257; false; 0.432516;0.45; 0.178122; 0.0703; 0.216752; false; 0.479066
