name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.1; 0.088918; 0.026092;0.000738;0.00036800000000000005; 6e-06; true; 0.120091;0.1; 0.086964; 0.026436;0.000675;0.00033900000000000005; 7e-06; true; 0.118497;0.1; 0.077651; 0.026217;0.000726;0.000352; 6.3e-05; true; 0.109104
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.03; 0.03403; 0.011471;7.5e-05;4.4999999999999996e-05; 9e-06; true; 0.047401;0.02; 0.019695; 0.010129;6.3e-05;4.3e-05; 6e-06; true; 0.031458;0.02; 0.018593; 0.010421;7.6e-05;3.7e-05; 4.7e-05; true; 0.030794
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.08; 0.053764; 0.022332;0.0037670000000000004;0.001358; 0.000189; true; 0.087578;0.08; 0.05358; 0.02622;0.0045590000000000006;0.0013340000000000001; 0.00017; true; 0.094299;0.08; 0.060006; 0.022424;0.002067;0.0007599999999999999; 0.000223; true; 0.090583
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.06; 0.047219; 0.021647;0.000195;0.000108; 7e-06; true; 0.073195;0.06; 0.047239; 0.021768;0.000194;0.000127; 6e-06; true; 0.073324;0.05; 0.046147; 0.021247;0.000266;0.000137; 0.000376; true; 0.072461
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.01; 0.008975; 0.006059;8e-06;4e-06; 5e-06; true; 0.016088;0.01; 0.009049; 0.00601;6e-06;1.5e-05; 4e-06; true; 0.016078;0.01; 0.008999; 0.005951;7e-06;4e-06; 1.3e-05; true; 0.015857
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.01; 0.008212; 0.006161;0.000153;4.7e-05; 5e-06; true; 0.015541;0.01; 0.008172; 0.006121;0.000113;4.7999999999999994e-05; 4e-06; true; 0.015451;0.01; 0.008063; 0.006219;0.000144;4.7e-05; 1.8e-05; true; 0.015427
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.05; 0.045701; 0.014917;0.00044100000000000004;0.000222; 6e-06; true; 0.063623;0.05; 0.045394; 0.01499;0.00043;0.000232; 6e-06; true; 0.063326;0.05; 0.038755; 0.01419;0.000429;0.000234; 0.000107; true; 0.055913
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.009077; 0.007997;8e-06;1.4e-05; 5e-06; true; 0.018382;0.01; 0.008929; 0.007923;9e-06;1.6e-05; 5e-06; true; 0.018216;0.01; 0.008823; 0.008307;9e-06;1.4e-05; 4.2e-05; true; 0.018561
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.06; 0.046459; 0.029697;1.4e-05;9e-06; 9e-06; true; 0.081736;0.07; 0.045328; 0.026723;1.1000000000000001e-05;1.6e-05; 6e-06; true; 0.07712;0.07; 0.045112; 0.02898;1.1000000000000001e-05;1.6e-05; 0.000468; true; 0.080015
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.08; 0.059696; 0.027193;4.7e-05;2.7000000000000002e-05; 6e-06; true; 0.091732;0.09; 0.069362; 0.027183;5.099999999999999e-05;3.7e-05; 7e-06; true; 0.101315;0.09; 0.06713; 0.029128;4.7e-05;2.7000000000000002e-05; 6.5e-05; true; 0.101067
