      Average / Median / Average with Timeouts      
----------------------------------------------------
op     mata            mata-sim        awali
-----  --------------  --------------  -------------
compl  0.0, 0.0, 0.6   0.0, 0.0, 0.6   0.0, 0.0, 0.9
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.2, 0.0, 0.2
empti  0.0, 0.0, 4.8   0.0, 0.0, 4.8   0.1, 0.0, 5.1
fair-  0.2, 0.0, 5.5   0.3, 0.0, 5.6   0.7, 0.0, 6.2
inclu  0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.4, 0.0, 1.1
inter  2.3, 0.0, 10.6  2.1, 0.0, 10.6  2.7, 0.0, 2.7
minte  0.2, 0.0, 6.5   0.1, 0.0, 6.9   0.2, 0.0, 0.2
overa  0.4, 0.1, 4.1   0.5, 0.1, 4.1   0.9, 0.1, 4.8
parsi  0.2, 0.0, 3.6   0.2, 0.0, 3.8   0.2, 0.0, 0.5
reduc  -               0.3, 0.0, 4.3   -
runti  0.4, 0.0, 5.6   0.4, 0.1, 5.7   0.8, 0.1, 6.3
trans  -               -               0.0, 0.0, 0.4
trim   0.2, 0.0, 3.0   0.2, 0.0, 3.0   1.6, 0.0, 1.9
union  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.4, 0.0, 0.4
