   1st Quartile / Median / 3rd Quartile per op/bench    
--------------------------------------------------------
benchop    mata           mata-sim       awali
---------  -------------  -------------  ---------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1
empti/bci  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.3, 1.1
empti/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/bi   60, 60, 60     60, 60, 60     60, 60, 60
empti/biu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1
fair-/ai   0.0, 0.2, 0.4  0.1, 0.2, 0.5  0.1, 0.2, 0.5
fair-/bcd  60, 60, 60     60, 60, 60     60, 60, 60
fair-/bci  0.2, 0.6, 1.2  0.1, 0.6, 1.3  1.1, 4.3, 9.9
fair-/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
fair-/bi   60, 60, 60     60, 60, 60     60, 60, 60
fair-/biu  0.1, 0.3, 1.2  0.1, 0.3, 1.3  0.1, 0.7, 3.3
fair-/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1
fair-/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1
fair-/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/znc  0.0, 0.0, 0.1  0.1, 0.1, 0.7  0.0, 0.0, 0.4
inclu/ai   0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.2
inclu/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/bci  0.1, 0.3, 0.8  0.0, 0.3, 0.8  0.3, 1.4, 3.8
inter/bi   30.3, 60, 60   26.6, 60, 60   4.4, 9.5, 14.7
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2
minte/bcd  0.1, 0.1, 60   0.1, 60, 60    0.0, 0.1, 0.1
minte/bci  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
minte/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
minte/bi   0.1, 60, 60    0.1, 60, 60    0.0, 0.2, 0.7
minte/biu  0.0, 0.2, 0.7  0.0, 0.2, 0.7  0.0, 0.2, 0.6
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/p    0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1
overa/ai   0.1, 0.6, 0.7  0.2, 0.6, 0.8  0.1, 0.6, 1.1
overa/bci  0.3, 0.8, 1.5  0.3, 0.8, 1.6  1.2, 4.5, 10.3
overa/bcu  0.2, 0.3, 0.4  0.1, 0.3, 0.4  0.2, 0.3, 0.5
overa/bi   60, 60, 60     60, 60, 60     60, 60, 60
overa/biu  0.1, 0.6, 1.9  0.1, 0.6, 1.8  0.2, 1.1, 3.8
overa/ef   0.0, 0.1, 0.1  0.1, 0.1, 0.1  0.0, 0.1, 0.1
overa/p    0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.0, 0.1, 0.3
overa/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa/znc  0.0, 0.0, 0.1  0.1, 0.1, 0.7  0.0, 0.0, 0.4
parsi/ai   0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4
parsi/bcd  0.2, 0.5, 60   0.3, 60, 60    0.1, 0.2, 0.4
parsi/bci  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.4
parsi/bcu  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3
parsi/bi   0.5, 60, 60    0.4, 60, 60    0.0, 0.2, 0.5
parsi/biu  0.0, 0.2, 0.4  0.0, 0.2, 0.4  0.0, 0.2, 0.4
parsi/ef   0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1
parsi/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
parsi/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
reduc/ai   -              0.0, 0.0, 0.0  -
reduc/bcd  -              0.0, 60, 60    -
reduc/bci  -              0.0, 0.0, 0.0  -
reduc/bi   -              9.0, 60, 60    -
reduc/ef   -              0.0, 0.0, 0.0  -
reduc/p    -              0.0, 0.0, 0.0  -
reduc/zn   -              0.0, 0.0, 0.0  -
reduc/znc  -              0.1, 0.1, 0.3  -
resul/ai   60, 60, 60     60, 60, 60     60, 60, 60
resul/bci  60, 60, 60     60, 60, 60     60, 60, 60
resul/bcu  60, 60, 60     60, 60, 60     60, 60, 60
resul/bi   60, 60, 60     60, 60, 60     60, 60, 60
resul/biu  60, 60, 60     60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60     60, 60, 60
resul/p    60, 60, 60     60, 60, 60     60, 60, 60
resul/zn   60, 60, 60     60, 60, 60     60, 60, 60
resul/znc  60, 60, 60     60, 60, 60     60, 60, 60
runti/ai   0.1, 0.5, 0.7  0.2, 0.6, 0.8  0.1, 0.6, 1.0
runti/bcd  60, 60, 60     60, 60, 60     60, 60, 60
runti/bci  0.3, 0.7, 1.3  0.2, 0.7, 1.4  1.2, 4.7, 10.5
runti/bcu  0.1, 0.2, 0.4  0.1, 0.2, 0.4  0.1, 0.3, 0.4
runti/bi   60, 60, 60     60, 60, 60     60, 60, 60
runti/biu  0.1, 0.6, 1.8  0.1, 0.6, 1.8  0.2, 1.1, 3.7
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
runti/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
runti/znc  0.0, 0.0, 0.1  0.1, 0.1, 0.7  0.0, 0.0, 0.4
trans/ai   -              -              0.0, 0.0, 0.0
trans/bcd  -              -              0.0, 0.0, 0.0
trans/bci  -              -              0.0, 0.0, 0.0
trans/bcu  -              -              0.0, 0.0, 0.0
trans/bi   -              -              0.0, 0.0, 0.1
trans/biu  -              -              0.0, 0.0, 0.1
trans/ef   -              -              0.0, 0.0, 0.0
trans/p    -              -              0.0, 0.0, 0.0
trans/zn   -              -              0.0, 0.0, 0.0
trans/znc  -              -              0.0, 0.0, 0.0
trim/bci   0.0, 0.2, 0.3  0.0, 0.2, 0.3  0.7, 2.3, 5.2
trim/bcu   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/bi    9.5, 60, 60    7.6, 60, 60    0.6, 20.5, 29.6
trim/biu   0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.3, 1.6
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/znc   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.2
union/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.6
