1st Quartile / Median / 3rd Quartile per operation
--------------------------------------------------
op     mata           mata-sim       awali
-----  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-  0.0, 0.0, 0.1  0.0, 0.1, 0.3  0.0, 0.0, 0.3
inclu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter  0.0, 0.0, 0.6  0.0, 0.0, 0.5  0.0, 0.0, 1.4
minte  0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.1
overa  0.0, 0.1, 0.3  0.0, 0.1, 0.5  0.0, 0.1, 0.5
parsi  0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.1
reduc  -              0.0, 0.0, 0.1  -
runti  0.0, 0.1, 0.3  0.0, 0.1, 0.5  0.0, 0.1, 0.5
trans  -              -              0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
union  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.4
