name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.02; 0.014116; 0.008662; 0.001459; 0.000954; 1.2e-05; false; 0.027023;0.04; 0.031117; 0.012435; 0.002192; 0.001423; 0.000558; 1.1e-05; false; 0.050222;0.05; 0.031947; 0.011928;0.000266; 0.006493; 0.00775; 0.002411; false; 0.063241
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.08; 0.058119; 0.011127; 0.010424; 0.006691; 2.5e-05; false; 0.088933;0.04; 0.033613; 0.011915; 0.004102; 0.00377; 0.002683; 1.7e-05; false; 0.057761;0.13; 0.064128; 0.010581;0.000234; 0.01877; 0.031831; 0.011941; false; 0.139413
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;2.05; 0.473701; 0.111363; 1.24747; 0.450645; 0.000226; false; 2.30855;2.39; 0.492247; 0.145712; 0.001025; 1.47985; 0.544418; 0.000264; false; 2.69542;18.41; 0.4619; 0.099814;0.0027879999999999997; 6.26579; 8.82667; 2.10445; false; 17.7739
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.07; 0.05181; 0.013496; 0.012444; 0.009779; 2.2e-05; false; 0.089596;0.12; 0.080667; 0.023567; 0.016956; 0.012531; 0.008673; 3.6e-05; false; 0.146197;0.24; 0.043309; 0.012868;0.00035099999999999997; 0.050972; 0.096797; 0.031663; false; 0.238184
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.12; 0.05847; 0.022083; 0.02727; 0.020495; 5e-05; false; 0.131621;0.17; 0.104169; 0.030108; 0.025396; 0.020061; 0.012687; 2.8e-05; false; 0.19617;0.62; 0.057295; 0.01995;0.00051; 0.12624; 0.315911; 0.084115; false; 0.606815
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.26; 0.125369; 0.038301; 0.088136; 0.040723; 6.5e-05; false; 0.297713;0.25; 0.12729; 0.039032; 0.046425; 0.032844; 0.01684; 2.8e-05; false; 0.267137;0.98; 0.118532; 0.030452;0.00099; 0.248781; 0.475762; 0.093093; false; 0.972172
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.2; 0.088474; 0.026457; 0.066912; 0.040804; 4.7e-05; false; 0.226353;0.19; 0.086099; 0.025843; 0.044035; 0.026162; 0.02121; 4.1e-05; false; 0.206899;1.6; 0.146217; 0.039732;0.001327; 0.380568; 0.7487; 0.19885; false; 1.52172
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.41; 0.166123; 0.045465; 0.158526; 0.084188; 7.8e-05; false; 0.462268;0.4; 0.168456; 0.046513; 0.100786; 0.070898; 0.040607; 4.7e-05; false; 0.433871;1.66; 0.098391; 0.027258;0.000847; 0.488418; 0.825589; 0.169508; false; 1.61375
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.47; 0.213594; 0.057863; 0.146891; 0.099014; 9.8e-05; false; 0.526027;0.54; 0.229741; 0.066534; 0.142233; 0.093693; 0.052518; 5.7e-05; false; 0.593145;2.94; 0.211825; 0.051897;0.001859; 0.855042; 1.37277; 0.328308; false; 2.82843
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.47; 0.140922; 0.038529; 0.205303; 0.136986; 0.000126; false; 0.529177;0.62; 0.227579; 0.057272; 0.176396; 0.117084; 0.068883; 6e-05; false; 0.65607;3.01; 0.225147; 0.038885;0.001166; 0.990453; 1.2759; 0.311483; false; 2.8489
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.59; 0.253429; 0.065802; 0.227739; 0.112542; 0.000105; false; 0.668315;0.76; 0.247624; 0.070425; 0.000569; 0.355615; 0.167838; 0.000136; false; 0.857599;4.33; 0.241742; 0.068019;0.0020109999999999998; 1.3367; 2.11087; 0.436663; false; 4.20502
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.61; 0.157105; 0.04425; 0.281412; 0.215365; 0.000193; false; 0.707299;0.8; 0.210135; 0.049282; 0.000485; 0.432832; 0.204974; 0.000152; false; 0.909491;5.04; 0.275879; 0.069124;0.00267; 1.55118; 2.31335; 0.658728; false; 4.88011
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;1.14; 0.297405; 0.079767; 0.568029; 0.309662; 0.000301; false; 1.27094;0.68; 0.218219; 0.055634; 0.000305; 0.328488; 0.177688; 0.00031; false; 0.792431;5.88; 0.307844; 0.089109;0.003031; 2.20196; 2.47639; 0.622478; false; 5.71418
