name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.01; 0.013544; 0.006738; 7.8e-05; 4.3e-05; 1.1e-05; false; 0.02187;0.03; 0.026258; 0.010286; 6.7e-05; 5.1e-05; 1.6e-05; false; 0.038661;0.02; 0.014097; 0.008487;0.00026000000000000003; 0.000972; 0.001065; 0.000435; false; 0.028207
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.05; 0.051246; 0.014377; 0.000123; 7.4e-05; 3.1e-05; false; 0.068001;0.04; 0.046108; 0.009453; 7.7e-05; 4.4e-05; 2e-05; false; 0.057219;0.06; 0.052929; 0.01497;0.000437; 0.000927; 0.001287; 0.000793; false; 0.074234
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.55; 0.448473; 0.142873; 0.000581; 0.000739; 0.000128; false; 0.606673;0.56; 0.440995; 0.140094; 0.001369; 0.001871; 0.000236; false; 0.610083;0.49; 0.414926; 0.097094;0.0032180000000000004; 0.002838; 0.007012; 0.006669; false; 0.546998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.07; 0.061014; 0.020773; 0.000175; 0.000137; 4.1e-05; false; 0.085022;0.05; 0.045541; 0.012884; 9.5e-05; 6.5e-05; 2.8e-05; false; 0.060467;0.08; 0.071104; 0.013029;0.00035800000000000003; 0.000646; 0.000978; 0.000699; false; 0.089109
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.12; 0.100322; 0.031263; 0.000249; 0.00026; 5.8e-05; false; 0.13716;0.07; 0.058346; 0.016854; 0.000121; 8.7e-05; 3.7e-05; false; 0.077776;0.09; 0.060783; 0.028739;0.000895; 0.001319; 0.001959; 0.001509; false; 0.099173
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.14; 0.127946; 0.03311; 0.000299; 0.000195; 7e-05; false; 0.166048;0.16; 0.134055; 0.041805; 0.00032; 0.000252; 8.5e-05; false; 0.182139;0.14; 0.119966; 0.02327;0.000652; 0.000964; 0.001528; 0.001241; false; 0.150926
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.18; 0.152298; 0.041591; 0.000277; 0.000283; 7.9e-05; false; 0.200474;0.11; 0.091683; 0.034622; 0.000174; 0.000142; 5.9e-05; false; 0.130717;0.17; 0.151074; 0.035902;0.000748; 0.000925; 0.001663; 0.001514; false; 0.195235
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.17; 0.150545; 0.036335; 0.000208; 0.000178; 6.9e-05; false; 0.192278;0.16; 0.146451; 0.035133; 0.00023; 0.000175; 6.9e-05; false; 0.185978;0.19; 0.158797; 0.046867;0.000944; 0.001087; 0.002038; 0.001834; false; 0.216494
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.22; 0.176517; 0.051753; 0.000431; 0.000437; 0.000107; false; 0.236345;0.21; 0.186382; 0.037478; 0.000247; 0.000246; 7.9e-05; false; 0.230515;0.25; 0.206651; 0.046269;0.0017850000000000001; 0.001928; 0.003705; 0.003369; false; 0.269958
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.27; 0.232529; 0.055579; 0.000501; 0.000384; 0.000121; false; 0.296941;0.28; 0.23718; 0.062925; 0.000568; 0.000561; 0.000149; false; 0.31063;0.16; 0.134241; 0.035995;0.0011459999999999999; 0.001212; 0.002441; 0.0022; false; 0.181919
