name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.06; 0.061545; 0.00277; 0.000193; 0.000119; false; 0.072072;0.07; 0.066349; 0.007842; 0.000343; 4.1e-05; 4.7e-05; false; 0.078521;0.07; 0.063889; 0.001632; 0.005162; 0.00119; 0.000883; false; 0.078741
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.05; 0.053569; 0.002165; 0.000166; 9.9e-05; false; 0.061734;0.02; 0.023962; 0.004335; 0.000271; 4.5e-05; 2.7e-05; false; 0.031604;0.03; 0.023554; 0.00119; 0.002733; 0.001124; 0.000728; false; 0.032275
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.01; 0.010245; 0.000828; 7e-05; 3.2e-05; false; 0.012599;0.01; 0.010302; 0.001415; 0.00024; 2.8e-05; 1.2e-05; false; 0.013377;0.01; 0.010645; 0.000547; 0.002061; 0.000857; 0.000447; false; 0.016457
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;4.5; 2.9587; 1.58642; 0.005943; 0.004217; false; 4.76687;4.01; 3.75427; 0.307228; 0.002644; 0.0002; 0.000844; false; 4.3915;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.43; 0.362391; 0.062758; 0.001791; 0.000735; false; 0.463959;0.2; 0.192568; 0.018194; 0.001038; 8.8e-05; 0.000114; false; 0.231;0.24; 0.188576; 0.017548; 0.026788; 0.006632; 0.006689; false; 0.265268
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.04; 0.034184; 0.007416; 0.000233; 9.8e-05; false; 0.045934;0.03; 0.034259; 0.002888; 0.000212; 2.5e-05; 3.2e-05; false; 0.041063;0.04; 0.034308; 0.001849; 0.006676; 0.002162; 0.001757; false; 0.050758
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.1; 0.086103; 0.016625; 0.000725; 0.000215; false; 0.113312;0.09; 0.084943; 0.006768; 0.000449; 4.6e-05; 5.6e-05; false; 0.100959;0.18; 0.138973; 0.011078; 0.022625; 0.006028; 0.005529; false; 0.198877
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0; 0.002432; 0.000307; 3.2e-05; 1.3e-05; false; 0.003211;0.0; 0.002397; 0.000401; 7e-05; 1.1e-05; 7e-06; false; 0.003311;0.0; 0.002399; 0.000129; 0.001035; 0.000501; 0.000201; false; 0.005187
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.08; 0.0669; 0.015069; 0.000484; 0.000176; false; 0.089659;0.03; 0.034301; 0.002984; 0.000208; 2.3e-05; 3.8e-05; false; 0.041122;0.04; 0.034199; 0.001856; 0.007035; 0.002008; 0.001698; false; 0.050641
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.2; 0.169619; 0.031292; 0.000904; 0.000374; false; 0.219997;0.13; 0.122995; 0.008408; 0.000547; 5.2e-05; 6.5e-05; false; 0.141365;0.18; 0.158255; 0.005908; 0.013153; 0.003547; 0.003135; false; 0.192948
