name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.08; 0.052902; 0.034661; 0.000202; 8.9e-05; false; 0.092435;0.12; 0.034317; 0.035776; 0.046354; 0.000119; 5.5e-05; false; 0.123524;0.16; 0.03256; 0.001696; 0.120784; 0.002359; 0.001842; false; 0.163398
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.0; 0.004473; 0.002598; 0.000217; 0.000148; false; 0.009363;0.01; 0.004452; 0.003825; 0.002525; 0.000206; 0.000151; false; 0.012735;0.02; 0.004423; 0.000306; 0.005483; 0.003053; 0.002495; false; 0.017358
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.0; 0.008639; 0.000581; 9.1e-05; 5.2e-05; false; 0.010511;0.02; 0.009057; 0.016255; 0.001315; 8.8e-05; 7.6e-05; false; 0.028558;0.01; 0.004978; 0.000302; 0.002055; 0.000967; 0.000575; false; 0.010259
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.02; 0.015542; 0.001866; 0.000152; 4.5e-05; false; 0.020445;0.04; 0.00995; 0.037162; 0.000973; 7.9e-05; 2.6e-05; false; 0.050787;0.03; 0.015117; 0.000881; 0.004982; 0.002168; 0.001669; false; 0.027506
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.02; 0.014468; 0.0011; 9.2e-05; 3.9e-05; false; 0.01825;0.05; 0.013881; 0.033431; 0.001217; 9e-05; 4.6e-05; false; 0.051109;0.02; 0.013944; 0.000797; 0.003433; 0.001401; 0.000887; false; 0.023025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.0; 0.007679; 0.000556; 5.2e-05; 2.3e-05; false; 0.00967;0.05; 0.014288; 0.035752; 0.001206; 0.00011; 3.4e-05; false; 0.053956;0.02; 0.015516; 0.000814; 0.003571; 0.00153; 0.001058; false; 0.025136
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.04; 0.032791; 0.006225; 0.000563; 8.4e-05; false; 0.045249;0.15; 0.043396; 0.097641; 0.007827; 0.000443; 9.1e-05; false; 0.157675;0.06; 0.037779; 0.001442; 0.014171; 0.004957; 0.004328; false; 0.066483
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.0; 0.000953; 0.000612; 7.2e-05; 4.3e-05; false; 0.002314;0.0; 0.000826; 0.001221; 0.000553; 7.2e-05; 4.3e-05; false; 0.003264;0.0; 0.000709; 6.8e-05; 0.001886; 0.001209; 0.000687; false; 0.005631
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.02; 0.021672; 0.003382; 0.000282; 0.000192; false; 0.0298;0.17; 0.022308; 0.157029; 0.001685; 0.000185; 0.000131; false; 0.185181;0.02; 0.012109; 0.000696; 0.004552; 0.002278; 0.001918; false; 0.02356
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;8.83; 8.89867; 0.415168; 0.000306; 8.2e-05; false; 9.90904;8.52; 8.56877; 0.010282; 0.414662; 0.000397; 0.000125; false; 9.55342;28.84; 13.6187; 7.97356; 7.90415; 0.005742; 0.005112; false; 30.0541
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06499.mata;0.21; 0.033647; 0.180266; 0.000913; 0.000187; false; 0.221297;0.24; 0.0296; 0.025766; 0.18048; 0.001001; 9.4e-05; false; 0.243277;0.3; 0.029888; 0.001603; 0.250306; 0.005529; 0.005365; false; 0.296543
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06516.mata;0.03; 0.025083; 0.001086; 8.2e-05; 4.7e-05; false; 0.029717;0.03; 0.024774; 0.012913; 0.000997; 7.6e-05; 8.7e-05; false; 0.042163;0.03; 0.025227; 0.001399; 0.003445; 0.001447; 0.000942; false; 0.035709
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06570.mata;0.0; 0.001075; 0.001156; 0.000116; 2.3e-05; false; 0.003307;0.0; 0.000998; 0.001474; 0.001016; 0.000103; 7.2e-05; false; 0.004414;0.01; 0.001013; 9.4e-05; 0.002965; 0.001645; 0.001193; false; 0.007954
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06590.mata;0.06; 0.051059; 0.013105; 0.000852; 8e-05; false; 0.073743;0.1; 0.057148; 0.02691; 0.013408; 0.000764; 8.1e-05; false; 0.107114;0.09; 0.051859; 0.002956; 0.021642; 0.008696; 0.007555; false; 0.098362
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06599.mata;0.1; 0.102573; 0.003619; 0.000149; 0.0001; false; 0.117285;0.13; 0.046256; 0.079674; 0.001821; 8.6e-05; 6.3e-05; false; 0.13375;0.11; 0.089123; 0.005167; 0.009553; 0.002255; 0.001688; false; 0.117025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06612.mata;0.07; 0.065682; 0.003568; 0.000235; 0.000242; false; 0.078937;0.1; 0.058737; 0.049345; 0.001786; 9.5e-05; 0.000135; false; 0.118696;0.08; 0.058257; 0.003341; 0.008509; 0.002575; 0.002058; false; 0.081855
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06622.mata;0.15; 0.132695; 0.007588; 0.000542; 0.000263; false; 0.160464;0.55; 0.062407; 0.49664; 0.007826; 0.000572; 0.000366; false; 0.579349;0.15; 0.117826; 0.006611; 0.016793; 0.005163; 0.004557; false; 0.164119
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06647.mata;0.52; 0.528561; 0.005375; 0.000132; 8.3e-05; false; 0.573666;0.6; 0.57214; 0.05046; 0.001949; 0.000131; 0.00018; false; 0.663976;0.43; 0.394458; 0.023456; 0.031739; 0.001193; 0.00082; false; 0.473989
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06650.mata;0.02; 0.015904; 0.00822; 0.000298; 5e-05; false; 0.027579;0.03; 0.01573; 0.010211; 0.00834; 0.000322; 4.5e-05; false; 0.03782;0.03; 0.015946; 0.000882; 0.011011; 0.003929; 0.0037; false; 0.03795
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06665.mata;0.01; 0.014919; 0.0011; 9.6e-05; 3.8e-05; false; 0.018671;0.04; 0.015183; 0.028555; 0.001182; 8.8e-05; 3.9e-05; false; 0.047656;0.02; 0.015163; 0.000881; 0.003783; 0.001546; 0.001019; false; 0.025026
