name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 5.7e-05;0.000319;0.00034899999999999997; 7.6e-05; false; 0.001511;0.07; 6.1e-05;0.081706;0.00049;0.000315; 5.6e-05; false; 0.083869;0.01; 8e-05; 1.5e-05;0.005299999999999999;0.003796; 0.00162; false; 0.012274
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 4.7e-05;0.000312;0.000339; 7.5e-05; false; 0.001482;0.07; 5.9e-05;0.08154700000000001;0.000508;0.000325; 7.4e-05; false; 0.083581;0.01; 7e-05; 6e-05;0.005019999999999999;0.003764; 0.001633; false; 0.011931
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 7.6e-05;0.000616;0.0005729999999999999; 0.000119; false; 0.002737;0.05; 7.5e-05;0.064074;0.000553;0.000303; 5.7e-05; false; 0.066323;0.01; 9.5e-05; 9e-06;0.00487;0.00359; 0.001593; false; 0.011551
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 4e-05;0.000321;0.00035; 8.7e-05; false; 0.001443;0.06; 5.2e-05;0.066773;0.000423;0.000305; 5.1e-05; false; 0.06858;0.0; 6.2e-05; 1e-05;0.0030749999999999996;0.002248; 0.000945; false; 0.007335
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 8.3e-05;0.000548;0.000516; 0.000128; false; 0.002466;0.06; 9e-05;0.073293;0.0005059999999999999;0.00033299999999999996; 8.5e-05; false; 0.075459;0.01; 8e-05; 9e-06;0.0030740000000000003;0.002249; 0.000948; false; 0.007319
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 5.4e-05;0.000292;0.000307; 7.5e-05; false; 0.001371;0.05; 7.1e-05;0.06437;0.000499;0.000332; 5.7e-05; false; 0.066537;0.01; 0.0001; 1.3e-05;0.005255;0.003903; 0.001675; false; 0.012555
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 5.2e-05;0.000552;0.0005530000000000001; 0.000107; false; 0.00232;0.07; 6.9e-05;0.08088000000000001;0.000523;0.00031; 6.1e-05; false; 0.082981;0.0; 6e-05; 1e-05;0.0029630000000000004;0.002204; 0.000988; false; 0.00717
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 7e-05;0.000459;0.00048; 9.5e-05; false; 0.002054;0.07; 7.8e-05;0.07852200000000001;0.000467;0.000319; 5.5e-05; false; 0.080562;0.01; 0.00011; 1.3e-05;0.004914;0.0035260000000000005; 0.001603; false; 0.011633
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 6.8e-05;0.00043599999999999997;0.00045; 0.000102; false; 0.001892;0.05; 5.3e-05;0.057522000000000004;0.000338;0.000246; 4.6e-05; false; 0.059064;0.01; 0.000125; 1e-05;0.005013;0.003574; 0.001535; false; 0.011781
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 7.2e-05;0.0005350000000000001;0.000464; 0.000133; false; 0.002336;0.04; 6.8e-05;0.049008;0.000319;0.000255; 6.1e-05; false; 0.050628;0.01; 8.8e-05; 1.3e-05;0.003913;0.0027479999999999996; 0.000945; false; 0.009083
