name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.026842; 0.010159; 7.6e-05; 4.9e-05; 1.6e-05; false; 0.0394
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.04; 0.033356; 0.012051; 0.000128; 9.1e-05; 3.2e-05; false; 0.048348
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.5; 0.415243; 0.125115; 0.000636; 0.000935; 0.000118; false; 0.557327
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.076343; 0.017091; 8.8e-05; 6.2e-05; 2.8e-05; false; 0.09556
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.066191; 0.027944; 0.000257; 0.000156; 5.8e-05; false; 0.098526
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.08; 0.061647; 0.023033; 0.000157; 0.000119; 3.3e-05; false; 0.088298;0.15; 0.126361; 0.035475; 0.000274; 0.000242; 7e-05; false; 0.167456
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.130046; 0.040743; 0.000346; 0.000258; 9.4e-05; false; 0.176784
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.179091; 0.036123; 0.000439; 0.00036; 9.9e-05; false; 0.222397
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.18667; 0.055399; 0.000503; 0.000651; 0.000168; false; 0.252534
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.225252; 0.053729; 0.00055; 0.000409; 0.000127; false; 0.288169
