name;mata-runtime;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;ERR;0.05; 0.028513; 0.013198;0.017516;0.005652; 2e-06; true; 0.067241
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;ERR;0.1; 0.032811; 0.009478;0.056658;0.018991; 3e-06; true; 0.120478
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;ERR;0.19; 0.046324; 0.01268;0.11915;0.033524; 2e-06; true; 0.214495
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;ERR;0.43; 0.038772; 0.017045;0.31047;0.105075; 3e-06; true; 0.476136
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;ERR;1.11; 0.056808; 0.021169;0.939514;0.235344; 4e-06; true; 1.25838
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;ERR;2.48; 0.084122; 0.028337;1.958098;0.652562; 2e-06; true; 2.72982
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;ERR;5.74; 0.061029; 0.035928;3.989034;2.146905; 4e-06; true; 6.24627
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;ERR;17.52; 0.091626; 0.030776;12.644483999999999;6.713349000000001; 0.000103; true; 19.5025
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;ERR;35.97; 0.131881; 0.042089;29.586640000000003;15.626998; 1e-05; true; 45.4308
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;ERR;TO; 0.146136; 0.040269;39.792428;13.590295;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;ERR;0.0; 0.001251; 0.006059; 1.6e-05; 9e-06; 1e-06; true; 0.008438
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;ERR;TO; 0.156764; 0.048039;39.637798000000004;13.702424;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;ERR;TO; 0.175136; 0.06104;42.236115999999996;14.783767000000001;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;ERR;TO; 0.176712; 0.061366;46.50672;8.472433;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;ERR;TO; 0.234778; 0.105615;39.827595;9.282956;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;ERR;TO; 0.134776; 0.053311;48.198738;9.468753;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;ERR;TO; 0.264809; 0.087922;20.436532;8.575123;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;ERR;TO; 0.278194; 0.096722;22.043553;14.430797;MISSING;MISSING;MISSING
