name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.184775; 0.046179; 0.001137; 0.00011; 6.4e-05; false; 0.236914
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.136604; 0.036033; 0.000897; 0.000119; 4.2e-05; false; 0.177641
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.034219; 0.010843; 0.000169; 2.5e-05; 8e-06; false; 0.046186
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;13.36; 12.5734; 2.2828; 0.036272; 0.000273; 8.4e-05; false; 14.8984
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;44.17; 43.9605; 0.212619; 1.6e-05; 4e-06; 1e-06; false; 44.2306;1.32; 1.29812; 0.180743; 0.001432; 7.3e-05; 2.1e-05; false; 1.48145
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.201664; 0.046773; 0.002302; 0.000111; 3.2e-05; false; 0.252787
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.6; 0.565343; 0.111818; 0.002993; 0.000169; 4.1e-05; false; 0.681984
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.01; 0.013523; 0.008119; 0.00023; 2.8e-05; 2.5e-05; false; 0.023202
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.198196; 0.046747; 0.002343; 0.000207; 3.6e-05; false; 0.2497
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.61; 0.558708; 0.119687; 0.002282; 0.000117; 1.4e-05; false; 0.68248
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.5; 0.442856; 0.100675; 0.00229; 0.000135; 2.1e-05; false; 0.549788
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.62; 0.576293; 0.124394; 0.002647; 0.000138; 3.7e-05; false; 0.705175
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;37.63; 37.4564; 0.180531; 0.002967; 0.00012; 1.7e-05; false; 37.6832;0.49; 0.412176; 0.130963; 0.002979; 0.000136; 1.1e-05; false; 0.548282
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.72; 0.669157; 0.142336; 0.002811; 0.000134; 4.2e-05; false; 0.816602
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.63; 1.51041; 0.328286; 0.002864; 0.000196; 2e-05; false; 1.84402
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.26; 1.07284; 0.323698; 0.002627; 0.00013; 4.2e-05; false; 1.40118
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;29.42; 27.0512; 5.63195; 0.034461; 0.000257; 0.000107; false; 32.7244
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.01; 0.010161; 0.008421; 0.000424; 6.2e-05; 1.7e-05; false; 0.021049
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.04; 0.031509; 0.013197; 0.001076; 6.7e-05; 3.8e-05; false; 0.04899;0.04; 0.035914; 0.014253; 0.001129; 6.5e-05; 1.2e-05; false; 0.053615
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.077244; 0.02051; 0.001102; 6.6e-05; 3.4e-05; false; 0.100909
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;1.04; 0.977578; 0.070914; 1.9e-05; 6e-06; 2e-06; false; 1.0652;0.31; 0.277098; 0.060435; 0.002728; 0.000286; 8.5e-05; false; 0.344753
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.17; 0.152628; 0.037439; 0.001801; 0.00024; 7.5e-05; false; 0.195968
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.204246; 0.051425; 0.00233; 0.00035; 8.5e-05; false; 0.262543
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.198371; 0.045554; 0.002164; 0.000262; 7.9e-05; false; 0.250081
