name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 0.000124; 2.9e-05; 4e-06; 1e-06; false; 0.000261;0.0; 6.6e-05; 1.8e-05; 3e-06; 1e-06; false; 0.000182
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 0.000113; 2.7e-05; 3e-06; 1e-06; false; 0.000241;0.0; 5.3e-05; 1.7e-05; 4e-06; 1e-06; false; 0.000142
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 6.5e-05; 1.5e-05; 4e-06; 1e-06; false; 0.000195;0.0; 0.000105; 2.3e-05; 5e-06; 2e-06; false; 0.000218
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 0.000126; 1.5e-05; 4e-06; 1e-06; false; 0.000228;0.0; 4.3e-05; 2.9e-05; 5e-06; 8e-06; false; 0.000172
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 0.000139; 2.2e-05; 5e-06; 2e-06; false; 0.000275;0.0; 8.1e-05; 2.4e-05; 5e-06; 2e-06; false; 0.000213
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 0.000116; 2.6e-05; 6e-06; 1e-06; false; 0.000262;0.0; 7.1e-05; 2.1e-05; 4e-06; 2e-06; false; 0.00019
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 0.00014; 1.7e-05; 4e-06; 1e-06; false; 0.000269;0.0; 8.3e-05; 3.2e-05; 3e-06; 1e-06; false; 0.000217
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 6.5e-05; 1.8e-05; 5e-06; 2e-06; false; 0.000196;0.0; 0.000111; 1.9e-05; 3e-06; 2e-06; false; 0.000215
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 0.000122; 1.7e-05; 4e-06; 1e-06; false; 0.000242;0.0; 7.6e-05; 2.2e-05; 7e-06; 3e-06; false; 0.00023
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 8.9e-05; 1.7e-05; 4e-06; 1e-06; false; 0.000199;0.0; 6.4e-05; 2.9e-05; 4e-06; 1e-06; false; 0.000193
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.0; 9.5e-05; 1.6e-05; 3e-06; 2e-06; false; 0.000208;0.0; 0.000123; 3.5e-05; 4e-06; 1e-06; false; 0.000311
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.0; 0.000132; 2.4e-05; 6e-06; 1e-06; false; 0.000269;0.0; 7e-05; 1.5e-05; 3e-06; 1e-06; false; 0.000169
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.0; 0.000108; 2.6e-05; 4e-06; 2e-06; false; 0.000234;0.0; 4.3e-05; 1.3e-05; 3e-06; 1e-06; false; 0.000122
