name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.1; 0.042353; 0.057986; 0.000254; 0.00012; false; 0.108159;0.11; 0.057037; 0.054713; 0.000217; 0.000101; false; 0.119315
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.01; 0.003592; 0.002967; 0.000321; 0.000165; false; 0.008962;0.0; 0.004514; 0.002565; 0.000228; 0.000146; false; 0.009391
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.01; 0.006685; 0.001434; 0.00011; 2.6e-05; false; 0.010201;0.0; 0.004807; 0.000575; 5e-05; 3.3e-05; false; 0.006439
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.01; 0.011492; 0.002287; 0.000177; 4.9e-05; false; 0.017038;0.01; 0.015895; 0.000978; 0.000109; 2.9e-05; false; 0.018714
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.0; 0.005432; 0.000736; 5.6e-05; 2.3e-05; false; 0.007591;0.01; 0.014719; 0.001121; 0.000108; 3.7e-05; false; 0.018621
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.0; 0.005644; 0.000831; 0.00011; 2.8e-05; false; 0.008093;0.01; 0.014836; 0.001069; 0.000113; 3.8e-05; false; 0.018609
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.04; 0.023912; 0.009321; 0.000487; 9.3e-05; false; 0.04251;0.05; 0.052324; 0.004116; 0.000277; 5.1e-05; false; 0.061867
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.0; 0.000756; 0.000612; 8.1e-05; 3.8e-05; false; 0.002165;0.0; 0.000843; 0.0006; 7.2e-05; 4.4e-05; false; 0.002221
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.02; 0.015547; 0.00199; 0.00024; 0.000256; false; 0.021768;0.02; 0.023022; 0.00324; 0.000343; 0.000211; false; 0.030974
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;21.06; 19.7408; 0.543506; 0.000452; 0.000124; false; 21.44;13.1; 13.2176; 0.609474; 0.000788; 0.000291; false; 14.6207
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06499.mata;0.21; 0.021935; 0.182495; 0.001781; 0.000173; false; 0.213631;0.2; 0.029253; 0.173821; 0.002395; 0.00026; false; 0.213246
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06516.mata;0.01; 0.009877; 0.000543; 5.3e-05; 3.3e-05; false; 0.012486;0.02; 0.025982; 0.001115; 8.2e-05; 4.6e-05; false; 0.030678
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06570.mata;0.0; 0.000493; 0.000572; 7e-05; 1.4e-05; false; 0.001809;0.0; 0.000541; 0.00059; 7e-05; 1.5e-05; false; 0.001763
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06590.mata;0.03; 0.019089; 0.007906; 0.000422; 5.1e-05; false; 0.03264;0.06; 0.05137; 0.013185; 0.000736; 7.9e-05; false; 0.074046
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06599.mata;0.07; 0.056921; 0.003804; 0.000152; 9.7e-05; false; 0.071865;0.09; 0.090154; 0.003667; 0.000173; 0.000111; false; 0.10516
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06612.mata;0.05; 0.040283; 0.004086; 9.7e-05; 0.000166; false; 0.053349;0.07; 0.064448; 0.003516; 0.000241; 0.000249; false; 0.077791
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06622.mata;0.11; 0.087024; 0.009951; 0.000549; 0.000356; false; 0.112037;0.13; 0.121056; 0.007363; 0.000413; 0.00027; false; 0.147858
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06647.mata;0.47; 0.436031; 0.005297; 0.000132; 8.2e-05; false; 0.488552;0.43; 0.447686; 0.00531; 0.000116; 7.2e-05; false; 0.492727
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06650.mata;0.02; 0.011591; 0.009327; 0.000479; 6.5e-05; false; 0.025107;0.02; 0.015573; 0.008071; 0.000367; 5.4e-05; false; 0.02721
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06665.mata;0.01; 0.011186; 0.001404; 0.000138; 4.7e-05; false; 0.015382;0.02; 0.01783; 0.001126; 9.8e-05; 3.8e-05; false; 0.02164
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06671.mata;0.01; 0.007456; 0.001225; 0.000135; 3.9e-05; false; 0.010907;0.01; 0.009646; 0.000987; 8.7e-05; 2.8e-05; false; 0.012588
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06704.mata;0.01; 0.006273; 0.007399; 0.000248; 0.000166; false; 0.016726;0.01; 0.00722; 0.007219; 0.000448; 0.000295; false; 0.018776
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06722.mata;0.05; 0.041883; 0.00435; 0.000175; 0.000151; false; 0.055564;0.05; 0.039956; 0.003619; 0.000271; 0.00028; false; 0.053138
