                                                                         Average / Median / Average with Timeouts                                                                         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado           (py)alib        (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  --------------  -------------
compl  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.1, 0.1, 6.3  0.0, 0.0, 7.0  0.1, 0.0, 7.1  0.0, 0.0, 7.8  0.0, 0.0, 58.0  0.0, 0.0, 7.5
deter  -              -              -              -              -              -              -              -              -              0.0, 0.0, 7.8  0.3, 0.0, 52.3  -
empti  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.0, 0.0, 0.0  0.0, 0.0, 0.9  0.0, 0.0, 1.4  0.0, 0.0, 1.7  0.3, 0.0, 52.3  0.0, 0.0, 1.2
fair-  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.2, 0.2, 0.2  0.2, 0.2, 1.1  0.4, 0.1, 1.8  0.1, 0.1, 1.9  0.4, 0.0, 52.3  0.0, 0.0, 1.2
inter  -              -              -              -              -              -              0.1, 0.1, 0.1  0.1, 0.1, 1.0  0.3, 0.1, 1.7  0.1, 0.1, 1.9  0.4, 0.0, 52.3  0.0, 0.0, 1.2
inter  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.6  0.0, 0.0, 1.2  0.0, 0.0, 0.9  0.0, 0.0, 1.9  0.1, 0.0, 2.1  0.1, 0.0, 2.7  0.0, 0.0, 52.9  0.0, 0.0, 2.2
minte  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  -              -              -              -              -               -
overa  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.2, 0.2, 0.2  0.2, 0.2, 1.1  0.5, 0.2, 1.9  0.2, 0.1, 1.9  0.4, 0.0, 52.3  0.0, 0.0, 1.3
parsi  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.1, 0.0, 0.1  0.0, 0.0, 1.0  0.1, 0.1, 1.5  0.0, 0.0, 1.7  0.0, 0.0, 52.2  0.0, 0.0, 1.3
reduc  -              -              0.0, 0.0, 1.1  -              -              -              -              -              -              -              -               -
runti  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.5, 0.5, 1.1  0.0, 0.0, 0.3  0.2, 0.2, 0.2  1.1, 1.1, 2.0  1.4, 1.1, 2.8  1.3, 1.2, 2.9  1.4, 1.1, 52.4  1.1, 1.1, 2.3
trans  -              -              -              0.0, 0.0, 0.3  -              0.0, 0.0, 0.3  -              -              -              0.0, 0.0, 1.7  0.0, 0.0, 52.2  0.0, 0.0, 1.2
trim   0.0, 0.0, 1.1  0.0, 0.0, 1.1  0.0, 0.0, 1.1  0.0, 0.0, 1.1  -              0.0, 0.0, 1.1  0.0, 0.0, 0.0  -              -              0.0, 0.0, 2.5  -               0.0, 0.0, 2.0
union  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.5  0.0, 0.0, 8.1  0.0, 0.0, 8.1  0.0, 0.0, 9.2  0.0, 0.0, 59.2  0.0, 0.0, 8.7
