name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions;automata-runtime;automata-construction;automata-trim;automata-compl;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-uni;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-uni;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-intersection;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-sim-uni;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-intersection;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-old-uni;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;vata-overall;vata-uni;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;awali-overall;awali-uni;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;mona-uni;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-intersection;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pymata-union;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyfado-union;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-intersection;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;pyautomata-lib-union;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-intersection;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-automatalib-uni;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;java-brics-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.5; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.71; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.15;0.0608577;0.017617999999999998; 0.0590547000; 0.0313041000; 0.0003334000; False; 0.1109154000; 0.2214468000;MISSING;0.0; 0.000527; 0.004304; 4e-05;7.000000000000001e-06; 6e-06; 1e-06; false; 0.005515;MISSING;0.0; 0.00243; 0.004731;0.00011899999999999999; 4.2e-05;8.000000000000001e-06; 7e-06; 2e-06; false; 0.008407;MISSING;0.0; 0.00097; 0.005967; 3.2e-05;3.1e-05; 1.1e-05; 4e-06; false; 0.008089;MISSING;0.0; 0.001017; 0.006038;0.000252; 0.000105;2.2e-05; 2.3e-05; 1e-05; false; 0.008463;MISSING;0.01; 0.001094; 0.005794;2.6000000000000002e-05; 0.000782;0.000576; 0.000608; 4.2e-05; false; 0.01118;MISSING;0.5; 0.001262; 0.00576; 9e-06; 2.2e-05; 1e-05; false; 0.008879;MISSING;1.04; 0.0075; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0079;MISSING;1.24; 0.0084; 0.0002;0.00030000000000000003; 0.0002;0.0; 0.0002; 0.0000; False; 0.0007; 0.0094;MISSING;0.88; 0.0056; 0.0002;0.00030000000000000003; 0.0003; 0.0002; 0.0000; False; 0.0006; 0.0066;MISSING;1.05;0.118024988; 0.013774094; 0.016985248; 0.002160323; false; 0.039955862; 0.260347999;MISSING;0.95;0.016834309000000002; 0.003031963; 9.33499E-4; 1.8728E-5; false; 0.01166194; 0.146465604;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.32; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.78; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.11;0.0817024;0.0058292; 0.0052924000; 0.0087972000; 0.0001484000; True; 0.0219325000; 0.1431221000;MISSING;0.0; 0.000983; 0.005486; 2.4e-05;1.6e-05; 1e-06; 1e-06; true; 0.007383;MISSING;0.0; 0.00093; 0.005458;7.8e-05; 1.6e-05;6e-06; 1e-06; 1e-06; true; 0.007428;MISSING;0.0; 0.000955; 0.005485; 2.2e-05;7e-06; 1e-06; 1e-06; true; 0.007394;MISSING;0.0; 0.001028; 0.006067;0.000143; 4.6e-05;4e-06; 6e-06; 1e-06; true; 0.008273;MISSING;0.0; 0.000892; 0.005588;3.1e-05; 0.00076;0.000615; 0.000674; 3.8e-05; true; 0.010724;MISSING;0.51; 0.000713; 0.004442; 8e-06; 1.7e-05; 3e-06; true; 0.00638;MISSING;1.25; 0.0082; 0.0000; 0.0001;0.0; 0.0000; 0.0000; True; 0.0002; 0.0086;MISSING;1.19; 0.0072; 0.0001;0.0002; 0.0001;0.0; 0.0001; 0.0000; True; 0.0004; 0.0078;MISSING;1.11; 0.0079; 0.0003;0.0005; 0.0004; 0.0004; 0.0001; True; 0.0008; 0.0093;MISSING;0.96;0.062135506; 0.031777757; 0.036388233; 0.001695197; true; 0.076657959; 0.20525892;MISSING;0.99;0.008147361; 0.010622218; 8.80906E-4; 3.3839E-5; true; 0.022834572; 0.145535775;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.36; 1; 2; 3; 2; 4; 8; 2; 4; 6;0.61; 1; 2; 3; 2; 4; 8; 2; 4; 6;0.1;0.0295812;0.0061015; 0.0267941000; 0.0079220000; 0.0001376000; False; 0.0430412000; 0.0997192000;MISSING;0.0; 0.000601; 0.005532; 2.9e-05;9e-06; 9e-06; 2e-06; false; 0.00711;MISSING;0.0; 0.001073; 0.005413;7.3e-05; 1.5e-05;6e-06; 8e-06; 2e-06; false; 0.007389;MISSING;0.0; 0.000623; 0.00573; 3.1e-05;9e-06; 1e-05; 2e-06; false; 0.00728;MISSING;0.0; 0.00035; 0.004111;7.8e-05; 3.1e-05;1e-05; 1e-05; 4e-06; false; 0.005276;MISSING;0.0; 0.000626; 0.005538;1.9999999999999998e-05; 0.000696;0.000539; 0.000539; 3.6e-05; false; 0.009817;MISSING;0.48; 0.001053; 0.005984; 1.1e-05; 2.7e-05; 1e-05; false; 0.008885;MISSING;1.23; 0.0071; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0076;MISSING;1.18; 0.0056; 0.0001;0.0002; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0064;MISSING;1.17; 0.0080; 0.0003;0.00039999999999999996; 0.0005; 0.0003; 0.0000; False; 0.0008; 0.0094;MISSING;0.93;0.063425597; 0.018841425; 0.018481176; 0.002181018; false; 0.04656073; 0.195716897;MISSING;0.78;0.016524887; 0.004141182; 0.001032039; 1.9939E-5; false; 0.01479395; 0.115340582;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.48; 1; 1; 2; 2; 3; 6; 2; 3; 4;0.73; 1; 1; 2; 2; 3; 6; 2; 3; 4;0.11;0.0466362;0.009387600000000001;MISSING; 0.0134996000; 0.0001856000; False; 0.0255244000; 0.1079102000;MISSING;0.0; 0.000377; 0.00551;MISSING; 6e-06; 1.1e-05; 2e-06; false; 0.007015;MISSING;0.0; 0.000391; 0.005355; 5.1e-05;MISSING; 4e-06; 6e-06; 1e-06; false; 0.006761;MISSING;0.0; 0.000372; 0.0053;MISSING; 5e-06; 9e-06; 2e-06; false; 0.006536;MISSING;0.0; 0.000365; 0.00563;8.6e-05;MISSING; 1e-05; 1.2e-05; 4e-06; false; 0.007059;MISSING;0.0; 0.00038; 0.005;1.3000000000000001e-05;MISSING; 0.00044; 0.00043; 3.2e-05; false; 0.007687;MISSING;0.5; 0.000808; 0.005728;MISSING; 2.4e-05; 1e-05; false; 0.008098;MISSING;1.0; 0.0070; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0074;MISSING;1.05; 0.0066; 0.0001;MISSING;MISSING; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0071;MISSING;1.1; 0.0066; 0.0003; 0.0003;MISSING; 0.0001; 0.0003; False; 0.0005; 0.0075;MISSING;1.07;0.06852567500000001;MISSING; 0.020885418; 0.00230459; false; 0.030985066; 0.173650446;MISSING;0.97;0.007480195;MISSING; 0.001913889; 1.6435E-5; false; 0.009509393; 0.088326546;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.43; 1; 2; 2; 2; 5; 7; 2; 7; 16;0.72; 1; 2; 2; 2; 5; 7; 2; 7; 16;0.11;0.0421293;0.0053771;MISSING; 0.0111827000; 0.0001685000; False; 0.0185074000; 0.1328081000;MISSING;0.0; 0.001179; 0.006017;MISSING; 7e-06; 1.3e-05; 3e-06; false; 0.008204;MISSING;0.0; 0.001249; 0.006077; 8.7e-05;MISSING; 6e-06; 9e-06; 3e-06; false; 0.008373;MISSING;0.0; 0.001186; 0.005745;MISSING; 3e-05; 1.4e-05; 3e-06; false; 0.00802;MISSING;0.0; 0.001179; 0.005511;0.000153;MISSING; 2.1e-05; 3.2e-05; 1.2e-05; false; 0.008109;MISSING;0.0; 0.000986; 0.0052;2.5e-05;MISSING; 0.00051; 0.000567; 4.2e-05; false; 0.008924;MISSING;0.49; 0.001591; 0.006181;MISSING; 3.7e-05; 1.4e-05; false; 0.009894;MISSING;1.12; 0.0083; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0086;MISSING;1.15; 0.0089; 0.0002;MISSING;MISSING; 0.0001; 0.0002; 0.0000; False; 0.0004; 0.0097;MISSING;0.95; 0.0062; 0.0003; 0.0003;MISSING; 0.0001; 0.0003; False; 0.0005; 0.0071;MISSING;0.83;0.051524674;MISSING; 0.013967916; 0.002248959; false; 0.022884149; 0.129758041;MISSING;0.97;0.008631869;MISSING; 0.001886949; 2.0246E-5; false; 0.008918013; 0.084275244;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.51; 0; 1; 2; 0; 3; 7; 0; 2; 5;0.66; 0; 1; 2; 0; 3; 7; 0; 2; 5;0.09;0.0296832;0.0057829;MISSING;0.010014299999999999; 0.0001781000; False; 0.0179406000; 0.0917492000;MISSING;0.0; 0.000457; 0.00607;MISSING;4.9999999999999996e-06;1.2e-05; 2e-06; false; 0.007542;MISSING;0.0; 0.000437; 0.006237;9.2e-05;MISSING;7.000000000000001e-06;8e-06; 2e-06; false; 0.00794;MISSING;0.0; 0.000404; 0.00525;MISSING;4.9999999999999996e-06;1.1e-05; 1e-06; false; 0.006537;MISSING;0.0; 0.000403; 0.005433;0.000111;MISSING;9e-06;1.2e-05; 2e-06; false; 0.006866;MISSING;0.0; 0.00035; 0.005713;2.8e-05;MISSING;0.0005290000000000001;0.0006320000000000001; 2.8e-05; false; 0.009078;MISSING;0.48; 0.000503; 0.004159;MISSING;1.7e-05; 2e-06; true; 0.005702;MISSING;0.98; 0.0048; 0.0000;MISSING; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0050;MISSING;1.2; 0.0067; 0.0001;MISSING;MISSING; 0.0000; 0.0002; 0.0000; False; 0.0002; 0.0072;MISSING;1.14; 0.0072; 0.0003; 0.0002;MISSING; 0.0001; 0.0003; False; 0.0004; 0.0081;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.5; 0; 1; 3; 0; 3; 10; 0; 3; 7;0.84; 0; 1; 3; 0; 3; 10; 0; 3; 7;0.14;0.03936189999999999;0.005648200000000001; 0.0248816000;0.013486099999999999; 0.0002130000; False; 0.0459704000; 0.1373772000;MISSING;0.0; 0.00061; 0.005905; 2.8e-05;1.1999999999999999e-05;9.999999999999999e-06; 1e-06; false; 0.00765;MISSING;0.0; 0.000712; 0.00552;0.000137; 2e-05;1.1e-05;1.4999999999999999e-05; 2e-06; false; 0.007434;MISSING;0.0; 0.000657; 0.006013; 2.5e-05;1.1e-05;9e-06; 1e-06; false; 0.007813;MISSING;0.0; 0.000384; 0.004146;8.900000000000001e-05; 3.3e-05;8e-06;7e-06; 1e-06; false; 0.00534;MISSING;0.0; 0.000602; 0.005431;2.3000000000000003e-05; 0.000582;0.0005069999999999999;0.000509; 2.1e-05; false; 0.009373;MISSING;0.48; 0.001145; 0.006398; 1e-05;2.9e-05; 4e-06; true; 0.009432;MISSING;1.09; 0.0054; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0057;MISSING;1.01; 0.0072; 0.0001;0.0002; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0080;MISSING;1.14; 0.0053; 0.0003;0.0005; 0.0003; 0.0004; 0.0000; False; 0.0007; 0.0064;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.57; 1; 2; 2; 2; 4; 7; 2; 6; 16;0.79; 1; 2; 2; 2; 4; 7; 2; 6; 16;0.13;0.0467015;0.007524900000000001;MISSING;0.010556000000000001; 0.0001179000; True; 0.0200599000; 0.1072529000;MISSING;0.0; 0.000692; 0.004195;MISSING;4.9999999999999996e-06;8e-06; 1e-06; true; 0.005582;MISSING;0.0; 0.000718; 0.004158;7.3e-05;MISSING;4e-06;6e-06; 1e-06; true; 0.005649;MISSING;0.0; 0.000731; 0.003992;MISSING;4.9999999999999996e-06;8e-06; 1e-06; true; 0.005398;MISSING;0.0; 0.000712; 0.004073;0.00010899999999999999;MISSING;7e-06;1.1000000000000001e-05; 1e-06; true; 0.00562;MISSING;0.0; 0.000721; 0.00424;2.3e-05;MISSING;0.000327;0.000397; 1.8e-05; true; 0.007035;MISSING;0.51; 0.001668; 0.006038;MISSING;3.9e-05; 5e-06; true; 0.009903;MISSING;1.03; 0.0058; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; True; 0.0001; 0.0061;MISSING;1.07; 0.0086; 0.0002;MISSING;MISSING; 0.0001; 0.0004; 0.0000; True; 0.0005; 0.0095;MISSING;0.95; 0.0057; 0.0003; 0.0002;MISSING; 0.0001; 0.0002; True; 0.0003; 0.0064;MISSING;1.07;0.063407819;MISSING;0.022397465; 0.00249093; true; 0.035082884; 0.183500827;MISSING;0.97;0.009484605;MISSING;0.002144112; 2.194E-5; true; 0.010115039; 0.154693197;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.54; 3; 5; 9; 10; 14; 30; 16; 16; 18;0.67; 3; 5; 9; 10; 14; 30; 16; 16; 18;0.22;0.0411926;0.0090166;0.1462611;0.014351599999999999; 0.0002189000; False; 0.1957122000; 0.2775739000;0.0228826;0.0; 0.002074; 0.007597;0.001363;0.00023600000000000002;0.000353; 1.7e-05; false; 0.014096;5.4999999999999995e-05;0.0; 0.001736; 0.006189;0.001246;0.00019;9.600000000000002e-05;7.7e-05; 6e-06; false; 0.010714;1.7e-05;0.0; 0.000985; 0.006328;0.001081;0.00025600000000000004;0.000295; 1.4e-05; false; 0.010698;4.3e-05;0.0; 0.000948; 0.004307;0.000358;0.002143;0.001582;0.000533; 0.000415; false; 0.011428;0.000257;0.01; 0.001443; 0.00608;9.4e-05;0.0025340000000000002;0.002384;0.001425; 0.000414; false; 0.01726;0.00031;0.47; 0.000962; 0.004255;9e-06;2.4e-05; 3e-06; true; 0.006565;6e-06;1.1; 0.0097; 0.0000;0.0015999999999999999;0.0001;0.001; 0.0000; False; 0.0033; 0.0136;0.00030000000000000003;1.34; 0.0096; 0.0005;0.0216;0.0026999999999999997;0.0035;0.057; 0.0006; False; 0.1472; 0.1576;0.08310000000000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08;0.07428861699999999;0.014251635;0.024555328; 0.002146725; false; 0.049841274; 0.187263955;0.001628759;1.16;0.03527019;0.046095040000000004;0.019235905; 4.0114E-5; false; 0.07679597; 0.22047344;0.001019976
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.37; 2; 4; 9; 10; 14; 30; 16; 17; 18;0.75; 2; 4; 9; 10; 14; 30; 16; 17; 18;0.21;0.0297409;0.0058937999999999985;0.1041242;0.011798999999999999; 0.0002894000; False; 0.1315352000; 0.1967893000;0.005624;0.0; 0.001748; 0.006683;0.001235;0.00022400000000000005;0.00024900000000000004; 1e-05; false; 0.012113;3.2e-05;0.01; 0.001617; 0.00576;0.0018089999999999998;0.00031800000000000003;0.000133;0.00012200000000000001; 9e-06; false; 0.011204;2.7e-05;0.0; 0.001694; 0.005949;0.001109;0.00023700000000000001;0.000219; 9e-06; false; 0.011046;3e-05;0.01; 0.00174; 0.006067;0.000577;0.003491;0.001732;0.00068; 0.000137; false; 0.016389;0.000428;0.01; 0.001812; 0.005596;8.1e-05;0.0022040000000000002;0.001886;0.001133; 0.000185; false; 0.015255;0.000276;0.46; 0.000928; 0.004185;6.999999999999999e-06;2.2e-05; 4e-06; true; 0.006364;4e-06;1.23; 0.0105; 0.0000;0.0016;0.0;0.0006000000000000001; 0.0000; False; 0.0031; 0.0141;0.00030000000000000003;1.16; 0.0077; 0.0005;0.0174;0.0023;0.0024999999999999996;0.035500000000000004; 0.0001; False; 0.0808; 0.0892;0.039999999999999994;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.26;0.131064686;0.030271217;0.03538692499999999; 0.00237646; false; 0.08313604; 0.325808901;0.0020892940000000002;1.14;0.01908322;0.031679797999999995;0.009407232; 2.6478E-5; false; 0.055681173; 0.163586493;0.0015270239999999999
