                                                                          Average / Median / Average with Timeouts                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado            (py)alib        (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  --------------  --------------  --------------
compl  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.0, 0.0, 6.5  0.1, 0.1, 6.3  0.0, 0.0, 7.0  0.1, 0.0, 7.1  0.0, 0.0, 50.2  0.0, 0.0, 58.9  0.0, 0.0, 50.2
deter  -              -              -              -              -              -              -              -              -              0.0, 0.0, 50.2  0.5, 0.0, 54.9  -
empti  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.0, 0.0, 0.0  0.0, 0.0, 0.9  0.0, 0.0, 1.4  0.0, 0.0, 45.7  0.5, 0.0, 54.9  0.0, 0.0, 45.5
fair-  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.2, 0.2, 0.2  0.2, 0.2, 1.1  0.4, 0.2, 1.8  0.3, 0.0, 45.8  0.5, 0.0, 54.9  0.0, 0.0, 45.5
inter  -              -              -              -              -              -              0.1, 0.1, 0.1  0.1, 0.1, 1.0  0.3, 0.1, 1.7  0.3, 0.0, 45.8  0.5, 0.0, 54.9  0.0, 0.0, 45.5
inter  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.6  0.0, 0.0, 1.2  0.0, 0.0, 0.9  0.0, 0.0, 1.9  0.1, 0.0, 2.1  0.2, 0.0, 46.7  0.0, 0.0, 55.5  0.0, 0.0, 46.5
minte  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  -              -              -              -               -               -
overa  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.2, 0.2, 0.2  0.2, 0.2, 1.1  0.5, 0.3, 1.9  0.3, 0.0, 45.8  0.5, 0.0, 54.9  0.0, 0.0, 45.5
parsi  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.6  0.0, 0.0, 0.3  0.1, 0.0, 0.1  0.0, 0.0, 1.0  0.1, 0.1, 1.5  0.0, 0.0, 45.7  0.0, 0.0, 54.9  0.0, 0.0, 45.5
reduc  -              -              0.0, 0.0, 1.1  -              -              -              -              -              -              -               -               -
runti  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.7, 0.6, 1.3  0.0, 0.0, 0.3  0.2, 0.2, 0.2  1.1, 1.1, 2.0  1.4, 1.1, 2.8  1.3, 1.1, 46.0  1.5, 1.1, 55.0  1.1, 1.1, 45.8
trans  -              -              -              0.0, 0.0, 0.3  -              0.0, 0.0, 0.3  -              -              -              0.0, 0.0, 45.7  0.0, 0.0, 54.9  0.0, 0.0, 45.5
trim   0.0, 0.0, 1.1  0.0, 0.0, 1.1  0.0, 0.0, 1.1  0.0, 0.0, 1.1  -              0.0, 0.0, 1.1  0.0, 0.0, 0.0  -              -              0.0, 0.0, 46.5  -               0.0, 0.0, 46.3
union  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.8  0.0, 0.0, 7.5  0.0, 0.0, 8.1  0.0, 0.0, 8.1  0.0, 0.0, 51.6  0.0, 0.0, 59.8  0.0, 0.0, 51.5
