                                                               1st Quartile / Median / 3rd Quartile per operation                                                               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado        (py)alib    (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  ----------  ----------  ----------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  60, 60, 60  60, 60, 60
deter  -              -              -              -              -              -              -              -              -              60, 60, 60  60, 60, 60  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  60, 60, 60  60, 60, 60
fair-  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.2, 0.2  0.1, 0.2, 0.2  0.1, 0.2, 0.2  60, 60, 60  60, 60, 60  60, 60, 60
inter  -              -              -              -              -              -              0.1, 0.1, 0.2  0.0, 0.1, 0.1  0.1, 0.1, 0.1  60, 60, 60  60, 60, 60  60, 60, 60
inter  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  60, 60, 60  60, 60, 60
minte  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -           -           -
overa  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.2, 0.2, 0.3  0.2, 0.2, 0.2  0.2, 0.3, 0.3  60, 60, 60  60, 60, 60  60, 60, 60
parsi  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.1, 0.1, 0.1  60, 60, 60  60, 60, 60  60, 60, 60
reduc  -              -              0.0, 0.0, 0.0  -              -              -              -              -              -              -           -           -
runti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.6, 0.6, 0.7  0.0, 0.0, 0.0  0.2, 0.2, 0.2  1.0, 1.1, 1.1  1.1, 1.1, 1.2  60, 60, 60  60, 60, 60  60, 60, 60
trans  -              -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  -              -              -              60, 60, 60  60, 60, 60  60, 60, 60
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              60, 60, 60  -           60, 60, 60
union  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  60, 60, 60  60, 60, 60
