name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions;automata-runtime;automata-construction;automata-trim;automata-compl;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-uni;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-uni;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-intersection;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-sim-uni;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-intersection;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-old-uni;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;vata-overall;vata-uni;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;awali-overall;awali-uni;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;mona-uni;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-intersection;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pymata-union;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyfado-union;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-intersection;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;pyautomata-lib-union;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-intersection;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-automatalib-uni;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;java-brics-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.5; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.73; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.12;0.0299864;0.009196800000000002; 0.0713693000; 0.0075008000; 0.0001234000; False; 0.0947827000; 0.1559953000;MISSING;0.0; 0.000579; 0.00563; 3.2e-05;1.1e-05; 1.1e-05; 2e-06; false; 0.007308;MISSING;0.0; 0.000702; 0.004435;0.000126; 2.2e-05;9e-06; 9e-06; 2e-06; false; 0.006321;MISSING;0.0; 0.000585; 0.005773; 3.7e-05;1.1e-05; 1.1e-05; 4e-06; false; 0.007294;MISSING;0.0; 0.001003; 0.004885;8.5e-05; 4.7e-05;1.3000000000000001e-05; 1.7e-05; 6e-06; false; 0.00661;MISSING;0.01; 0.001014; 0.005424;3e-05; 0.000793;0.000594; 0.000613; 4.4e-05; false; 0.010411;MISSING;0.49; 0.00076; 0.004702; 6e-06; 2.2e-05; 8e-06; false; 0.006775;MISSING;0.94; 0.0074; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0078;MISSING;1.14; 0.0056; 0.0001;0.0001; 0.0002;0.0; 0.0001; 0.0000; False; 0.0004; 0.0063;MISSING;0.97; 0.0077; 0.0004;0.00039999999999999996; 0.0004; 0.0003; 0.0001; False; 0.0009; 0.0091;MISSING;1.14;0.062053663; 0.010569696; 0.011671832; 0.001350471; false; 0.028165559; 0.186467256;MISSING;0.77;0.007772653; 0.001955041; 7.14841E-4; 1.1169E-5; false; 0.007601027; 0.08689247;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.54; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.69; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.11;0.0349839;0.0081253; 0.0054407000; 0.0104962000; 0.0001554000; True; 0.0267690000; 0.0961413000;MISSING;0.0; 0.0011; 0.005374; 2.6e-05;7e-06; 1e-06; 1e-06; true; 0.007387;MISSING;0.0; 0.000924; 0.005416;7.400000000000001e-05; 1.7e-05;4.9999999999999996e-06; 1e-06; 1e-06; true; 0.007303;MISSING;0.0; 0.000983; 0.005592; 2.5e-05;8e-06; 2e-06; 1e-06; true; 0.007674;MISSING;0.0; 0.000949; 0.005393;0.000138; 5.6e-05;3e-06; 6e-06; 1e-06; true; 0.007539;MISSING;0.01; 0.00097; 0.005347;2.4e-05; 0.000698;0.000519; 0.000536; 3.1e-05; true; 0.009859;MISSING;0.63; 0.001369; 0.006008; 1.4e-05; 2e-05; 4e-06; true; 0.009367;MISSING;1.04; 0.0051; 0.0000; 0.0001;0.0; 0.0000; 0.0000; True; 0.0001; 0.0053;MISSING;1.12; 0.0085; 0.0002;0.0002; 0.0002;0.0; 0.0002; 0.0000; True; 0.0005; 0.0094;MISSING;0.97; 0.0053; 0.0002;0.00030000000000000003; 0.0002; 0.0002; 0.0000; True; 0.0005; 0.0063;MISSING;1.07;0.071970615; 0.011591258; 0.027905714; 0.004280719; true; 0.058211252; 0.228065015;MISSING;0.94;0.010086028; 0.002219181; 8.62326E-4; 1.8799E-5; true; 0.010579504; 0.103582844;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.49; 1; 2; 3; 2; 4; 8; 2; 4; 6;0.71; 1; 2; 3; 2; 4; 8; 2; 4; 6;0.17;0.048985900000000006;0.0094567; 0.0413629000; 0.0102706000; 0.0001996000; False; 0.0639602000; 0.1585993000;MISSING;0.0; 0.000589; 0.004433; 2.3e-05;7.000000000000001e-06; 1.8e-05; 2e-06; false; 0.005792;MISSING;0.0; 0.000363; 0.004883;0.000103; 2.1e-05;9e-06; 9e-06; 3e-06; false; 0.006582;MISSING;0.0; 0.000643; 0.004753; 2.3e-05;9.999999999999999e-06; 1e-05; 2e-06; false; 0.006122;MISSING;0.0; 0.000619; 0.004425;7.9e-05; 3.6e-05;1.8e-05; 1.4e-05; 7e-06; false; 0.005871;MISSING;0.0; 0.000647; 0.00464;1.8e-05; 0.000515;0.000382; 0.000533; 2.6e-05; false; 0.008579;MISSING;0.55; 0.001029; 0.005754; 9e-06; 2.3e-05; 1e-05; false; 0.008496;MISSING;0.98; 0.0050; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0053;MISSING;1.2; 0.0073; 0.0001;0.0002; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0081;MISSING;1.17; 0.0077; 0.0003;0.0005; 0.0005; 0.0003; 0.0001; False; 0.0009; 0.0092;MISSING;1.07;0.053909825; 0.015702042; 0.018041321; 0.001994801; false; 0.041499875; 0.166793197;MISSING;0.74;0.007322093; 0.002038194; 6.35736E-4; 1.2049E-5; false; 0.008858737; 0.082457169;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.5; 1; 1; 2; 2; 3; 6; 2; 3; 4;0.73; 1; 1; 2; 2; 3; 6; 2; 3; 4;0.14;0.048081;0.0088093;MISSING; 0.0131143000; 0.0001645000; False; 0.0243959000; 0.1269669000;MISSING;0.0; 0.000533; 0.005819;MISSING; 5e-06; 1e-05; 2e-06; false; 0.007299;MISSING;0.0; 0.000405; 0.005839; 6e-05;MISSING; 4e-06; 8e-06; 1e-06; false; 0.007311;MISSING;0.0; 0.000375; 0.005338;MISSING; 5e-06; 1.1e-05; 2e-06; false; 0.006769;MISSING;0.0; 0.000227; 0.003805;6.6e-05;MISSING; 7e-06; 1e-05; 4e-06; false; 0.004717;MISSING;0.0; 0.000393; 0.005194;1.7e-05;MISSING; 0.000532; 0.000607; 3.4e-05; false; 0.008479;MISSING;0.48; 0.000485; 0.004154;MISSING; 1.6e-05; 7e-06; false; 0.00578;MISSING;1.14; 0.0067; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0069;MISSING;1.19; 0.0157; 0.0001;MISSING;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0162;MISSING;1.26; 0.0063; 0.0002; 0.0003;MISSING; 0.0001; 0.0003; False; 0.0005; 0.0072;MISSING;1.11;0.064054072;MISSING; 0.021882729; 0.002226072; false; 0.029902368; 0.161680987;MISSING;0.76;0.008133434;MISSING; 0.001792378; 1.6621E-5; false; 0.011667619; 0.089560077;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.35; 1; 2; 2; 2; 5; 7; 2; 7; 16;0.76; 1; 2; 2; 2; 5; 7; 2; 7; 16;0.09;0.0338071;0.0056503000000000005;MISSING; 0.0080816000; 0.0001303000; False; 0.0157003000; 0.0808839000;MISSING;0.0; 0.001199; 0.005354;MISSING; 8e-06; 1.4e-05; 3e-06; false; 0.007423;MISSING;0.0; 0.001113; 0.005544; 8.2e-05;MISSING; 5e-06; 8e-06; 2e-06; false; 0.007799;MISSING;0.0; 0.001122; 0.005425;MISSING; 1.9e-05; 2.2e-05; 3e-06; false; 0.007616;MISSING;0.0; 0.001049; 0.005306;0.000129;MISSING; 1.8e-05; 2.2e-05; 1.2e-05; false; 0.007433;MISSING;0.0; 0.001186; 0.005767;2.4e-05;MISSING; 0.0005; 0.000539; 4.2e-05; false; 0.009945;MISSING;0.68; 0.001717; 0.006083;MISSING; 4.3e-05; 1.6e-05; false; 0.010038;MISSING;1.04; 0.0055; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0057;MISSING;1.05; 0.0064; 0.0001;MISSING;MISSING; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0069;MISSING;0.97; 0.0079; 0.0004; 0.0004;MISSING; 0.0002; 0.0004; False; 0.0007; 0.0091;MISSING;0.94;0.06305485499999999;MISSING; 0.019479002; 0.002122733; false; 0.028534185; 0.160999061;MISSING;0.87;0.008994029;MISSING; 0.002307648; 2.0316E-5; false; 0.009196847; 0.089626176;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.51; 0; 1; 2; 0; 3; 7; 0; 2; 5;0.68; 0; 1; 2; 0; 3; 7; 0; 2; 5;0.13;0.0467472;0.009412899999999998;MISSING;0.013519699999999999; 0.0001800000; False; 0.0260118000; 0.1133843000;MISSING;0.0; 0.000342; 0.004455;MISSING;6e-06;1.1e-05; 1e-06; false; 0.005683;MISSING;0.0; 0.000449; 0.005764;7.2e-05;MISSING;7e-06;9e-06; 2e-06; false; 0.007337;MISSING;0.0; 0.000448; 0.005474;MISSING;7e-06;1.2e-05; 2e-06; false; 0.006891;MISSING;0.0; 0.000451; 0.005415;0.000106;MISSING;9.999999999999999e-06;1.9999999999999998e-05; 3e-06; false; 0.006974;MISSING;0.01; 0.000417; 0.005337;2.1e-05;MISSING;0.0005340000000000001;0.0006; 3.1e-05; false; 0.00872;MISSING;0.42; 0.000806; 0.005658;MISSING;2.9999999999999997e-05; 4e-06; true; 0.008065;MISSING;1.11; 0.0045; 0.0000;MISSING; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0047;MISSING;1.07; 0.0079; 0.0001;MISSING;MISSING; 0.0000; 0.0002; 0.0000; False; 0.0003; 0.0085;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.46; 0; 1; 3; 0; 3; 10; 0; 3; 7;0.66; 0; 1; 3; 0; 3; 10; 0; 3; 7;0.16;0.048645;0.0089181; 0.0421589000;0.0158964; 0.0002430000; False; 0.0700114000; 0.1721171000;MISSING;0.0; 0.000403; 0.004054; 2e-05;1e-05;8e-06; 1e-06; false; 0.005264;MISSING;0.0; 0.000419; 0.003993;0.0001; 1.7e-05;6.999999999999999e-06;8e-06; 1e-06; false; 0.005452;MISSING;0.0; 0.000384; 0.004156; 2.6e-05;1.3999999999999998e-05;1.3e-05; 2e-06; false; 0.005636;MISSING;0.0; 0.000662; 0.005448;0.000157; 5.4e-05;2.1e-05;1.6000000000000003e-05; 4e-06; false; 0.007559;MISSING;0.0; 0.000581; 0.005318;1.9999999999999998e-05; 0.000448;0.000364;0.000382; 1.9e-05; false; 0.00854;MISSING;0.52; 0.001171; 0.005961; 1e-05;3.2000000000000005e-05; 4e-06; true; 0.009015;MISSING;1.07; 0.0047; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0001; 0.0050;MISSING;1.08; 0.0074; 0.0002;0.00030000000000000003; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0083;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.53; 1; 2; 2; 2; 4; 7; 2; 6; 16;0.72; 1; 2; 2; 2; 4; 7; 2; 6; 16;0.13;0.0493461;0.009229900000000001;MISSING;0.013966600000000001; 0.0003257000; True; 0.0262125000; 0.1197146000;MISSING;0.0; 0.001318; 0.005772;MISSING;7e-06;1e-05; 1e-06; true; 0.008123;MISSING;0.0; 0.001303; 0.00542;0.000122;MISSING;7.000000000000001e-06;2e-05; 1e-06; true; 0.00798;MISSING;0.0; 0.001108; 0.005209;MISSING;6e-06;9e-06; 1e-06; true; 0.007172;MISSING;0.0; 0.001176; 0.005478;0.000146;MISSING;9e-06;1.4e-05; 1e-06; true; 0.007735;MISSING;0.0; 0.001409; 0.005056;1.9e-05;MISSING;0.00035099999999999997;0.000444; 1.7e-05; true; 0.008616;MISSING;0.65; 0.002039; 0.005788;MISSING;3.8e-05; 4e-06; true; 0.010294;MISSING;1.14; 0.0084; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; True; 0.0001; 0.0087;MISSING;0.9; 0.0105; 0.0002;MISSING;MISSING; 0.0001; 0.0004; 0.0000; True; 0.0006; 0.0115;MISSING;1.12; 0.0079; 0.0004; 0.0002;MISSING; 0.0002; 0.0003; True; 0.0005; 0.0090;MISSING;0.84;0.068845811;MISSING;0.025882036; 0.002286007; true; 0.034920724; 0.17354456;MISSING;0.97;0.009083573;MISSING;0.002121675; 1.9216E-5; true; 0.008910599; 0.098884653;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.43; 3; 5; 9; 10; 14; 30; 16; 16; 18;0.61; 3; 5; 9; 10; 14; 30; 16; 16; 18;0.24;0.047862499999999995;0.009488599999999996;0.1103201;0.0149248; 0.0002514000; False; 0.1435784000; 0.2337152000;0.005651300000000001;0.0; 0.001006; 0.005116;0.000647;0.00015;0.00015999999999999999; 1e-05; false; 0.008368;2.6000000000000002e-05;0.0; 0.001758; 0.006236;0.001974;0.00030500000000000004;0.00013699999999999997;0.000129; 1.1e-05; false; 0.012303;3.1e-05;0.0; 0.001928; 0.005962;0.00101;0.000246;0.000256; 1.3e-05; false; 0.011412;5.2000000000000004e-05;0.0; 0.000951; 0.004156;0.00036700000000000003;0.00218;0.001343;0.0005; 0.00023; false; 0.010906;0.000286;0.01; 0.001653; 0.005692;8.6e-05;0.002162;0.002117;0.001177; 0.000396; false; 0.015567;0.00027400000000000005;0.77; 0.001671; 0.006106;1.1e-05;4.6e-05; 5e-06; true; 0.010431;7e-06;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.23;0.112279778;0.020390341000000003;0.038152481; 0.01012915; false; 0.079315894; 0.302358768;0.00179735;1.11;0.02206762;0.024679227999999998;0.009891061999999999; 2.8604E-5; false; 0.051052241; 0.161797076;0.001075759
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.51; 2; 4; 9; 10; 14; 30; 16; 17; 18;0.73; 2; 4; 9; 10; 14; 30; 16; 17; 18;0.24;0.047774699999999996;0.009699500000000002;0.1050208;0.020997599999999998; 0.0002250000; False; 0.1445295000; 0.2293250000;0.0054361999999999995;0.0; 0.001505; 0.004488;0.000827;0.00018600000000000002;0.000134; 6e-06; false; 0.008745;2.6000000000000002e-05;0.0; 0.001678; 0.00522;0.001771;0.000341;0.000141;0.00011300000000000001; 6e-06; false; 0.011133;2.9e-05;0.0; 0.001651; 0.005926;0.0008939999999999999;0.00018899999999999999;0.000185; 9e-06; false; 0.010716;1.9999999999999998e-05;0.01; 0.001764; 0.005525;0.000458;0.0030499999999999998;0.001521;0.000564; 0.000115; false; 0.014518;0.000426;0.01; 0.00166; 0.005913;8.8e-05;0.002449;0.002111;0.001219; 0.000187; false; 0.016223;0.00030599999999999996;0.61; 0.001579; 0.005706;1.1e-05;5.6e-05; 4e-06; true; 0.009227;6e-06;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08;0.077598161;0.016297316;0.020523780999999998; 0.001504109; false; 0.046775844; 0.237969555;0.001274435;1.02;0.016960432;0.022892811;0.007853816000000001; 2.7801E-5; false; 0.04261927; 0.132111627;0.001158671
