          1st Quartile / Median / 3rd Quartile per op/bench          
---------------------------------------------------------------------
benchop    mata           mata-0.111     mata-0.112     mata-0.113
---------  -------------  -------------  -------------  -------------
fair-/ai   0.0, 0.2, 0.2  0.0, 0.2, 0.2  0.0, 0.2, 0.4  0.0, 0.2, 0.4
fair-/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ai   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.3  0.0, 0.0, 0.3
inclu/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa/ai   0.1, 0.5, 0.6  0.1, 0.5, 0.6  0.1, 0.6, 0.8  0.1, 0.6, 0.7
overa/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/ai   0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4
parsi/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1
resul/ai   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/ai   0.1, 0.4, 0.5  0.1, 0.4, 0.6  0.1, 0.5, 0.8  0.1, 0.5, 0.7
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
