name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.15; 0.106003; 0.048163;0.001549;0.000691; 0.000119; true; 0.164005;0.15; 0.114347; 0.049499;0.0014010000000000001;0.0007120000000000001; 8e-06; true; 0.173187;0.13; 0.105529; 0.030674;0.000734;0.000379; 8e-06; true; 0.14183;0.16; 0.113536; 0.048548;0.001412;0.000627; 0.000111; true; 0.171363
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.03; 0.029259; 0.011169;7.9e-05;3.1e-05; 4.1e-05; true; 0.042334;0.03; 0.028683; 0.011044;7.7e-05;2.9e-05; 8e-06; true; 0.041599;0.05; 0.038207; 0.017487;0.00013099999999999999;4.1e-05; 7e-06; true; 0.058459;0.04; 0.037683; 0.017781;0.000133;5.1e-05; 6.8e-05; true; 0.058457
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.13; 0.097107; 0.039518;0.004549;0.001363; 0.000397; true; 0.151994;0.1; 0.058277; 0.039387;0.004664;0.001628; 0.000235; true; 0.113966;0.08; 0.059483; 0.027337;0.0022299999999999998;0.001009; 0.000103; true; 0.096187;0.13; 0.099187; 0.040663;0.004716;0.001974; 0.000438; true; 0.157864
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.051931; 0.04014;0.000414;0.00015999999999999999; 0.000613; true; 0.100483;0.09; 0.073385; 0.023803;0.00021600000000000002;9.099999999999999e-05; 6e-06; true; 0.101784;0.1; 0.087731; 0.029219;0.00021;0.00014399999999999998; 7e-06; true; 0.121847;0.07; 0.052248; 0.024887;0.000398;0.000156; 0.000589; true; 0.085471
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.02; 0.015872; 0.009319;1.1000000000000001e-05;7e-06; 1.9e-05; true; 0.026852;0.01; 0.009173; 0.006779;6e-06;4.9999999999999996e-06; 6e-06; true; 0.01709;0.02; 0.017425; 0.009477;1.3000000000000001e-05;1.1e-05; 9e-06; true; 0.02902;0.02; 0.015995; 0.009515;1.2000000000000002e-05;9.999999999999999e-06; 2.1e-05; true; 0.0272
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.01; 0.008437; 0.007658;0.000139;7.5e-05; 2.2e-05; true; 0.017834;0.02; 0.015261; 0.009896;0.00023799999999999998;9.6e-05; 9e-06; true; 0.027477;0.02; 0.015545; 0.009928;0.000235;7.999999999999999e-05; 5e-06; true; 0.027675;0.02; 0.015463; 0.009832;0.000236;8.8e-05; 2.7e-05; true; 0.027421
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.07; 0.065095; 0.014873;0.000483;0.000165; 0.000103; true; 0.082886;0.06; 0.057056; 0.01611;0.000462;0.000177; 8e-06; true; 0.076342;0.09; 0.073415; 0.02454;0.000958;0.000349; 9e-06; true; 0.103134;0.08; 0.071012; 0.015586;0.00047;0.000174; 9.8e-05; true; 0.089911
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.012932; 0.01313;1.7e-05;8e-06; 6.2e-05; true; 0.028714;0.02; 0.016701; 0.012472;1.4000000000000001e-05;9e-06; 8e-06; true; 0.031346;0.02; 0.017852; 0.013579;1.4999999999999999e-05;2.7000000000000002e-05; 7e-06; true; 0.033884;0.02; 0.016583; 0.013405;1.6e-05;8e-06; 5.9e-05; true; 0.032474
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.14; 0.089011; 0.055179;1.8e-05;1.1e-05; 0.000932; true; 0.154908;0.13; 0.086248; 0.049802;2.1000000000000002e-05;1e-05; 1.5e-05; true; 0.145265;0.12; 0.069378; 0.056133;1.9e-05;9e-06; 1e-05; true; 0.13602;0.08; 0.05656; 0.03164;1.7e-05;9e-06; 0.000482; true; 0.095117
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.09; 0.067863; 0.03393;5.599999999999999e-05;3.1e-05; 5.9e-05; true; 0.108132;0.15; 0.114378; 0.045586;9.099999999999999e-05;2.6000000000000002e-05; 8e-06; true; 0.168429;0.13; 0.092753; 0.05265;0.00010499999999999999;3.1e-05; 7e-06; true; 0.154416;0.12; 0.075257; 0.04789;9.8e-05;2.9e-05; 0.000102; true; 0.132309
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.06; 0.051971; 0.020862;5.6999999999999996e-05;2e-05; 4.6e-05; true; 0.07594;0.04; 0.029928; 0.016102;3.2e-05;1.5e-05; 6e-06; true; 0.047967;0.05; 0.050545; 0.014958;3.2999999999999996e-05;1.4e-05; 7e-06; true; 0.067685;0.04; 0.031145; 0.014556;3.1e-05;1.4000000000000001e-05; 2.8e-05; true; 0.047658
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.11; 0.080301; 0.039266;9.9e-05;2.5e-05; 0.000326; true; 0.127281;0.07; 0.047003; 0.02434;4.9999999999999996e-05;1.7e-05; 7e-06; true; 0.075649;0.1; 0.08125; 0.031156;4.7e-05;1.8e-05; 6e-06; true; 0.117014;0.08; 0.04815; 0.035925;9.599999999999999e-05;2.8e-05; 0.000586; true; 0.091683
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.04; 0.033363; 0.016331;4.4999999999999996e-05;2.1000000000000002e-05; 5.8e-05; true; 0.052731;0.03; 0.031294; 0.0142;4.2e-05;1.5e-05; 1.1e-05; true; 0.048408;0.04; 0.032363; 0.01452;4.399999999999999e-05;1.5e-05; 6e-06; true; 0.049373;0.03; 0.022977; 0.009599;2.4e-05;1.1e-05; 3.3e-05; true; 0.034277
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.1; 0.07573; 0.027613;0.001219;0.0005710000000000001; 9.7e-05; true; 0.110009;0.09; 0.076838; 0.030575;0.00125;0.0008190000000000001; 1e-05; true; 0.114495;0.1; 0.075048; 0.030581;0.001454;0.0009349999999999999; 9e-06; true; 0.11351;0.06; 0.041837; 0.020293;0.0007170000000000001;0.00040699999999999997; 6.1e-05; true; 0.066842
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.06; 0.047068; 0.024673;0.000588;0.000366; 0.00015; true; 0.076906;0.11; 0.083288; 0.033698;0.0011129999999999998;0.000504; 8e-06; true; 0.12465;0.07; 0.047367; 0.024381;0.001111;0.00048; 8e-06; true; 0.079238;0.07; 0.048433; 0.022604;0.000571;0.00036500000000000004; 0.000134; true; 0.076155
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.09; 0.074149; 0.026736;0.002554;0.001204; 0.001773; true; 0.112078;0.1; 0.07463; 0.029991;0.002144;0.001253; 0.001531; true; 0.115487;0.06; 0.05225; 0.019168;0.0013189999999999999;0.000659; 0.00124; true; 0.078598;0.11; 0.074441; 0.029115;0.002784;0.001398; 0.005385; true; 0.119589
