                                                                     1st Quartile / Median / 3rd Quartile per op/bench                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali          mona          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
---------  -------------  -------------  -------------  -------------  ------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
deter/zni  -              -              -              -              -             -              -              -              -              -              0.0, 0.0, 0.0  -
empti/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 60  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.2, 0.2, 0.3  0.2, 0.2, 0.3  0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 60  0.0, 0.0, 0.0  0.1, 0.2, 0.2  0.2, 0.3, 0.4  0.4, 0.4, 0.6  0.0, 0.1, 0.2  0.0, 0.1, 0.1  0.0, 0.0, 0.1
parsi/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.2, 0.2, 0.3  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1
reduc/zni  -              -              0.0, 0.0, 0.0  -              -             -              -              -              -              -              -              -
resul/zni  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60    60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/zni  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.5, 0.6, 60  0.0, 0.0, 0.0  0.1, 0.1, 0.1  1.1, 1.3, 1.5  1.4, 1.7, 2.0  1.1, 1.2, 1.3  1.1, 1.2, 1.3  1.1, 1.2, 1.2
trans/zni  -              -              -              0.0, 0.0, 0.0  -             0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/zni   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -             0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
