                                                                   1st Quartile / Median / 3rd Quartile per operation                                                                   
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  ------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
deter  -              -              -              -              -             -              -              -              -              -              0.0, 0.0, 0.0  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 60  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.2, 0.2, 0.3  0.2, 0.2, 0.3  0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter  -              -              -              -              -             -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 60  0.0, 0.0, 0.0  0.1, 0.2, 0.2  0.2, 0.3, 0.4  0.4, 0.4, 0.6  0.0, 0.1, 0.2  0.0, 0.1, 0.1  0.0, 0.0, 0.1
parsi  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.2, 0.2, 0.3  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1
reduc  -              -              0.0, 0.0, 0.0  -              -             -              -              -              -              -              -              -
runti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.5, 0.6, 60  0.0, 0.0, 0.0  0.1, 0.1, 0.1  1.1, 1.3, 1.5  1.4, 1.7, 2.0  1.1, 1.2, 1.3  1.1, 1.2, 1.3  1.1, 1.2, 1.2
trans  -              -              -              0.0, 0.0, 0.0  -             0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -             0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
