input                                                                                                                                                                                                                                                                                                                     	vata  	awali  	brics  	mata  	(py)mata  	mona  	mata-sim  	automata  	(j)alib  	(py)alib  	fado  	  number
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata                                                                                                                          	false 	false  	ERR    	false 	false     	true  	false     	false     	ERR      	false     	false 	       3
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata                                                                                                          	false 	false  	false  	false 	false     	true  	false     	false     	false    	ERR       	false 	     306
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-sat-comp1_inclusion_unsat-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-sat-comp1_inclusion_unsat-*.mata                                                                                                      	false 	false  	false  	false 	false     	true  	false     	false     	false    	false     	false 	    1746
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_implicit_inter_unsat-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-unsat-zelkova_fmcad18_example_implicit_inter_unsat-*.mata                                                    	true  	true   	true   	true  	true      	false 	true      	true      	true     	true      	true  	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-*.mata                                                                                                                                                        	false 	false  	false  	false 	false     	true  	false     	false     	false    	ERR       	ERR   	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date_format_days-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date_format_days-*.mata                                                                                                                                          	false 	false  	false  	false 	ERR       	true  	false     	false     	false    	ERR       	ERR   	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date_policy1_implies_date_policy2-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/date-sat-date_policy1_implies_date_policy2-*.mata                                                                                                        	false 	false  	false  	false 	ERR       	true  	false     	false     	nan      	ERR       	ERR   	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/det_blowup-sat-det_blowup_sat_100-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/det_blowup-sat-det_blowup_sat_100-*.mata                                                                                                                          	false 	false  	false  	false 	false     	true  	false     	false     	nan      	nan       	false 	      20
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-17-*.mata                                                                                                                                                                                                                                            	false 	false  	false  	false 	false     	true  	false     	false     	false    	nan       	false 	       2
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-18-*.mata                                                                                                                                                                                                                                            	false 	false  	false  	false 	false     	true  	false     	false     	false    	nan       	nan   	       8
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-26-*.mata                                                                                                                                                                                                                                            	false 	false  	false  	false 	false     	true  	false     	false     	nan      	nan       	nan   	      67
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-55-*.mata                                                                                                                                                                                                                                            	nan   	false  	false  	false 	false     	true  	false     	false     	nan      	nan       	nan   	      14
/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata	false 	false  	false  	false 	false     	true  	false     	false     	false    	false     	nan   	       1
/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata	false 	false  	false  	false 	false     	true  	false     	false     	nan      	false     	nan   	       1
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance08310-*.mata                                                                                                                                                                                                                            	false 	ERR    	false  	false 	false     	true  	false     	false     	false    	false     	false 	       1
