name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.37;0.0993717;0.035227600000000005;0.22415960000000001; 0.0003050000; True; 0.2763722000; 0.4651011000;0.05; 0.019518; 0.010433;0.019201000000000003;0.00606; 2e-06; true; 0.058031;0.26; 0.033652; 0.010541;0.0035979999999999996;0.116098;0.108199; 5e-06; true; 0.275622;0.15; 0.032649; 0.009274;0.00031;0.036324;0.068436; 0.000915; true; 0.151058;0.74; 0.05339; 0.017579;0.12704; 0.000154; true; 0.267366;1.46; 0.0703; 0.0000; 0.1055; 0.0127; 0.0000; True; 0.1183; 0.1893;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.47; 0.0630; 0.0053; 0.8362; 0.4964; 0.5093; True; 1.3456; 1.4302;2.23;0.183290146; 0.347390377; 0.015319184; true; 0.36981126; 0.669912282;2.25;0.06771677699999999; 0.480763492; 2.7315E-5; true; 0.487530772; 0.757101932
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.59;0.08294439999999999;0.059214;0.5789371999999999; 0.0001898000; True; 0.6413616000; 0.7726682000;0.14; 0.046055; 0.017636;0.075097;0.023053999999999998; 3e-06; true; 0.167393;0.73; 0.027568; 0.016355;0.004546;0.329621;0.370418; 4e-06; true; 0.752737;0.38; 0.045782; 0.016214;0.000658;0.09262999999999999;0.21530100000000002; 0.001759; true; 0.377417;0.79; 0.063525; 0.018723;0.173574; 0.000274; true; 0.339748;1.46; 0.0826; 0.0000; 0.2547; 0.0281; 0.0000; True; 0.2829; 0.3661;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;4.72; 0.0852; 0.0101; 2.4935; 1.0440; 1.0749; True; 3.5684; 3.7048;2.19;0.26275626100000005; 0.40002517; 0.00938311; true; 0.415803733; 0.836606926;3.16;0.04170415699999999; 0.802034946; 3.8426E-5; true; 0.808589557; 0.959381119
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.95;0.12259379999999998;0.05586349999999999;0.9271708000000001; 0.0001339000; True; 0.9859750000; 1.1760645000;0.19; 0.027895; 0.011859;0.128157;0.041366; 2e-06; true; 0.212997;1.44; 0.026019; 0.011532;0.003295;0.678355;0.764017; 5e-06; true; 1.48634;0.63; 0.027406; 0.011942;0.000735;0.16585299999999997;0.40710799999999997; 0.004156; true; 0.621473;0.77; 0.054865; 0.012814;0.263388; 0.000613; true; 0.3955;1.65; 0.0892; 0.0000; 0.5096; 0.0575; 0.0000; True; 0.5672; 0.6570;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.64; 0.0820; 0.0067; 4.8487; 2.6923; 2.7617; True; 7.6104; 7.8049;2.73;0.268548233; 0.982229371; 0.012006348; true; 1.001259768; 1.402799398;5.16;0.04773232000000001; 1.624363612; 3.6442E-5; true; 1.629819763; 1.843240479
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;2.1;0.0869613;0.0862701;1.8547289; 0.0001473000; True; 1.9440097000; 2.0764917000;0.48; 0.061942; 0.021215;0.35857300000000003;0.089557; 2e-06; true; 0.536791;3.42; 0.061313; 0.019706;0.006139;1.558642;1.8552140000000001; 1e-05; true; 3.5059;1.39; 0.031413; 0.012736;0.00048699999999999997;0.40614;0.87947; 0.008492; true; 1.34269;1.79; 0.083206; 0.023053;1.0888920000000002; 0.001506; true; 1.31532;2.63; 0.1095; 0.0000; 1.2855; 0.1475; 0.0000; True; 1.4331; 1.5434;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;18.91; 0.1097; 0.0133; 12.9377; 5.0425; 5.1093; True; 18.0471; 18.3626;3.97;0.27092901299999994; 1.24829072; 0.015422288; true; 1.273722827; 1.704688708;11.01;0.05159129800000001; 4.791653388; 3.1779E-5; true; 4.799847622; 5.006552205
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;5.33;0.094651;0.23790760000000002;4.8785433000000005; 0.0003330000; True; 5.1223406000; 5.2621250000;1.06; 0.078607; 0.025214;0.86018;0.222622; 2e-06; true; 1.19314;8.87; 0.072237; 0.024497;0.0067659999999999994;4.204961;4.775334; 5e-06; true; 9.09001;4.38; 0.042053; 0.016302;0.000983;1.281029;2.795933; 0.011819; true; 4.15374;3.53; 0.110695; 0.030095;2.9643770000000003; 0.003126; true; 3.27668;4.42; 0.1227; 0.0000; 2.9595; 0.3468; 0.0000; True; 3.3064; 3.4308;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;46.54; 0.1248; 0.0172; 29.3943; 16.3093; 16.6399; True; 46.0344; 46.8853;4.39;0.25569748300000006; 1.822696576; 0.01968977; true; 1.85157374; 2.244528691;21.48;0.057974935; 10.936491235; 4.3151E-5; true; 10.94452873; 11.130251926
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;10.79;0.099507;0.3263631;10.6649437; 0.0003130000; True; 10.9957913000; 11.1448002000;2.11; 0.083746; 0.029175;1.8359829999999997;0.387483; 4e-06; true; 2.34418;15.87; 0.069097; 0.022099;0.005631999999999999;7.5959330000000005;8.452798999999999; 5e-06; true; 16.1508;10.6; 0.077314; 0.028247;0.0011610000000000004;3.601484;6.606947; 0.01335; true; 10.3365;7.25; 0.127566; 0.032507;6.499308; 0.008636; true; 6.86016;8.79; 0.1473; 0.0000; 7.1568; 0.8137; 0.0000; True; 7.9706; 8.1211;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.05;0.30126690600000006; 4.36318767; 0.041220341; true; 4.412506499; 4.881990804;56.98;0.051031529000000006; 32.54047353; 5.9726E-5; true; 32.54795936; 32.727465808
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;18.82;0.12246649999999996;0.8815462000000002;17.3338643; 0.0002328000; True; 18.2380551000; 18.4073090000;6.22; 0.100901; 0.032569;4.559989;2.084768; 4e-06; true; 6.7913;36.0; 0.105961; 0.035221;0.009659000000000001;19.210955;17.428089; 5e-06; true; 36.7987;21.22; 0.091959; 0.029855;0.0013200000000000002;7.779589999999999;13.004809999999999; 0.011507; true; 20.9276;15.69; 0.079185; 0.022221;16.053975; 0.012097; true; 16.3041;17.36; 0.1599; 0.0000; 15.3316; 2.2315; 0.0000; True; 17.5632; 17.7283;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;14.22;0.31033941800000003; 9.961745202; 0.024886437; true; 9.991696349; 10.457480258;TO;0.058913035;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;39.9;0.10459059999999999;1.5428658000000002;38.4444182; 0.0001415000; True; 39.9915040000; 40.1393570000;15.08; 0.073854; 0.025906;10.890460000000001;5.353719; 5e-06; true; 16.3603;TO; 0.063701; 0.024331;0.0064210000000000005;20.722595;22.158821000000003;MISSING;MISSING;MISSING;48.62; 0.111414; 0.038036;0.0015909999999999997;17.570852;29.634833; 7.9e-05; true; 47.3679;ERR;ERR;ERR;ERR;ERR;ERR;ERR;33.38; 0.1826; 0.0000; 30.6485; 4.9005; 0.0000; True; 35.5492; 35.7459;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;29.29;0.39836609; 22.707967838; 0.048633213; true; 22.762668106; 23.315672856;TO;0.064195609;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;TO;0.13767989999999997;2.0170155;32.2034423;MISSING;MISSING;MISSING;MISSING;36.34; 0.132127; 0.041234;26.394894999999998;12.780201; 3e-06; true; 39.3837;TO; 0.104584; 0.039944;0.0073869999999999995;22.783196;24.767218;MISSING;MISSING;MISSING;TO; 0.112416; 0.036876;0.0017159999999999996;20.655977;19.682007;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;65.91;0.407619997; 48.653739069; 0.081212138; true; 48.742871397; 49.28493516;TO;0.081759376;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO;0.11660249999999998;2.2241815000000003;32.9940377;MISSING;MISSING;MISSING;MISSING;TO; 0.135358; 0.043893;31.695486;10.108412000000001;MISSING;MISSING;MISSING;TO; 0.151869; 0.05234;0.013302000000000001;26.617587;27.477995;MISSING;MISSING;MISSING;TO; 0.123005; 0.039942;0.002073;23.277406;20.668025;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.3350280200000001;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.07918160600000002;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.09;0.032379;0.005682899999999999; 0.0085504000; 0.0001949000; True; 0.0168279000; 0.0865565000;0.0; 0.001315; 0.006088; 1.7e-05; 1.9e-05; 1e-06; true; 0.008588;0.0; 0.001139; 0.005662;0.000178; 2.8e-05; 2.5e-05; 1e-06; true; 0.008173;0.01; 0.001159; 0.00577;3.4e-05; 0.000945; 0.00076; 6.8e-05; true; 0.01159;0.36; 0.001011; 0.004854; 2.9e-05; 4e-06; true; 0.007347;0.93; 0.0087; 0.0000; 0.0001; 0.0000; 0.0000; True; 0.0002; 0.0092;1.15; 0.0086; 0.0002; 0.0006; 0.0001; 0.0000; True; 0.0007; 0.0097;0.93; 0.0066; 0.0003; 0.0002; 0.0003; 0.0004; True; 0.0006; 0.0077;0.87;0.064438914; 0.023797492; 0.002128836; true; 0.03241775; 0.174563128;0.87;0.010340043; 0.002174194; 3.8733E-5; true; 0.009476806; 0.088813204
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO;0.1277908;2.1989975;37.7399764;MISSING;MISSING;MISSING;MISSING;TO; 0.144547; 0.046817;32.379877;13.134677;MISSING;MISSING;MISSING;TO; 0.157792; 0.054928;0.015062000000000002;27.599005;17.032758;MISSING;MISSING;MISSING;TO; 0.150877; 0.04578;0.002186;20.882669999999997;22.352308;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.3678521469999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.12649283900000002;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO;0.1482563;2.5852098999999997;38.5970585;MISSING;MISSING;MISSING;MISSING;TO; 0.119271; 0.043289;36.731735;12.618354;MISSING;MISSING;MISSING;TO; 0.153645; 0.048552;0.01643;30.083415;18.848929;MISSING;MISSING;MISSING;TO; 0.131943; 0.039667;0.002464;25.7572;26.021476;MISSING;MISSING;MISSING;TO; 0.261476; 0.077282;53.19364;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.4656994279999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.16775797700000003;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO;0.142831;2.7735116;43.3677724;MISSING;MISSING;MISSING;MISSING;TO; 0.207266; 0.068857;39.323238;15.502501;MISSING;MISSING;MISSING;TO; 0.18837; 0.059407;0.016318;29.655503;18.178051;MISSING;MISSING;MISSING;TO; 0.19142; 0.054483;0.0026439999999999996;27.884500000000003;28.187604;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.4265953579999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.111434733;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO;0.15984550000000003;2.5512419;42.5831762;MISSING;MISSING;MISSING;MISSING;TO; 0.221424; 0.070215;41.13604;7.628242999999999;MISSING;MISSING;MISSING;TO; 0.194437; 0.067847;0.020482;31.907933;19.111538;MISSING;MISSING;MISSING;TO; 0.211678; 0.062605;0.0028960000000000006;14.695935;29.950029;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.47825170799999994;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.08776932;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;TO;0.19221649999999996;3.0246278999999996;48.6326539;MISSING;MISSING;MISSING;MISSING;TO; 0.243077; 0.075383;41.494077000000004;8.030768;MISSING;MISSING;MISSING;TO; 0.237701; 0.076694;0.021752;19.202204;22.023791;MISSING;MISSING;MISSING;TO; 0.131264; 0.043599;0.0017630000000000002;15.277663;30.551184;MISSING;MISSING;MISSING;TO; 0.32645; 0.086268;52.953394;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.417423885;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.19720600500000002;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;TO;0.2858653;2.5958930000000002;52.263300900000004;MISSING;MISSING;MISSING;MISSING;TO; 0.201974; 0.063976;46.102677;8.248459;MISSING;MISSING;MISSING;TO; 0.260938; 0.074145;0.02189;21.471434000000002;23.162564;MISSING;MISSING;MISSING;TO; 0.247441; 0.076721;0.0035549999999999996;15.354427;30.11799;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.45929884600000004;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.102099458;MISSING;MISSING;MISSING;MISSING;MISSING
