name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-uni;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.13;0.0670988;0.011182499999999998;0.0258069; 0.0002314000; False; 0.0511409000; 0.1732189000;0.03; 0.026243; 0.013673;0.00027500000000000007;0.000513; 7.8e-05; false; 0.044081;0.05; 0.025075; 0.009629;0.003656;0.005691;0.004977; 0.000912; false; 0.053125;0.04; 0.031195; 0.008536;0.00035099999999999997;0.002388;0.0038239999999999997; 0.000706; false; 0.050004;0.94; 0.054274; 0.01711;0.346597; 0.005385; false; 0.490532;1.15; 0.0634; 0.0000; 0.0030; 0.0002; 0.0003; False; 0.0036; 0.0675;1.18; 0.0521; 0.0030; 0.1713; 0.0010; 0.0119; False; 0.1842; 0.2397;11.36; 0.0791; 0.0067; 0.0329; 10.5037; 10.6247; False; 10.6577; 10.7440;2.24;0.18250914500000004; 0.360523357; 0.003543904; false; 0.373193296; 0.696201536;1.12;0.03544985899999999; 0.010357122; 4.37E-5; false; 0.01790182; 0.173881543
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.11;0.04829230000000001;0.006920900000000002;0.008678; 0.0003082000; False; 0.0186359000; 0.1060822000;0.05; 0.044847; 0.015549;0.000357;0.0006920000000000001; 9.6e-05; false; 0.06583;0.05; 0.03176; 0.012975;0.0028290000000000004;0.006907999999999999;0.006771999999999999; 0.001161; false; 0.065095;0.06; 0.042183; 0.01604;0.0006749999999999999;0.004931;0.008027; 0.001324; false; 0.078129;1.5; 0.065876; 0.019841;0.8348530000000001; 0.015179; false; 1.02184;1.3; 0.0801; 0.0000; 0.0059; 0.0004; 0.0006; False; 0.0069; 0.0879;1.15; 0.0439; 0.0033; 0.1738; 0.0012; 0.0168; False; 0.1918; 0.2395;29.02; 0.0729; 0.0091; 0.0399; 28.7294; 29.0795; False; 29.1195; 29.2021;2.6;0.192362496; 0.398813004; 0.00231686; false; 0.417510216; 0.766276253;1.39;0.04036332; 0.013720696; 4.274E-5; false; 0.021207742; 0.196597289
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.16;0.0918336;0.011651299999999998;0.0112559; 0.0002387000; False; 0.0262600000; 0.1656285000;0.06; 0.050611; 0.014393;0.000266;0.000539; 8.1e-05; false; 0.070311;0.08; 0.039922; 0.017173;0.005105999999999999;0.010557;0.010143999999999999; 0.001921; false; 0.089224;0.07; 0.048273; 0.018024;0.0008359999999999998;0.006336;0.010407000000000001; 0.001598; false; 0.09057;2.61; 0.082068; 0.024313;1.889675; 0.032854; false; 2.14007;1.0; 0.0517; 0.0000; 0.0033; 0.0002; 0.0003; False; 0.0038; 0.0558;1.48; 0.0543; 0.0041; 0.2900; 0.0015; 0.0253; False; 0.3168; 0.3757;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.64;0.17901636800000004; 0.662420138; 0.00243939; false; 0.682996141; 0.975888581;1.42;0.055716275; 0.020079452; 5.2561E-5; false; 0.036434153; 0.241058915
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.16;0.103649;0.010872499999999998;0.010306099999999999; 0.0001799000; False; 0.0241292000; 0.1780479000;0.04; 0.031094; 0.016442;0.0004739999999999999;0.001162; 0.000127; false; 0.054213;0.1; 0.058022; 0.020299;0.006195000000000001;0.012641;0.011899; 0.001553; false; 0.115035;0.06; 0.035428; 0.01239;0.00047999999999999996;0.003998;0.007422; 0.001147; false; 0.064213;4.79; 0.090764; 0.024426;4.070383; 0.0727; false; 4.38909;1.27; 0.1136; 0.0000; 0.0074; 0.0004; 0.0006; False; 0.0084; 0.1228;1.66; 0.0610; 0.0049; 0.4341; 0.0017; 0.0380; False; 0.4739; 0.5404;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.41;0.312747674; 1.14782053; 0.002630571; false; 1.167931626; 1.634467875;1.39;0.059635063; 0.020490989; 5.9322E-5; false; 0.027571836; 0.2289093
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.16;0.0894651;0.0117015;0.014571; 0.0002316000; False; 0.0294011000; 0.1629932000;0.1; 0.075644; 0.026017;0.000581;0.0014160000000000002; 0.000158; false; 0.11032;0.14; 0.074887; 0.024942;0.007580999999999999;0.019081;0.019657; 0.002476; false; 0.154436;0.09; 0.051639; 0.023822;0.0012;0.007877000000000002;0.013309000000000001; 0.001318; false; 0.106018;10.98; 0.10892; 0.028251;10.73123; 0.166085; false; 11.1967;1.06; 0.0697; 0.0000; 0.0069; 0.0003; 0.0004; False; 0.0077; 0.0777;2.51; 0.1252; 0.0116; 1.0768; 0.0035; 0.1004; False; 1.1809; 1.3185;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.1;0.24462858200000004; 2.402938315; 0.00219591; false; 2.410708168; 2.792321643;1.58;0.052911043; 0.025331139; 6.3203E-5; false; 0.045136301; 0.269183475
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.2;0.107786;0.014503600000000004;0.014343400000000001; 0.0002186000; False; 0.0324300000; 0.1881810000;0.1; 0.078707; 0.02597;0.0006959999999999999;0.001835; 0.000216; false; 0.11415;0.16; 0.081415; 0.026997;0.007076000000000001;0.021113;0.020929; 0.001972; false; 0.165054;0.12; 0.070891; 0.023928;0.0009559999999999999;0.010748;0.018224999999999998; 0.002546; false; 0.133047;25.66; 0.132064; 0.034224;26.329411999999998; 0.368718; false; 27.0611;1.43; 0.1473; 0.0000; 0.0145; 0.0004; 0.0008; False; 0.0158; 0.1640;3.01; 0.1427; 0.0145; 1.5287; 0.0051; 0.1458; False; 1.6796; 1.8380;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.91;0.255787092; 4.762167823; 0.002199008; false; 4.769724311; 5.178307969;1.57;0.07324253900000001; 0.03095852; 4.0773E-5; false; 0.047193748; 0.290085882
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.18;0.11965640000000002;0.012674399999999997;0.0155904; 0.0002122000; False; 0.0316862000; 0.1942934000;0.11; 0.08938; 0.029114;0.000743;0.002118; 0.000188; false; 0.128673;0.18; 0.091728; 0.033342;0.009378999999999998;0.024974;0.024688; 0.00325; false; 0.19368;0.16; 0.090471; 0.029348;0.0013859999999999999;0.012976;0.022935000000000004; 0.002851; false; 0.166798;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.0; 0.0836; 0.0000; 0.0077; 0.0002; 0.0005; False; 0.0085; 0.0926;3.4; 0.1546; 0.0166; 1.9232; 0.0043; 0.1783; False; 2.1058; 2.2779;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;14.11;0.3086518620000001; 9.016565442; 0.002259832; false; 9.042392314; 9.547921352;1.48;0.071349094; 0.057824982; 5.9362E-5; false; 0.065256697; 0.344692199
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.19;0.11193199999999999;0.0133134;0.0196834; 0.0003116000; False; 0.0370097000; 0.1957703000;0.13; 0.105633; 0.03694;0.0008800000000000001;0.002464; 0.000151; false; 0.155036;0.25; 0.110203; 0.037162;0.01111;0.041207;0.047466; 0.005684; false; 0.261456;0.17; 0.105678; 0.033094;0.001413;0.012736;0.023751; 0.003413; false; 0.188739;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.01; 0.1238; 0.0000; 0.0229; 0.0004; 0.0009; False; 0.0242; 0.1489;4.34; 0.1829; 0.0195; 2.7681; 0.0056; 0.2569; False; 3.0307; 3.2342;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;31.01;0.3167443879999999; 22.616895725; 0.002240537; false; 22.62497923; 23.095910792;1.67;0.12493688299999998; 0.050694815; 4.3573E-5; false; 0.060819752; 0.453403958
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.19;0.10862109999999997;0.012941400000000002;0.019558799999999998; 0.0001895000; False; 0.0356283000; 0.1854570000;0.15; 0.115365; 0.036095;0.0008529999999999999;0.0027; 0.000156; false; 0.164078;0.26; 0.118435; 0.037752;0.011845000000000001;0.043155;0.049405; 0.004393; false; 0.273635;0.21; 0.121064; 0.038183;0.0017860000000000003;0.01885;0.032978; 0.003731; false; 0.228373;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.49; 0.2203; 0.0000; 0.0190; 0.0004; 0.0011; False; 0.0206; 0.2419;5.41; 0.2019; 0.0219; 3.6440; 0.0065; 0.3357; False; 3.9863; 4.2115;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;65.88;0.32135950099999994; 49.042456245; 0.002144309; false; 49.049940628; 49.532418912;1.75;0.0890031; 0.049945516; 2.39678E-4; false; 0.058314163; 0.447936185
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.18;0.12408719999999998;0.013688599999999999;0.0225345; 0.0001889000; False; 0.0395581000; 0.2045298000;0.17; 0.139603; 0.041614;0.0010479999999999999;0.00332; 0.00018; false; 0.196562;0.29; 0.135393; 0.04185;0.013672000000000002;0.050889;0.051434; 0.008017; false; 0.311055;0.2; 0.099068; 0.037193;0.002015;0.021185999999999997;0.037610000000000005; 0.004028; false; 0.211107;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.29; 0.1460; 0.0000; 0.0141; 0.0003; 0.0007; False; 0.0152; 0.1619;6.31; 0.2168; 0.0240; 4.5134; 0.0070; 0.4688; False; 4.9893; 5.2316;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.385282043;MISSING;MISSING;MISSING;MISSING;MISSING;1.7;0.10401653599999999; 0.070608928; 3.8367E-5; false; 0.076918901; 0.424727898
