name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-inclusion_check;mona-inclusion_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.23;0.09629760000000001;0.0087954;0.0303684; 0.0939395000; True; 0.1354223000; 0.2748472000;0.09; 0.062468; 0.034501;0.0014680000000000001;0.0005920000000000001; 0.00012; true; 0.106133;0.16; 0.098335; 0.047336;0.014041;0.007063999999999999;0.00911; 0.004257; true; 0.187068;0.1; 0.062382; 0.034107;0.0018780000000000001;0.005284;0.005067; 0.00277; true; 0.118162;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.09; 0.1306; 0.0000; 0.0064; 0.0000; 0.0000; True; 0.0065; 0.1375;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.48; 0.1784; 0.0242; 0.1513;0.0050999999999999995; 0.0052; True; 0.1565; 0.3599;2.58;0.30815828700000003;0.143082663; 0.027475936; true; 0.180273832; 0.734177732;1.6;0.07507796900000001;0.033111073; 0.00657387; true; 0.045844993; 0.279732762
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.18;0.11949299999999999;0.0099955;0.04049489999999999; 0.0460735000; True; 0.0992301000; 0.2918547000;0.04; 0.036688; 0.016569;0.000128;7.099999999999999e-05; 7.1e-05; true; 0.056119;0.04; 0.023414; 0.015444;0.0041589999999999995;0.000534;0.0006919999999999999; 0.000698; true; 0.047501;0.05; 0.037596; 0.016257;0.000577;0.0010960000000000002;0.000907; 0.001562; true; 0.061381;0.87; 0.103246; 0.062232;0.000729; 0.000134; true; 0.405178;0.95; 0.0433; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.0440;1.05; 0.0432; 0.0035; 0.0502; 0.0013; 0.0104; True; 0.0620; 0.1089;1.11; 0.0650; 0.0065; 0.0040;0.0018; 0.0019; True; 0.0059; 0.0777;1.4;0.138577648;0.050519492; 0.007499719; true; 0.063663357; 0.325211676;1.28;0.042094775;0.004391233; 0.002734746; true; 0.014601657; 0.238846882
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.27;0.1022098;0.009257600000000001;0.0589509; 0.0476794000; True; 0.1185427000; 0.2880066000;0.14; 0.096898; 0.040849;0.004566;0.00182; 0.000416; true; 0.155533;0.3; 0.086028; 0.03103;0.017640000000000003;0.042892;0.120451; 0.005847; true; 0.326303;0.17; 0.099263; 0.040932;0.002043;0.01058;0.022575; 0.00232; true; 0.185178;TO; 0.15104; 0.255757;MISSING;MISSING;MISSING;MISSING;1.35; 0.2024; 0.0000; 0.0192; 0.0003; 0.0003; True; 0.0199; 0.2228;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.69; 0.1956; 0.0213; 0.3535;0.0075; 0.0078; True; 0.3614; 0.5795;2.28;0.269251171;0.06111833; 0.024869934; true; 0.093073622; 0.535560432;1.91;0.084738989;0.107840042; 0.002224685; true; 0.118395357; 0.392664642
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.2;0.0905282;0.008572900000000001;0.0181046; 0.0395505000; True; 0.0690982000; 0.2001987000;0.12; 0.088448; 0.03696;0.000401;0.000149; 0.000594; true; 0.133501;0.13; 0.0743; 0.035236;0.017253;0.001229;0.001319; 0.007351; true; 0.14262;0.14; 0.088436; 0.0353;0.002291;0.002044;0.001749; 0.018584; true; 0.155216;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.24; 0.1757; 0.0000; 0.0046; 0.0000; 0.0000; True; 0.0047; 0.1809;23.75; 0.1543; 0.0326; 19.9898; 0.1651; 2.7778; True; 22.9328; 23.1203;1.35; 0.1713; 0.0262; 0.0566;0.045899999999999996; 0.0461; True; 0.1028; 0.3009;TO;0.117326893;MISSING;MISSING;MISSING;MISSING;MISSING;1.76;0.093974927;0.007927827; 0.082233817; true; 0.102702143; 0.416163369
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.16;0.0563623;0.021565300000000003;0.013364999999999998; 0.0355458000; True; 0.0824436000; 0.1783496000;0.02; 0.016474; 0.008951;1.1e-05;5.999999999999999e-06; 1.9e-05; true; 0.026953;0.02; 0.01645; 0.008886;0.001175;1.1000000000000001e-05;7e-06; 4.9e-05; true; 0.028064;0.03; 0.016675; 0.0088;0.000163;0.000615;0.000502; 0.000706; true; 0.029754;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.11; 0.0378; 0.0000; 0.0000; 0.0001; 0.0000; True; 0.0002; 0.0382;0.97; 0.0217; 0.0008; 0.0457; 0.0017; 0.0004; True; 0.0479; 0.0705;0.8; 0.0226; 0.0014; 0.0001;0.0002; 0.0003; True; 0.0004; 0.0245;1.14;0.10808211600000002;0.036870457; 0.008787293; true; 0.053230148; 0.242484387;0.86;0.024887871;0.0022579139999999998; 8.85609E-4; true; 0.010340964; 0.129686722
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.1;0.035452300000000006;0.0054822000000000004;0.0088103; 0.0227466000; True; 0.0390680000; 0.1002567000;0.01; 0.013556; 0.009396;0.00018899999999999999;7.1e-05; 2.6e-05; true; 0.024871;0.01; 0.007945; 0.006181;0.0007610000000000001;0.00046600000000000005;0.0005660000000000001; 2.6e-05; true; 0.017049;0.02; 0.013545; 0.009506;0.000163;0.001031;0.000942; 0.000723; true; 0.028411;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.85; 0.0227; 0.0000; 0.0005; 0.0000; 0.0000; True; 0.0005; 0.0234;0.92; 0.0221; 0.0009; 0.0853; 0.0015; 0.0003; True; 0.0873; 0.1105;0.85; 0.0251; 0.0019; 0.0046;0.00030000000000000003; 0.0003; True; 0.0050; 0.0322;1.16;0.14828387900000004;0.048867356; 0.008902488; true; 0.065292016; 0.326226509;0.93;0.025677040000000005;0.008055047999999999; 7.67829E-4; true; 0.016124107; 0.154203476
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.19;0.08199580000000001;0.008690099999999997;0.0161567; 0.0373668000; True; 0.0652924000; 0.1870689000;0.08; 0.066016; 0.023321;0.000844;0.00027299999999999997; 0.000154; true; 0.094233;0.11; 0.066861; 0.024157;0.00532;0.005159;0.010230999999999999; 0.004649; true; 0.120741;0.09; 0.067184; 0.024705;0.000737;0.002518;0.003217; 0.002312; true; 0.10499;5.41; 0.209478; 0.104258;0.000796; 0.000605; true; 5.07989;1.31; 0.1211; 0.0000; 0.0115; 0.0002; 0.0000; True; 0.0118; 0.1333;23.38; 0.1381; 0.0285; 22.4978; 0.2294; 0.0218; True; 22.7490; 22.9159;1.29; 0.1544; 0.0242; 0.1459;0.0064; 0.0064; True; 0.1524; 0.3317;1.93;0.314590411;0.057332678; 0.026605017; true; 0.093830022; 0.551500562;1.4;0.037388495;0.017016997; 0.006376618; true; 0.047243837; 0.188289833
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.16;0.057377000000000004;0.0080443;0.0126268; 0.0360510000; True; 0.0593858000; 0.1555528000;0.02; 0.016464; 0.012179;1.4000000000000001e-05;9e-06; 6e-05; true; 0.030824;0.02; 0.016723; 0.011913;0.002892;2.9e-05;1.6e-05; 0.000435; true; 0.03396;0.03; 0.016764; 0.012032;0.00035099999999999997;0.000677;0.0005110000000000001; 0.001175; true; 0.034184;0.69; 0.052905; 0.044319;0.000334; 8.4e-05; true; 0.23335;1.2; 0.0494; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0002; 0.0500;1.21; 0.0448; 0.0030; 0.0329; 0.0009; 0.0175; True; 0.0513; 0.0994;1.13; 0.0427; 0.0050; 0.0004;0.0015; 0.0015; True; 0.0020; 0.0500;1.44;0.13310739900000002;0.040700129; 0.021423725; true; 0.068820857; 0.377093101;1.18;0.065668535;0.0023830599999999998; 0.002629421; true; 0.036492169; 0.216699551
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.2;0.0985694;0.008658599999999999;0.013176599999999998; 0.0402942000; True; 0.0651979000; 0.2049883000;0.13; 0.085728; 0.050211;1.8e-05;1.1e-05; 0.000895; true; 0.145976;0.17; 0.084509; 0.049548;0.032295000000000004;6.5e-05;3.2999999999999996e-05; 0.010227; true; 0.184717;0.16; 0.084692; 0.048302;0.003509;0.0008950000000000001;0.0006249999999999999; 0.028037; true; 0.175072;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.98; 0.1119; 0.0000; 0.0003; 0.0000; 0.0000; True; 0.0004; 0.1127;6.74; 0.1876; 0.0560; 0.5041; 0.0088; 5.2137; True; 5.7267; 5.9708;1.16; 0.2973; 0.0377; 0.0006;0.0656; 0.0658; True; 0.0665; 0.4023;3.9;0.676711182;0.07883256899999999; 0.08890832; true; 0.184163815; 1.226367523;1.93;0.15719753;0.0028124169999999998; 0.097932665; true; 0.108255685; 0.600642447
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.22;0.10351859999999999;0.0099139;0.013162; 0.0470880000; True; 0.0728217000; 0.2571441000;0.15; 0.107952; 0.052704;9.2e-05;2.8000000000000003e-05; 9.3e-05; true; 0.170418;0.19; 0.11995; 0.05125;0.023880000000000002;0.000541;0.000513; 0.001149; true; 0.20487;0.17; 0.119994; 0.052395;0.002805;0.000954;0.0006559999999999999; 0.00191; true; 0.187649;7.61; 0.242131; 0.123458;0.004699999999999999; 0.000179; true; 7.38039;1.38; 0.2313; 0.0000; 0.0023; 0.0003; 0.0000; True; 0.0026; 0.2345;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.41; 0.2223; 0.0481; 0.0523;0.0213; 0.0217; True; 0.0740; 0.3457;3.11;0.63742096;0.104690964; 0.035905871; true; 0.147367663; 1.015455124;1.75;0.118089133;0.0039830690000000005; 0.002251265; true; 0.013884412; 0.516074472
