name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.11; 0.099061; 0.024995; 0.002708; 0.000221; 3.5e-05; 1e-05; false; 0.12951
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.16; 0.136656; 0.035829; 0.002922; 0.00028; 3.4e-05; 3.3e-05; false; 0.179443
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.03; 0.034491; 0.010724; 0.000256; 5.5e-05; 1.1e-05; 5e-06; false; 0.046531
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;14.44; 12.951; 3.09839; 0.004741; 0.000161; 1.9e-05; 3.3e-05; false; 16.0617
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;1.03; 0.929859; 0.252941; 0.001125; 8.8e-05; 1.6e-05; 1.6e-05; false; 1.18553
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.22; 0.200526; 0.041027; 0.000774; 6.9e-05; 1.4e-05; 1.2e-05; false; 0.24402
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.5; 0.450143; 0.117297; 0.001093; 0.000109; 1.9e-05; 1.6e-05; false; 0.57025
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0; 0.007215; 0.005539; 0.000153; 3.4e-05; 8e-06; 5e-06; false; 0.013991
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.12; 0.114716; 0.025874; 0.000462; 4.9e-05; 1e-05; 9e-06; false; 0.142241
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.61; 0.568958; 0.120398; 0.001119; 0.000108; 1.7e-05; 1.7e-05; false; 0.692016
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.51; 0.481191; 0.092839; 0.000804; 7.9e-05; 1.3e-05; 2.8e-05; false; 0.578994
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.36; 0.317816; 0.076358; 0.00053; 6.5e-05; 1.1e-05; 9e-06; false; 0.395671
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.54; 0.499496; 0.104195; 0.001346; 0.000137; 2.3e-05; 9e-06; false; 0.606976
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.65; 0.581699; 0.133695; 0.001308; 0.000139; 1.9e-05; 1.6e-05; false; 0.71873
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;1.54; 1.40012; 0.311033; 0.001294; 0.000121; 1.7e-05; 1.6e-05; false; 1.7142
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;1.18; 1.0962; 0.222714; 0.001309; 0.000123; 1.7e-05; 1.7e-05; false; 1.32205
