name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.24; 0.0735874000;0.0090417; 0.1453349000; 0.0001612000; False; 0.1570231000; 0.2978457000;0.08; 0.077188; 0.003277; 0.000202; 0.000128; false; 0.088279;0.12; 0.078174; 0.021226; 0.015473; 0.00319; 0.004036; false; 0.127917;0.05; 0.044964; 0.001674; 0.005335; 0.001273; 0.000876; false; 0.058372;0.61; 0.060266; 1.3e-05; 1.5e-05; false; 0.125783;1.35; 0.0917; 0.0000; 0.0060; 0.0003; 0.0000; False; 0.0064; 0.0989;1.4; 0.0955; 0.0653; 0.0962; 0.1039; 0.0041; 0.0099; False; 0.1180; 0.2860;1.2; 0.0927; 0.0339; 0.0329; 0.0351; 0.0001; False; 0.0353; 0.1625;2.21; 0.265212186; 0.082770725; 0.010612788; false; 0.099924678; 0.60345516;1.97; 0.150665928; 0.117275535; 4.2199E-5; false; 0.134991155; 0.546155974
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.21; 0.0635837000;0.0073216; 0.0688505000; 0.0002636000; False; 0.0784092000; 0.2018457000;0.05; 0.046163; 0.002469; 0.000147; 8.9e-05; false; 0.055009;0.09; 0.049513; 0.023859; 0.012798; 0.003475; 0.003504; false; 0.098441;0.06; 0.046532; 0.002427; 0.004847; 0.001805; 0.001226; false; 0.062049;0.57; 0.04495; 1.2e-05; 7e-06; false; 0.092684;1.13; 0.0726; 0.0000; 0.0048; 0.0002; 0.0000; False; 0.0051; 0.0784;1.37; 0.0703; 0.0436; 0.0748; 0.0764; 0.0083; 0.0058; False; 0.0906; 0.2051;1.29; 0.0737; 0.0254; 0.0268; 0.0303; 0.0001; False; 0.0305; 0.1304;1.97; 0.220687314; 0.033482409; 0.002504324; false; 0.042826527; 0.439308274;1.79; 0.146987106; 0.081298874; 3.7588E-5; false; 0.097218989; 0.646031358
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.18; 0.0528938000;0.0092491; 0.0522753000; 0.0002091000; False; 0.0647788000; 0.1783678000;0.02; 0.019287; 0.001988; 0.000145; 6e-05; false; 0.024018;0.03; 0.019294; 0.007671; 0.006716; 0.001602; 0.001557; false; 0.039152;0.03; 0.019724; 0.000997; 0.003235; 0.00129; 0.000695; false; 0.029058;0.54; 0.02107; 6e-06; 7e-06; false; 0.062494;1.22; 0.0297; 0.0000; 0.0022; 0.0001; 0.0000; False; 0.0023; 0.0325;1.02; 0.0278; 0.0078; 0.0247; 0.0252; 0.0012; 0.0011; False; 0.0276; 0.0634;1.05; 0.0222; 0.0078; 0.0109; 0.0124; 0.0001; False; 0.0126; 0.0429;1.71; 0.198846632; 0.048047368; 0.001953413; false; 0.055626958; 0.417514635;1.41; 0.056943258; 0.015427812; 4.1647E-5; false; 0.023076921; 0.361263528
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;1.98; 1.2446015000;0.0051346000000000004; 0.2464210000; 0.0001234000; False; 0.2532832000; 2.0096275000;8.26; 3.65612; 4.63128; 0.009017; 0.005337; false; 8.66819;15.79; 4.07551; 2.95681; 8.10127; 0.311067; 0.305334; false; 16.0719;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;8.01; 4.6046; 0.0000; 2.7850; 0.0153; 0.0000; False; 2.8004; 7.4238;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;49.73; 3.0288; 0.7619; 47.0849; 47.4345; 0.0001; False; 47.4347; 51.2557;24.79; 19.40403033; 0.093736382; 0.002518331; false; 0.103235816; 21.19835335;7.68; 1.656413098; 0.738229067; 3.3596E-5; false; 0.745259618; 3.66095067
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.44; 0.2298734000;0.0101262; 0.0967730000; 0.0002501000; False; 0.1097376000; 0.4443705000;0.42; 0.303433; 0.106819; 0.001955; 0.000839; false; 0.453891;0.96; 0.371677; 0.224654; 0.289856; 0.040652; 0.035338; false; 0.993838;0.35; 0.252227; 0.029531; 0.045569; 0.011134; 0.011341; false; 0.376978;3.76; 0.31464; 1.1e-05; 8e-06; false; 3.40734;1.49; 0.4763; 0.0000; 0.0859; 0.0024; 0.0000; False; 0.0884; 0.5679;4.69; 0.3149; 0.0916; 3.2313; 3.2435; 0.0415; 0.1085; False; 3.3936; 3.8017;1.96; 0.3420; 0.0675; 0.5562; 0.5809; 0.0001; False; 0.5810; 0.9930;4.1; 1.080163445; 0.065473251; 0.002173329; false; 0.074110801; 1.572948829;2.72; 0.253053742; 0.057432296; 2.6814E-5; false; 0.064338686; 0.943258027
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.24; 0.0726987000;0.0090814; 0.0916233000; 0.0002293000; False; 0.1035612000; 0.2396109000;0.07; 0.057192; 0.012666; 0.000302; 0.000104; false; 0.074871;0.2; 0.068495; 0.038498; 0.066468; 0.012742; 0.013723; false; 0.205897;0.08; 0.063735; 0.003563; 0.010933; 0.00331; 0.002802; false; 0.090838;0.59; 0.068481; 8e-06; 1e-05; false; 0.235201;1.09; 0.0999; 0.0000; 0.0213; 0.0006; 0.0000; False; 0.0220; 0.1229;2.08; 0.0973; 0.0291; 0.8276; 0.8310; 0.0099; 0.0255; False; 0.8665; 0.9935;1.53; 0.0984; 0.0257; 0.1592; 0.1640; 0.0001; False; 0.1641; 0.2887;2.89; 0.508808693; 0.041803103; 0.002436107; false; 0.051077996; 0.80924112;2.0; 0.11152882; 0.049473862; 2.9509E-5; false; 0.072309836; 0.406756776
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.28; 0.1214072000;0.0060442000000000004; 0.0592746000; 0.0001700000; False; 0.0675185000; 0.2742398000;0.17; 0.152408; 0.029385; 0.000739; 0.000259; false; 0.192813;0.47; 0.160765; 0.089827; 0.152234; 0.027888; 0.028204; false; 0.47255;0.19; 0.150652; 0.010595; 0.023381; 0.006545; 0.006191; false; 0.214924;1.1; 0.10522; 5e-06; 1e-05; false; 0.60557;1.4; 0.2259; 0.0000; 0.0456; 0.0013; 0.0000; False; 0.0470; 0.2744;2.49; 0.1295; 0.0387; 1.0940; 1.0977; 0.0119; 0.0540; False; 1.1637; 1.3327;1.98; 0.2333; 0.0632; 0.5879; 0.6072; 0.0001; False; 0.6074; 0.9051;3.92; 1.017292856; 0.047904103; 0.005474933; false; 0.067177238; 1.407329166;2.56; 0.280880952; 0.05929542; 2.9193E-5; false; 0.066616296; 0.716884503
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.16; 0.0442554000;0.008953699999999998; 0.0461116000; 0.0001876000; False; 0.0577694000; 0.1560844000;0.0; 0.00435; 0.000688; 4.8e-05; 2.1e-05; false; 0.005817;0.01; 0.004789; 0.002081; 0.002589; 0.000591; 0.000593; false; 0.011267;0.01; 0.004404; 0.000233; 0.001583; 0.000793; 0.000311; false; 0.008684;0.52; 0.004885; 5e-06; 9e-06; false; 0.011295;1.06; 0.0098; 0.0000; 0.0011; 0.0001; 0.0000; False; 0.0012; 0.0113;1.23; 0.0096; 0.0013; 0.0069; 0.0072; 0.0005; 0.0003; False; 0.0081; 0.0191;1.19; 0.0136; 0.0026; 0.0065; 0.0075; 0.0001; False; 0.0076; 0.0240;1.24; 0.132631427; 0.024111281; 0.002347092; false; 0.033359221; 0.271181876;1.15; 0.023685645; 0.013571821; 3.4219E-5; false; 0.020988444; 0.154948605
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.24; 0.0702779000;0.009141699999999999; 0.0970372000; 0.0001881000; False; 0.1092203000; 0.2439604000;0.05; 0.036088; 0.012986; 0.000381; 0.000101; false; 0.053735;0.19; 0.063317; 0.035315; 0.064452; 0.013401; 0.014561; false; 0.196686;0.04; 0.035955; 0.001921; 0.006976; 0.002263; 0.001842; false; 0.052997;0.62; 0.039074; 6e-06; 1.3e-05; false; 0.162394;1.22; 0.0618; 0.0000; 0.0128; 0.0006; 0.0000; False; 0.0135; 0.0762;2.38; 0.1012; 0.0301; 1.0145; 1.0178; 0.0103; 0.0263; False; 1.0546; 1.1864;1.45; 0.0995; 0.0261; 0.2734; 0.2818; 0.0001; False; 0.2820; 0.4083;2.95; 0.497496344; 0.036277742; 0.011645686; false; 0.053617989; 0.988251967;1.92; 0.189867462; 0.123031584; 3.354E-5; false; 0.129820961; 0.559879852
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.33; 0.1298926000;0.010062799999999998; 0.1045351000; 0.0001945000; False; 0.1179824000; 0.3663006000;0.21; 0.173266; 0.050089; 0.00062; 0.000209; false; 0.241913;0.47; 0.179371; 0.109438; 0.139127; 0.023341; 0.020787; false; 0.48771;0.2; 0.16649; 0.00857; 0.022474; 0.005853; 0.005237; false; 0.218139;1.05; 0.099407; 7e-06; 8e-06; false; 0.653248;1.01; 0.1333; 0.0000; 0.0229; 0.0008; 0.0000; False; 0.0238; 0.1582;3.29; 0.2651; 0.0868; 1.7777; 1.7837; 0.0207; 0.0533; False; 1.8579; 2.2105;2.04; 0.2619; 0.0682; 0.7081; 0.7279; 0.0001; False; 0.7281; 1.0596;3.6; 1.088042425; 0.062258187; 0.001957083; false; 0.070279687; 1.511999222;2.45; 0.247056053; 0.0705328; 4.6558E-5; false; 0.078888116; 0.934623429
