name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.21; 0.0787977000;0.0084654; 0.0643628000; 0.0001849000; False; 0.0752499000; 0.2496242000;0.09; 0.057955; 0.036574; 0.000196; 0.000184; false; 0.102124;0.22; 0.05858; 0.02758; 0.128512; 0.005299; 0.00537; false; 0.230592;0.16; 0.031175; 0.001483; 0.126751; 0.001502; 0.001096; false; 0.165908;ERR;ERR;ERR;ERR;ERR;ERR;1.03; 0.0474; 0.0000; 0.0541; 0.0005; 0.0000; False; 0.0547; 0.1030;2.24; 0.0683; 0.0547; 1.2586; 1.2630; 0.0075; 0.0139; False; 1.2845; 1.4082;1.6; 0.0883; 0.0338; 0.5114; 0.5233; 0.0001; False; 0.5235; 0.6465;3.22; 0.746753775; 0.033582554; 0.002214807; false; 0.042130438; 1.149128961;2.12; 0.199187688; 0.109381392; 2.8513E-5; false; 0.130188252; 0.606924072
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.17; 0.0419284000;0.008723199999999999; 0.0554220000; 0.0002060000; False; 0.0666926000; 0.1614964000;0.0; 0.004457; 0.002592; 0.000236; 0.00015; false; 0.009465;0.03; 0.004374; 0.002385; 0.016541; 0.007927; 0.00725; false; 0.039301;0.02; 0.004298; 0.000311; 0.006518; 0.00315; 0.002471; false; 0.018452;0.52; 0.004336; 1.9e-05; 7e-06; false; 0.012615;1.23; 0.0131; 0.0000; 0.0047; 0.0003; 0.0000; False; 0.0051; 0.0188;1.26; 0.0143; 0.0086; 0.0412; 0.0466; 0.0076; 0.0060; False; 0.0603; 0.0836;1.32; 0.0156; 0.0057; 0.0104; 0.0265; 0.0001; False; 0.0267; 0.0485;2.1; 0.359449275; 0.157865527; 0.002113748; false; 0.16687771; 0.686637217;1.1; 0.050261969; 0.056052249; 6.572E-5; false; 0.063538588; 0.261853918
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.08; 0.0268043000;0.0058201; 0.0043722000; 0.0001263000; False; 0.0121281000; 0.0734794000;0.01; 0.008638; 0.001147; 8.1e-05; 5e-05; false; 0.011627;0.02; 0.009125; 0.004363; 0.006939; 0.002841; 0.002883; false; 0.027441;0.02; 0.008822; 0.000476; 0.003182; 0.001568; 0.000955; false; 0.017175;0.5; 0.009668; 1e-05; 8e-06; false; 0.017075;1.13; 0.0188; 0.0000; 0.0025; 0.0002; 0.0000; False; 0.0027; 0.0220;1.12; 0.0213; 0.0096; 0.0115; 0.0133; 0.0030; 0.0023; False; 0.0187; 0.0501;1.12; 0.0235; 0.0174; 0.0146; 0.0287; 0.0001; False; 0.0289; 0.0702;1.59; 0.210281319; 0.062793509; 0.002085428; false; 0.071150141; 0.408877478;1.36; 0.042074903; 0.011365728; 5.9913E-5; false; 0.0183545; 0.19297434
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.14; 0.0497008000;0.0095474; 0.0071862000; 0.0001844000; False; 0.0195743000; 0.1274422000;0.01; 0.015424; 0.001923; 0.000152; 4.2e-05; false; 0.020429;0.04; 0.015553; 0.007663; 0.009726; 0.003932; 0.004151; false; 0.042918;0.03; 0.015767; 0.000904; 0.00478; 0.002146; 0.00166; false; 0.028203;0.45; 0.016577; 1e-05; 5e-06; false; 0.023738;1.24; 0.0304; 0.0000; 0.0043; 0.0004; 0.0000; False; 0.0047; 0.0359;1.22; 0.0303; 0.0180; 0.0427; 0.0562; 0.0145; 0.0261; False; 0.0969; 0.1456;1.29; 0.0590; 0.0252; 0.0089; 0.0190; 0.0001; False; 0.0191; 0.1037;1.8; 0.288141792; 0.110030129; 0.004311243; false; 0.133080382; 0.654166301;1.19; 0.090123382; 0.01316736; 2.9747E-5; false; 0.020522109; 0.306721075
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.14; 0.0574296000;0.009348400000000002; 0.0072289000; 0.0001827000; False; 0.0192916000; 0.1760115000;0.01; 0.014634; 0.001238; 0.00011; 4.1e-05; false; 0.018809;0.03; 0.014493; 0.007226; 0.004907; 0.001802; 0.001677; false; 0.032001;0.02; 0.014926; 0.000792; 0.00359; 0.001525; 0.000894; false; 0.024708;0.48; 0.013636; 8e-06; 5e-06; false; 0.020248;1.17; 0.0277; 0.0000; 0.0025; 0.0001; 0.0000; False; 0.0027; 0.0309;1.22; 0.0304; 0.0194; 0.0286; 0.0304; 0.0026; 0.0037; False; 0.0369; 0.0871;0.96; 0.0164; 0.0071; 0.0046; 0.0074; 0.0001; False; 0.0075; 0.0314;1.73; 0.320409668; 0.056451159; 0.002190266; false; 0.064677263; 0.578864623;1.23; 0.052159961; 0.013563388; 3.2498E-5; false; 0.024236612; 0.235860223
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.1; 0.0283647000;0.0057481; 0.0277877000; 0.0001289000; False; 0.0352093000; 0.0975962000;0.01; 0.00811; 0.000589; 6.2e-05; 2.4e-05; false; 0.010235;0.03; 0.015158; 0.007403; 0.005095; 0.001991; 0.001699; false; 0.033251;0.02; 0.013464; 0.000856; 0.0038; 0.001623; 0.001034; false; 0.023941;ERR;ERR;ERR;ERR;ERR;ERR;1.1; 0.0190; 0.0000; 0.0015; 0.0001; 0.0000; False; 0.0017; 0.0210;1.18; 0.0188; 0.0147; 0.0315; 0.0330; 0.0022; 0.0048; False; 0.0400; 0.0739;1.18; 0.0208; 0.0083; 0.0091; 0.0153; 0.0001; False; 0.0155; 0.0451;1.7; 0.216790725; 0.069266974; 0.004536683; false; 0.094040888; 0.476000809;1.29; 0.043645095; 0.034177718; 2.8036E-5; false; 0.041570998; 0.336286781
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.26; 0.0708207000;0.0093966; 0.0969274000; 0.0002829000; False; 0.1091176000; 0.2494731000;0.06; 0.049903; 0.008436; 0.000489; 7.4e-05; false; 0.067493;0.16; 0.052956; 0.031958; 0.045216; 0.015986; 0.017646; false; 0.169819;0.08; 0.051386; 0.003099; 0.01718; 0.003489; 0.003481; false; 0.085365;0.61; 0.056645; 1.3e-05; 1.4e-05; false; 0.134511;1.2; 0.0517; 0.0000; 0.0109; 0.0007; 0.0000; False; 0.0116; 0.0644;1.75; 0.0903; 0.0582; 0.4827; 0.4995; 0.0162; 0.0377; False; 0.5535; 0.7028;1.12; 0.0547; 0.0250; 0.0469; 0.0652; 0.0001; False; 0.0653; 0.1458;3.12; 0.58118108; 0.179463915; 0.002192236; false; 0.18830129; 1.025922878;2.31; 0.308988307; 0.268623836; 3.2969E-5; false; 0.290037102; 0.988376375
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.15; 0.0371098000;0.0086543; 0.0448222000; 0.0001733000; False; 0.0562409000; 0.1476258000;0.0; 0.000737; 0.000519; 6.7e-05; 4.5e-05; false; 0.001992;0.01; 0.000813; 0.000523; 0.003772; 0.001422; 0.001479; false; 0.008454;0.01; 0.00079; 7.9e-05; 0.002196; 0.001411; 0.000731; false; 0.006556;ERR;ERR;ERR;ERR;ERR;ERR;1.24; 0.0082; 0.0000; 0.0019; 0.0003; 0.0000; False; 0.0023; 0.0110;1.24; 0.0076; 0.0010; 0.0056; 0.0073; 0.0022; 0.0011; False; 0.0106; 0.0195;1.08; 0.0074; 0.0018; 0.0019; 0.0047; 0.0001; False; 0.0048; 0.0141;1.15; 0.188907097; 0.099850735; 0.001927456; false; 0.108050272; 0.382347511;1.03; 0.039118831; 0.015404972; 5.0463E-5; false; 0.032516692; 0.195219794
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.19; 0.0543701000;0.0092511; 0.0503563000; 0.0003188000; False; 0.0625826000; 0.1921550000;0.02; 0.022752; 0.003283; 0.00028; 0.00019; false; 0.030957;0.07; 0.022588; 0.011713; 0.017945; 0.007995; 0.007814; false; 0.070792;0.04; 0.019702; 0.001248; 0.008354; 0.00485; 0.003846; false; 0.041687;0.5; 0.023567; 3.1e-05; 9e-06; false; 0.03706;0.99; 0.0226; 0.0000; 0.0037; 0.0003; 0.0000; False; 0.0041; 0.0274;1.35; 0.0236; 0.0535; 0.0660; 0.0739; 0.0102; 0.0128; False; 0.0970; 0.1747;1.28; 0.0333; 0.0157; 0.0141; 0.0351; 0.0001; False; 0.0353; 0.0853;2.23; 0.373693732; 0.087015148; 0.002091773; false; 0.095489708; 0.673753954;1.61; 0.134852074; 0.052597838; 3.5279E-5; false; 0.072418836; 0.482050497
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;5.93; 3.7686294000;0.0057026; 0.8068165000; 0.0001608000; False; 0.8143405000; 6.0601789000;19.74; 15.9284; 4.41775; 0.000629; 0.000219; false; 21.4257;28.14; 9.36428; 16.0729; 2.60609; 0.017752; 0.018376; false; 28.6133;31.2; 16.4896; 7.66398; 8.1037; 0.006789; 0.00693; false; 32.8311;ERR;ERR;ERR;ERR;ERR;ERR;14.97; 15.8307; 0.0000; 0.5217; 0.0008; 0.0000; False; 0.5226; 16.3567;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;49.83; 17.2751; 5.6092; 31.2913; 31.3076; 0.0001; False; 31.3078; 54.2683;29.53; 20.64489582; 0.131936955; 0.002079966; false; 0.140789232; 24.60133844;17.39; 8.144708093; 0.782327295; 3.2518E-5; false; 0.789098633; 12.552735694
