name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.04; 5.9e-05;0.046257;0.000275;0.000192; 4.7e-05; false; 0.047591
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.07; 7.5e-05;0.077248;0.000522;0.00031099999999999997; 6e-05; false; 0.079536
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.04; 5.7e-05;0.046147;0.000396;0.000289; 4.3e-05; false; 0.047933
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.07; 7.4e-05;0.077089;0.000385;0.00025299999999999997; 4.1e-05; false; 0.078877
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.08; 7.4e-05;0.082905;0.000528;0.000329; 8e-05; false; 0.08522
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.08; 7.6e-05;0.082405;0.000553;0.000341; 7.6e-05; false; 0.084821
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.07; 7.5e-05;0.076852;0.0005189999999999999;0.000322; 7.2e-05; false; 0.079369
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.07; 6.3e-05;0.081655;0.00040800000000000005;0.00027; 4.6e-05; false; 0.083592
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.07; 7.2e-05;0.072385;0.000505;0.00029099999999999997; 5.2e-05; false; 0.07453
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.04; 5.3e-05;0.0482;0.000299;0.00021799999999999999; 4.3e-05; false; 0.049643
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.04; 5.3e-05;0.045860000000000005;0.000255;0.000192; 5.7e-05; false; 0.047114
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.07; 6.5e-05;0.08043800000000001;0.0005250000000000001;0.000298; 5.8e-05; false; 0.082529
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.07; 7.7e-05;0.075529;0.00049;0.00030000000000000003; 6.4e-05; false; 0.077696
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.07; 6.1e-05;0.080595;0.0004000000000000001;0.000278; 4.8e-05; false; 0.082497
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.04; 5.5e-05;0.051289;0.00028900000000000003;0.00021799999999999999; 4.8e-05; false; 0.05269
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.04; 4.2e-05;0.045889;0.00027;0.000183; 4.2e-05; false; 0.047117
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.06; 7.8e-05;0.071905;0.00048100000000000004;0.000301; 5.4e-05; false; 0.074054
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.07; 8.8e-05;0.079116;0.000529;0.000339; 6.6e-05; false; 0.081419
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.05; 5.3e-05;0.055758;0.00038500000000000003;0.000249; 6.2e-05; false; 0.057391
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.04; 5.9e-05;0.052670999999999996;0.0003;0.00021999999999999998; 8e-05; false; 0.054317
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.07; 9.4e-05;0.07738500000000001;0.000516;0.000319; 6.6e-05; false; 0.079654
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;0.04; 5.7e-05;0.05223;0.00026999999999999995;0.000196; 4.5e-05; false; 0.053539
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04001-1.mata;0.33; 0.000106;0.341462;0.002391;0.000722; 0.000268; false; 0.349376
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04390-1.mata;0.06; 7.9e-05;0.064225;0.000349;0.000248; 4.3e-05; false; 0.065945
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04451-1.mata;0.06; 4.1e-05;0.072095;0.000447;0.000272; 6.8e-05; false; 0.074024
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.06; 7.3e-05;0.0732;0.000509;0.000334; 6.5e-05; false; 0.075448
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.08; 0.000203;0.026203999999999998;0.011608;0.014591999999999999; 0.002572; false; 0.093566
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.43; 0.001574;0.12354;0.0895;0.038874000000000006; 0.00597; false; 0.437221
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.05; 0.000165;0.018026;0.007428;0.008494999999999999; 0.002853; false; 0.055903
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.04; 0.000197;0.015231999999999997;0.005105;0.007007; 0.002297; false; 0.042335
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.07; 0.00031;0.020926;0.014672000000000001;0.013759; 0.002716; false; 0.083857
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.4; 0.000875;0.24366900000000002;0.053071999999999994;0.017074; 0.001658; false; 0.413667
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.09; 0.000217;0.022252;0.020312000000000004;0.023067; 0.003576; false; 0.106446
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.07; 8.4e-05;0.083767;0.000546;0.000329; 8.2e-05; false; 0.086046
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.07; 0.000195;0.02405;0.014006;0.011120999999999999; 0.002905; false; 0.079694
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.66; 0.000455;0.622395;0.015146;0.007475; 0.001031; false; 0.676088
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.07; 0.000242;0.021036;0.013769;0.017644; 0.004614; false; 0.088272
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.11; 0.000398;0.07356499999999998;0.012145;0.00591; 0.001097; false; 0.121601
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.22; 0.00813;0.25296599999999997;0.262729;0.08211299999999999; 0.018737; false; 1.23853
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.32; 0.000117;0.33001;0.0018809999999999999;0.000549; 0.000112; false; 0.336452
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;1.23; 0.000121;1.2421229999999999;0.006465;0.00157; 0.000625; false; 1.26142
