1st Quartile / Median / 3rd Quartile
-----------------------------------
bench    automata-min    automata
-------  --------------  ----------
aut_i    0, 0, 2         0, 0, 3
bc_co    0, 0, 0         0, 0, 0
bc_co    0, 2, 13        0, 2, 14
bc_er    0, 0, 0         0, 0, 0
bc_in    0, 0, 1         0, 0, 1
bc_in    1, 60, 60       1, 60, 60
email    0, 0, 1         0, 0, 0
presb    0, 0, 0         0, 0, 0
presb    0, 0, 1         0, 0, 0
z3_no    0, 0, 0         0, 0, 0
z3_no    0, 0, 0         0, 0, 0
