name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.11;0.130708;0.017544; 0.0112833000; 0.0001813000; False; 0.0369788000; 0.2208935000;0.8;0.036440200000000006;0.008408; 0.0069079000; 0.0001664000; False; 0.0177629000; 0.1037101000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.15;0.1360178;0.0174522; 0.0096049000; 0.0001912000; False; 0.0342505000; 0.2128207000;0.77;0.0408802;0.010668799999999999; 0.0081841000; 0.0002653000; False; 0.0223870000; 0.1050372000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.29;0.2938399;0.0125405; 0.0129894000; 0.0002931000; False; 0.0284128000; 0.3618232000;1.3;0.0749146;0.014288499999999999; 0.0252929000; 0.0003618000; False; 0.0424128000; 0.2150349000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.16;0.12261090000000001;0.0088964; 0.0071732000; 0.0002005000; False; 0.0186155000; 0.1844002000;0.9;0.0414827;0.008972100000000002; 0.0079847000; 0.0002509000; False; 0.0194615000; 0.1153350000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.17;0.09545250000000001;0.0089346; 0.0093391000; 0.0002790000; False; 0.0210008000; 0.1603259000;0.85;0.029151200000000002;0.009676099999999998; 0.0082789000; 0.0001718000; False; 0.0206052000; 0.0873969000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.18;0.10443640000000001;0.0090329; 0.0074547000; 0.0001907000; False; 0.0193293000; 0.1671268000;1.0;0.0528845;0.010282; 0.0086532000; 0.0003220000; False; 0.0218085000; 0.1561031000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.18;0.1182204;0.0100137; 0.0105604000; 0.0001987000; False; 0.0232241000; 0.2132262000;0.99;0.046771900000000005;0.0182129; 0.0053387000; 0.0001543000; False; 0.0349407000; 0.1547051000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.18;0.12268570000000001;0.0099811; 0.0089206000; 0.0002028000; False; 0.0214906000; 0.1868909000;0.91;0.0328483;0.011256000000000002; 0.0098434000; 0.0002682000; False; 0.0241420000; 0.0989698000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.18;0.1305148;0.0144724; 0.0097122000; 0.0003431000; False; 0.0354087000; 0.2020289000;1.07;0.031332399999999996;0.0068143; 0.0057729000; 0.0001643000; False; 0.0145597000; 0.0821444000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.16;0.1211223;0.006819; 0.0058069000; 0.0002027000; False; 0.0147453000; 0.1888765000;1.14;0.050149;0.0091678; 0.0060350000; 0.0002372000; False; 0.0172022000; 0.1230059000
