name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.16; 0.0759309000;0.0053438; 0.0554313000; 0.0001593000; False; 0.0630937000; 0.1977285000;0.93; 0.0691267000;0.008933499999999999; 0.0743064000; 0.0001315000; False; 0.0857559000; 0.2407640000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.14; 0.1000531000;0.0059704; 0.0461065000; 0.0001770000; False; 0.0547807000; 0.2085433000;0.72; 0.0374933000;0.005983; 0.0464783000; 0.0001406000; False; 0.0542626000; 0.1299010000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.18; 0.1135454000;0.009199; 0.0515789000; 0.0001994000; False; 0.0638299000; 0.2348200000;0.88; 0.0841714000;0.008920500000000001; 0.0438720000; 0.0001655000; False; 0.0552765000; 0.1916935000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;2.35; 1.5042228000;0.0083252; 0.4252321000; 0.0003263000; False; 0.4361435000; 2.3133217000;2.73; 1.2192771000;0.0083974; 0.3761910000; 0.0002127000; False; 0.3871099000; 2.0093250000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.43; 0.2317207000;0.0091318; 0.0803711000; 0.0001428000; False; 0.0920128000; 0.4296393000;1.07; 0.1936954000;0.0092993; 0.1008803000; 0.0002404000; False; 0.1128036000; 0.4064705000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.23; 0.0694763000;0.0086152; 0.0896960000; 0.0002453000; False; 0.1010280000; 0.2851201000;0.89; 0.0433112000;0.0054639; 0.0540966000; 0.0001393000; False; 0.0612028000; 0.2099413000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.33; 0.1618235000;0.0093834; 0.0935677000; 0.0002114000; False; 0.1057349000; 0.3514651000;0.93; 0.1211782000;0.0083391; 0.1136871000; 0.0002366000; False; 0.1245258000; 0.3220727000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.16; 0.0408865000;0.0089051; 0.0476802000; 0.0001843000; False; 0.0589882000; 0.1536033000;0.84; 0.0372715000;0.0085786; 0.0463240000; 0.0001795000; False; 0.0573875000; 0.1484304000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.22; 0.0554249000;0.0085352; 0.0922174000; 0.0002339000; False; 0.1032900000; 0.2173543000;0.81; 0.0415433000;0.0056554; 0.0572296000; 0.0001351000; False; 0.0646061000; 0.1456769000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.31; 0.1223347000;0.009634; 0.0805559000; 0.0001378000; False; 0.0927238000; 0.3010921000;1.0; 0.1280039000;0.0083866; 0.0892724000; 0.0002634000; False; 0.1001755000; 0.3454859000
